rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Larry Fitzgerald,6.0,12.0,72.0,12.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,19.2,19.2,0.3,WR,8,2010,ARI
2.0,Dez Bryant,7.0,9.0,84.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.4,8.4,2.6,WR,8,2010,DAL
3.0,Golden Tate,2.0,7.0,36.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,3.6,0.1,WR,8,2010,SEA
4.0,Emmanuel Sanders,1.0,2.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,46.6,WR,8,2010,PIT
273.0,Jerricho Cotchery,4.0,13.0,89.0,22.3,49.0,0.0,0.0,1.0,-8.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,NYJ
275.0,Jacoby Jones,2.0,5.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,HOU
276.0,Greg Jennings,6.0,12.0,81.0,13.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,GB
277.0,Eddie Royal,4.0,6.0,34.0,8.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,DEN
278.0,Jordy Nelson,5.0,7.0,55.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,8,2010,GB
280.0,Lavelle Hawkins,4.0,5.0,56.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,TEN
281.0,Lance Moore,7.0,8.0,54.0,7.7,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,NO
288.0,Josh Morgan,1.0,2.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,SF
290.0,Brandon Lloyd,7.0,12.0,169.0,24.1,71.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,DEN
291.0,Calvin Johnson,9.0,15.0,101.0,11.2,15.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,8,2010,DET
292.0,Brian Hartline,5.0,8.0,53.0,10.6,24.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,MIA
293.0,Brett Swain,1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,GB
294.0,Braylon Edwards,1.0,4.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,NYJ
295.0,Brandon Tate,3.0,4.0,101.0,33.7,65.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,NE
296.0,Brandon Stokley,1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,SEA
297.0,Brandon Marshall,5.0,7.0,64.0,12.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,WR,8,2010,MIA
298.0,Brandon Gibson,6.0,7.0,67.0,11.2,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,LAR
299.0,Brad Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,WR,8,2010,NYJ
301.0,Ben Obomanu,1.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,SEA
302.0,Andre Johnson,7.0,10.0,106.0,15.1,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,HOU
303.0,Dwayne Bowe,3.0,6.0,16.0,5.3,8.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,KC
305.0,Devery Henderson,3.0,4.0,33.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,NO
307.0,Deon Butler,1.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,SEA
308.0,Davone Bess,7.0,9.0,53.0,7.6,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,WR,8,2010,MIA
309.0,Darrius Heyward-Bey,5.0,9.0,105.0,21.0,69.0,0.0,1.0,1.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,LV
310.0,Danny Amendola,6.0,7.0,28.0,4.7,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,8,2010,LAR
313.0,Marques Colston,6.0,9.0,75.0,12.5,27.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,NO
315.0,David Nelson,3.0,5.0,25.0,8.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,BUF
317.0,Anthony Armstrong,3.0,6.0,92.0,30.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,WAS
318.0,Jacoby Ford,2.0,3.0,22.0,11.0,13.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,LV
321.0,Jordan Shipley,3.0,6.0,28.0,9.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,CIN
323.0,Damian Williams,2.0,9.0,43.0,21.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,TEN
324.0,Brandon LaFell,4.0,8.0,40.0,10.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,CAR
326.0,Mike Williams,4.0,6.0,105.0,26.3,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,TB
326.0,Mike Williams,4.0,6.0,105.0,26.3,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,SEA
425.0,Mike Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9,WR,8,2010,TB
425.0,Mike Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9,WR,8,2010,SEA
327.0,Demaryius Thomas,1.0,1.0,31.0,31.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,8,2010,DEN
333.0,Seyi Ajirotutu,3.0,4.0,48.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,LAC
339.0,David Gettis,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-11.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,CAR
340.0,Arrelious Benn,1.0,1.0,53.0,53.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,TB
341.0,Reggie Wayne,4.0,12.0,39.0,9.8,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,IND
342.0,Pierre Garcon,7.0,11.0,78.0,11.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,IND
343.0,Percy Harvin,6.0,8.0,104.0,17.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,8,2010,MIN
344.0,Nate Washington,4.0,9.0,117.0,29.3,71.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,TEN
346.0,Nate Burleson,7.0,9.0,47.0,6.7,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,WR,8,2010,DET
348.0,Miles Austin,7.0,12.0,117.0,16.7,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,8,2010,DAL
