rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,New Orleans Saints,4,1,1,1,0,0,0,1,18.0,18.0,79.3,NO,DST,15,2021
2,Dallas Cowboys,1,3,1,1,0,0,0,1,16.0,16.0,82.9,DAL,DST,15,2021
3,Pittsburgh Steelers,4,1,3,3,0,0,0,1,16.0,16.0,44.6,PIT,DST,15,2021
4,Minnesota Vikings,3,0,3,3,0,0,0,1,15.0,15.0,28.0,MIN,DST,15,2021
5,Indianapolis Colts,1,2,0,1,0,0,1,1,14.0,14.0,66.4,IND,DST,15,2021
6,New York Jets,1,2,1,0,1,0,0,1,12.0,12.0,3.3,NYJ,DST,15,2021
7,Houston Texans,3,0,0,0,0,0,1,1,10.0,10.0,6.4,HOU,DST,15,2021
8,Miami Dolphins,6,0,1,1,0,0,0,1,9.0,9.0,60.2,MIA,DST,15,2021
9,Los Angeles Rams,3,1,0,0,0,0,0,1,9.0,9.0,74.5,LAR,DST,15,2021
10,San Francisco 49ers,3,0,1,1,0,0,0,1,9.0,9.0,79.5,SF,DST,15,2021
11,Cincinnati Bengals,3,0,1,1,0,0,0,1,9.0,9.0,14.7,CIN,DST,15,2021
12,Detroit Lions,2,1,0,0,0,0,0,1,8.0,8.0,1.1,DET,DST,15,2021
13,Seattle Seahawks,4,1,0,0,0,0,0,1,7.0,7.0,39.4,SEA,DST,15,2021
14,Washington Commanders,3,1,1,1,0,0,0,1,7.0,7.0,27.5,WAS,DST,15,2021
15,Chicago Bears,4,1,0,1,0,0,0,1,7.0,7.0,35.9,CHI,DST,15,2021
16,Buffalo Bills,4,1,0,1,0,0,0,1,7.0,7.0,95.9,BUF,DST,15,2021
17,Cleveland Browns,2,1,1,2,0,0,0,1,7.0,7.0,40.8,CLE,DST,15,2021
18,Tampa Bay Buccaneers,2,0,0,1,0,0,0,1,6.0,6.0,98.0,TB,DST,15,2021
19,New York Giants,3,0,1,2,0,0,0,1,5.0,5.0,4.5,NYG,DST,15,2021
20,Carolina Panthers,4,1,0,1,0,0,0,1,5.0,5.0,27.8,CAR,DST,15,2021
21,Tennessee Titans,3,0,0,0,0,0,0,1,4.0,4.0,48.4,TEN,DST,15,2021
22,Denver Broncos,3,0,0,0,0,0,0,1,4.0,4.0,48.5,DEN,DST,15,2021
23,Los Angeles Chargers,1,1,1,1,0,0,0,1,4.0,4.0,44.3,LAC,DST,15,2021
24,Arizona Cardinals,2,0,1,1,0,0,0,1,3.0,3.0,60.9,ARI,DST,15,2021
25,Philadelphia Eagles,2,0,0,2,0,0,0,1,3.0,3.0,52.5,PHI,DST,15,2021
26,Kansas City Chiefs,0,1,1,1,0,0,0,1,3.0,3.0,45.7,KC,DST,15,2021
27,New England Patriots,1,1,0,0,0,0,0,1,3.0,3.0,93.2,NE,DST,15,2021
28,Baltimore Ravens,3,0,0,0,0,0,0,1,2.0,2.0,51.9,BAL,DST,15,2021
29,Jacksonville Jaguars,1,1,0,0,0,0,0,1,2.0,2.0,6.9,JAC,DST,15,2021
30,Las Vegas Raiders,0,0,0,0,0,0,0,1,1.0,1.0,7.6,LV,DST,15,2021
31,Atlanta Falcons,0,0,1,0,0,0,0,1,1.0,1.0,5.8,ATL,DST,15,2021
32,Green Bay Packers,1,0,0,0,0,0,0,1,0.0,0.0,60.6,GB,DST,15,2021
