rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Los Angeles Chargers,6,2,2,2,1,0,0,1,20.0,20.0,44.3,LAC,DST,13,2021
2,Indianapolis Colts,4,1,1,1,0,0,0,1,18.0,18.0,66.4,IND,DST,13,2021
3,Dallas Cowboys,2,4,0,1,1,0,0,1,17.0,17.0,82.9,DAL,DST,13,2021
4,Kansas City Chiefs,1,2,1,1,1,0,0,1,17.0,17.0,45.7,KC,DST,13,2021
5,Arizona Cardinals,3,4,0,0,0,0,0,1,11.0,11.0,60.9,ARI,DST,13,2021
6,Tampa Bay Buccaneers,5,0,1,1,0,0,0,1,11.0,11.0,98.0,TB,DST,13,2021
7,Los Angeles Rams,2,0,2,2,0,0,0,1,10.0,10.0,74.5,LAR,DST,13,2021
8,Pittsburgh Steelers,7,1,0,1,0,0,0,1,10.0,10.0,44.6,PIT,DST,13,2021
9,San Francisco 49ers,4,1,2,4,0,0,0,1,9.0,9.0,79.5,SF,DST,13,2021
10,Seattle Seahawks,1,2,1,0,0,1,0,1,9.0,9.0,39.4,SEA,DST,13,2021
11,Miami Dolphins,3,1,0,0,0,0,0,1,9.0,9.0,60.2,MIA,DST,13,2021
12,New England Patriots,2,0,1,0,0,0,0,1,8.0,8.0,93.2,NE,DST,13,2021
13,Atlanta Falcons,0,1,0,0,1,0,0,1,7.0,7.0,5.8,ATL,DST,13,2021
14,Cincinnati Bengals,4,1,2,2,0,0,0,1,6.0,6.0,14.7,CIN,DST,13,2021
15,Minnesota Vikings,3,1,1,2,0,0,0,1,6.0,6.0,28.0,MIN,DST,13,2021
16,Detroit Lions,3,0,1,1,0,0,0,1,5.0,5.0,1.1,DET,DST,13,2021
17,Philadelphia Eagles,2,1,0,0,0,0,0,1,5.0,5.0,52.5,PHI,DST,13,2021
18,Denver Broncos,1,1,0,0,0,0,0,1,4.0,4.0,48.5,DEN,DST,13,2021
19,Las Vegas Raiders,1,1,0,0,0,0,0,1,4.0,4.0,7.6,LV,DST,13,2021
20,Washington Commanders,2,0,0,0,0,0,0,1,3.0,3.0,27.5,WAS,DST,13,2021
21,New Orleans Saints,1,1,0,0,0,0,0,1,3.0,3.0,79.3,NO,DST,13,2021
22,New York Giants,2,0,0,0,0,0,0,1,3.0,3.0,4.5,NYG,DST,13,2021
23,Buffalo Bills,0,0,1,0,0,0,0,1,3.0,3.0,95.9,BUF,DST,13,2021
24,Baltimore Ravens,1,0,0,0,0,0,0,1,2.0,2.0,51.9,BAL,DST,13,2021
25,Houston Texans,1,0,1,1,0,0,0,1,2.0,2.0,6.4,HOU,DST,13,2021
26,New York Jets,2,0,0,0,0,0,0,1,1.0,1.0,3.3,NYJ,DST,13,2021
27,Chicago Bears,1,0,0,0,0,0,0,1,0.0,0.0,35.9,CHI,DST,13,2021
28,Carolina Panthers,0,0,0,0,0,0,0,0,0.0,0.0,27.8,CAR,DST,13,2021
29,Cleveland Browns,0,0,0,0,0,0,0,0,0.0,0.0,40.8,CLE,DST,13,2021
30,Tennessee Titans,0,0,0,0,0,0,0,0,0.0,0.0,48.4,TEN,DST,13,2021
31,Green Bay Packers,0,0,0,0,0,0,0,0,0.0,0.0,60.6,GB,DST,13,2021
32,Jacksonville Jaguars,1,0,0,0,0,0,0,1,-3.0,-3.0,6.9,JAC,DST,13,2021
