rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Los Angeles Rams,4,3,1,2,0,0,0,1,16.0,16.0,74.5,LAR,6,DST
2,Indianapolis Colts,2,2,1,1,0,0,0,1,15.0,15.0,66.4,IND,6,DST
3,Las Vegas Raiders,5,3,1,1,0,0,0,1,13.0,13.0,7.6,LV,6,DST
4,Dallas Cowboys,2,1,1,1,1,0,0,1,13.0,13.0,82.9,DAL,6,DST
5,Arizona Cardinals,5,1,2,2,0,0,0,1,12.0,12.0,60.9,ARI,6,DST
6,Baltimore Ravens,2,1,0,0,0,0,0,1,11.0,11.0,51.9,BAL,6,DST
7,Minnesota Vikings,4,1,2,2,0,0,0,1,10.0,10.0,28.0,MIN,6,DST
8,Carolina Panthers,0,0,1,2,0,0,1,1,9.0,9.0,27.8,CAR,6,DST
9,Pittsburgh Steelers,5,0,1,3,0,0,0,1,8.0,8.0,44.6,PIT,6,DST
10,Kansas City Chiefs,0,1,1,1,0,0,0,1,8.0,8.0,45.7,KC,6,DST
11,Washington Commanders,3,2,1,1,0,0,0,1,8.0,8.0,27.5,WAS,6,DST
12,Green Bay Packers,4,1,0,0,0,0,0,1,7.0,7.0,60.6,GB,6,DST
13,Cincinnati Bengals,1,1,0,0,0,0,0,1,7.0,7.0,14.7,CIN,6,DST
14,Los Angeles Chargers,3,2,0,1,0,0,0,1,6.0,6.0,44.3,LAC,6,DST
15,Tennessee Titans,3,1,0,1,0,0,0,1,4.0,4.0,48.4,TEN,6,DST
16,Tampa Bay Buccaneers,2,1,0,0,0,0,0,1,4.0,4.0,98.0,TB,6,DST
17,Miami Dolphins,2,0,1,1,0,0,0,1,4.0,4.0,60.2,MIA,6,DST
18,New England Patriots,0,1,1,1,0,0,0,1,3.0,3.0,93.2,NE,6,DST
19,Chicago Bears,3,0,0,0,0,0,0,1,3.0,3.0,35.9,CHI,6,DST
20,Seattle Seahawks,1,0,1,1,0,0,0,1,3.0,3.0,39.4,SEA,6,DST
21,Jacksonville Jaguars,0,1,0,1,0,0,0,1,3.0,3.0,6.9,JAC,6,DST
22,Detroit Lions,2,1,0,1,0,0,0,1,3.0,3.0,1.1,DET,6,DST
23,New York Giants,2,2,0,0,0,0,0,1,2.0,2.0,4.5,NYG,6,DST
24,Houston Texans,2,0,0,0,0,0,0,1,1.0,1.0,6.4,HOU,6,DST
25,Philadelphia Eagles,0,1,0,0,0,0,0,1,1.0,1.0,52.5,PHI,6,DST
26,Denver Broncos,2,0,0,0,0,0,0,1,1.0,1.0,48.5,DEN,6,DST
27,Buffalo Bills,0,1,0,0,0,0,0,1,1.0,1.0,95.9,BUF,6,DST
28,New Orleans Saints,0,0,0,0,0,0,0,0,0.0,0.0,79.3,NO,6,DST
29,Atlanta Falcons,0,0,0,0,0,0,0,0,0.0,0.0,5.8,ATL,6,DST
30,San Francisco 49ers,0,0,0,0,0,0,0,0,0.0,0.0,79.5,SF,6,DST
31,New York Jets,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NYJ,6,DST
32,Cleveland Browns,2,0,0,2,0,0,0,1,-2.0,-2.0,40.8,CLE,6,DST
