rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Buffalo Bills,3,4,1,1,0,0,0,1,23.0,23.0,95.9,BUF,DST,4,2021
2,Baltimore Ravens,5,1,0,0,0,0,0,1,11.0,11.0,51.9,BAL,DST,4,2021
3,Tampa Bay Buccaneers,4,1,1,1,0,0,0,1,9.0,9.0,98.0,TB,DST,4,2021
4,Chicago Bears,4,0,2,2,0,0,0,1,9.0,9.0,35.9,CHI,DST,4,2021
5,Indianapolis Colts,3,0,2,1,0,0,0,1,8.0,8.0,66.4,IND,DST,4,2021
6,Cleveland Browns,2,1,0,0,0,0,0,1,8.0,8.0,40.8,CLE,DST,4,2021
7,Dallas Cowboys,5,2,0,0,0,0,0,1,8.0,8.0,82.9,DAL,DST,4,2021
8,Los Angeles Chargers,4,1,0,1,0,0,0,1,7.0,7.0,44.3,LAC,DST,4,2021
9,Green Bay Packers,2,1,1,1,0,0,0,1,7.0,7.0,60.6,GB,DST,4,2021
10,New York Jets,7,0,0,0,0,0,0,1,7.0,7.0,3.3,NYJ,DST,4,2021
11,Washington Commanders,1,0,0,1,0,0,1,1,6.0,6.0,27.5,WAS,DST,4,2021
12,Seattle Seahawks,2,1,1,0,0,0,0,1,6.0,6.0,39.4,SEA,DST,4,2021
13,Pittsburgh Steelers,3,0,1,1,0,0,0,1,5.0,5.0,44.6,PIT,DST,4,2021
14,Arizona Cardinals,0,1,1,1,0,0,0,1,5.0,5.0,60.9,ARI,DST,4,2021
15,Miami Dolphins,2,0,1,0,0,0,0,1,4.0,4.0,60.2,MIA,DST,4,2021
16,Minnesota Vikings,3,0,0,0,0,0,0,1,4.0,4.0,28.0,MIN,DST,4,2021
17,Denver Broncos,3,0,0,0,0,0,0,1,3.0,3.0,48.5,DEN,DST,4,2021
18,Tennessee Titans,1,1,0,1,0,0,0,1,3.0,3.0,48.4,TEN,DST,4,2021
19,Detroit Lions,1,1,0,1,0,0,0,1,3.0,3.0,1.1,DET,DST,4,2021
20,New England Patriots,1,0,0,0,0,0,0,1,2.0,2.0,93.2,NE,DST,4,2021
21,New Orleans Saints,0,1,0,2,0,0,0,1,2.0,2.0,79.3,NO,DST,4,2021
22,New York Giants,0,1,0,0,0,0,0,1,2.0,2.0,4.5,NYG,DST,4,2021
23,San Francisco 49ers,3,0,0,2,0,0,0,1,2.0,2.0,79.5,SF,DST,4,2021
24,Kansas City Chiefs,3,0,0,2,0,0,0,1,2.0,2.0,45.7,KC,DST,4,2021
25,Cincinnati Bengals,1,0,0,0,0,0,0,1,1.0,1.0,14.7,CIN,DST,4,2021
26,Jacksonville Jaguars,1,0,0,0,0,0,0,1,1.0,1.0,6.9,JAC,DST,4,2021
27,Las Vegas Raiders,2,0,0,0,0,0,0,1,1.0,1.0,7.6,LV,DST,4,2021
28,Atlanta Falcons,1,0,0,0,0,0,0,1,0.0,0.0,5.8,ATL,DST,4,2021
29,Houston Texans,1,1,0,2,0,0,0,1,-1.0,-1.0,6.4,HOU,DST,4,2021
30,Los Angeles Rams,3,0,0,1,0,0,0,1,-1.0,-1.0,74.5,LAR,DST,4,2021
31,Philadelphia Eagles,1,1,0,0,0,0,0,1,-1.0,-1.0,52.5,PHI,DST,4,2021
32,Carolina Panthers,0,0,0,0,0,0,0,1,-4.0,-4.0,27.8,CAR,DST,4,2021
