rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Arizona Cardinals,3,2,2,3,1,0,0,1,21.0,21.0,60.9,ARI,DST,3,2021
2,New Orleans Saints,2,3,0,0,1,0,0,1,20.0,20.0,79.3,NO,DST,3,2021
3,Denver Broncos,5,2,0,0,0,0,0,1,19.0,19.0,48.5,DEN,DST,3,2021
4,Cleveland Browns,9,0,0,0,0,0,0,1,16.0,16.0,40.8,CLE,DST,3,2021
5,Dallas Cowboys,2,2,0,0,1,0,0,1,13.0,13.0,82.9,DAL,DST,3,2021
6,Cincinnati Bengals,4,2,0,1,0,0,0,1,12.0,12.0,14.7,CIN,DST,3,2021
7,Los Angeles Chargers,2,2,2,2,0,0,0,1,10.0,10.0,44.3,LAC,DST,3,2021
8,Miami Dolphins,3,1,0,1,1,0,0,1,10.0,10.0,60.2,MIA,DST,3,2021
9,Jacksonville Jaguars,0,1,0,0,0,0,0,1,8.0,8.0,6.9,JAC,DST,3,2021
10,Philadelphia Eagles,4,0,1,1,1,0,0,1,8.0,8.0,52.5,PHI,DST,3,2021
11,Carolina Panthers,4,0,0,0,0,0,0,1,8.0,8.0,27.8,CAR,DST,3,2021
12,Buffalo Bills,1,2,1,1,0,0,0,1,7.0,7.0,95.9,BUF,DST,3,2021
13,Detroit Lions,4,1,0,1,0,0,0,1,7.0,7.0,1.1,DET,DST,3,2021
14,Green Bay Packers,4,1,1,1,0,0,0,1,7.0,7.0,60.6,GB,DST,3,2021
15,Indianapolis Colts,1,2,1,1,0,0,0,1,7.0,7.0,66.4,IND,DST,3,2021
16,New York Giants,3,0,1,1,0,0,0,1,6.0,6.0,4.5,NYG,DST,3,2021
17,Chicago Bears,5,0,0,0,0,0,0,1,5.0,5.0,35.9,CHI,DST,3,2021
18,Atlanta Falcons,2,0,1,2,0,0,0,1,5.0,5.0,5.8,ATL,DST,3,2021
19,New York Jets,2,0,1,1,0,0,0,1,4.0,4.0,3.3,NYJ,DST,3,2021
20,Las Vegas Raiders,2,0,0,1,0,1,0,1,4.0,4.0,7.6,LV,DST,3,2021
21,Minnesota Vikings,2,0,0,0,0,0,0,1,3.0,3.0,28.0,MIN,DST,3,2021
22,New England Patriots,3,0,0,0,0,0,0,1,3.0,3.0,93.2,NE,DST,3,2021
23,Houston Texans,3,0,0,2,0,0,0,1,3.0,3.0,6.4,HOU,DST,3,2021
24,Baltimore Ravens,2,0,0,0,0,0,0,1,3.0,3.0,51.9,BAL,DST,3,2021
25,Los Angeles Rams,3,0,0,2,0,0,0,1,3.0,3.0,74.5,LAR,DST,3,2021
26,Tennessee Titans,2,0,0,0,0,0,0,1,3.0,3.0,48.4,TEN,DST,3,2021
27,Pittsburgh Steelers,0,1,0,0,0,0,0,1,2.0,2.0,44.6,PIT,DST,3,2021
28,Kansas City Chiefs,1,0,0,1,0,0,0,1,0.0,0.0,45.7,KC,DST,3,2021
29,Seattle Seahawks,1,0,0,1,0,0,0,1,0.0,0.0,39.4,SEA,DST,3,2021
30,San Francisco 49ers,1,0,0,1,0,0,0,1,0.0,0.0,79.5,SF,DST,3,2021
31,Tampa Bay Buccaneers,1,0,0,1,0,0,0,1,0.0,0.0,98.0,TB,DST,3,2021
32,Washington Commanders,0,0,0,0,0,0,0,1,-4.0,-4.0,27.5,WAS,DST,3,2021
