,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Los Angeles Rams(LAR),4,3,1,2,0,0,0,1,16.0,16.0,74.5%
1,2,Indianapolis Colts(IND),2,2,1,1,0,0,0,1,15.0,15.0,66.4%
2,3,Las Vegas Raiders(LV),5,3,1,1,0,0,0,1,13.0,13.0,7.6%
3,4,Dallas Cowboys(DAL),2,1,1,1,1,0,0,1,13.0,13.0,82.9%
4,5,Arizona Cardinals(ARI),5,1,2,2,0,0,0,1,12.0,12.0,60.9%
5,6,Baltimore Ravens(BAL),2,1,0,0,0,0,0,1,11.0,11.0,51.9%
6,7,Minnesota Vikings(MIN),4,1,2,2,0,0,0,1,10.0,10.0,28.0%
7,8,Carolina Panthers(CAR),0,0,1,2,0,0,1,1,9.0,9.0,27.8%
8,9,Pittsburgh Steelers(PIT),5,0,1,3,0,0,0,1,8.0,8.0,44.6%
9,10,Kansas City Chiefs(KC),0,1,1,1,0,0,0,1,8.0,8.0,45.7%
10,11,Washington Commanders(WAS),3,2,1,1,0,0,0,1,8.0,8.0,27.5%
11,12,Green Bay Packers(GB),4,1,0,0,0,0,0,1,7.0,7.0,60.6%
12,13,Cincinnati Bengals(CIN),1,1,0,0,0,0,0,1,7.0,7.0,14.7%
13,14,Los Angeles Chargers(LAC),3,2,0,1,0,0,0,1,6.0,6.0,44.3%
14,15,Tennessee Titans(TEN),3,1,0,1,0,0,0,1,4.0,4.0,48.4%
15,16,Tampa Bay Buccaneers(TB),2,1,0,0,0,0,0,1,4.0,4.0,98.0%
16,17,Miami Dolphins(MIA),2,0,1,1,0,0,0,1,4.0,4.0,60.2%
17,18,New England Patriots(NE),0,1,1,1,0,0,0,1,3.0,3.0,93.2%
18,19,Chicago Bears(CHI),3,0,0,0,0,0,0,1,3.0,3.0,35.9%
19,20,Seattle Seahawks(SEA),1,0,1,1,0,0,0,1,3.0,3.0,39.4%
20,21,Jacksonville Jaguars(JAC),0,1,0,1,0,0,0,1,3.0,3.0,6.9%
21,22,Detroit Lions(DET),2,1,0,1,0,0,0,1,3.0,3.0,1.1%
22,23,New York Giants(NYG),2,2,0,0,0,0,0,1,2.0,2.0,4.5%
23,24,Houston Texans(HOU),2,0,0,0,0,0,0,1,1.0,1.0,6.4%
24,25,Philadelphia Eagles(PHI),0,1,0,0,0,0,0,1,1.0,1.0,52.5%
25,26,Denver Broncos(DEN),2,0,0,0,0,0,0,1,1.0,1.0,48.5%
26,27,Buffalo Bills(BUF),0,1,0,0,0,0,0,1,1.0,1.0,95.9%
27,28,New Orleans Saints(NO),0,0,0,0,0,0,0,0,0,0,79.3%
28,29,Atlanta Falcons(ATL),0,0,0,0,0,0,0,0,0,0,5.8%
29,30,San Francisco 49ers(SF),0,0,0,0,0,0,0,0,0,0,79.5%
30,31,New York Jets(NYJ),0,0,0,0,0,0,0,0,0,0,3.3%
31,32,Cleveland Browns(CLE),2,0,0,2,0,0,0,1,-2.0,-2.0,40.8%
