,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Buffalo Bills(BUF),6,1,2,1,0,0,0,1,22.0,22.0,95.9%
1,2,Chicago Bears(CHI),5,3,1,1,1,0,0,1,20.0,20.0,35.9%
2,3,Tampa Bay Buccaneers(TB),1,3,0,0,2,0,0,1,19.0,19.0,98.0%
3,4,New England Patriots(NE),4,4,0,0,0,0,0,1,19.0,19.0,93.2%
4,5,Carolina Panthers(CAR),4,2,0,0,0,0,0,1,12.0,12.0,27.8%
5,6,Minnesota Vikings(MIN),3,2,0,1,1,0,0,1,12.0,12.0,28.0%
6,7,Indianapolis Colts(IND),1,1,1,1,1,0,0,1,11.0,11.0,66.4%
7,8,Denver Broncos(DEN),1,2,0,0,0,0,0,1,9.0,9.0,48.5%
8,9,Jacksonville Jaguars(JAC),3,0,0,0,0,0,1,1,9.0,9.0,6.9%
9,10,San Francisco 49ers(SF),2,0,0,1,0,0,0,1,8.0,8.0,79.5%
10,11,Los Angeles Rams(LAR),3,2,0,0,0,0,0,1,8.0,8.0,74.5%
11,12,Dallas Cowboys(DAL),2,2,0,0,0,0,0,1,7.0,7.0,82.9%
12,13,Kansas City Chiefs(KC),1,2,0,0,1,0,0,1,7.0,7.0,45.7%
13,14,Green Bay Packers(GB),1,1,1,0,0,0,0,1,6.0,6.0,60.6%
14,15,Cincinnati Bengals(CIN),3,1,0,1,0,0,0,1,6.0,6.0,14.7%
15,16,New Orleans Saints(NO),2,1,0,0,0,0,0,1,6.0,6.0,79.3%
16,17,Los Angeles Chargers(LAC),2,1,0,1,0,0,0,1,5.0,5.0,44.3%
17,18,Houston Texans(HOU),2,1,1,2,0,0,0,1,5.0,5.0,6.4%
18,19,Las Vegas Raiders(LV),2,1,0,0,0,0,0,1,5.0,5.0,7.6%
19,20,Cleveland Browns(CLE),1,1,1,1,0,0,0,1,5.0,5.0,40.8%
20,21,Seattle Seahawks(SEA),3,0,1,1,0,0,0,1,4.0,4.0,39.4%
21,22,Washington Commanders(WAS),4,0,0,0,0,0,0,1,3.0,3.0,27.5%
22,23,Miami Dolphins(MIA),1,1,2,2,0,0,0,1,3.0,3.0,60.2%
23,24,Baltimore Ravens(BAL),0,1,1,1,0,0,0,1,3.0,3.0,51.9%
24,25,New York Jets(NYJ),3,0,0,1,0,0,0,1,3.0,3.0,3.3%
25,26,Pittsburgh Steelers(PIT),2,0,0,1,0,0,0,1,2.0,2.0,44.6%
26,27,New York Giants(NYG),1,1,0,0,0,0,0,1,2.0,2.0,4.5%
27,28,Tennessee Titans(TEN),3,0,0,0,0,0,0,1,2.0,2.0,48.4%
28,29,Philadelphia Eagles(PHI),0,0,0,1,0,0,0,1,1.0,1.0,52.5%
29,30,Atlanta Falcons(ATL),3,0,1,2,0,0,0,1,1.0,1.0,5.8%
30,31,Arizona Cardinals(ARI),1,0,0,2,0,0,0,1,1.0,1.0,60.9%
31,32,Detroit Lions(DET),3,0,0,0,0,0,0,1,-1.0,-1.0,1.1%
