,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Kansas City Chiefs(KC),4,1,4,4,1,0,0,1,24.0,24.0,45.7%
1,2,Dallas Cowboys(DAL),5,1,3,3,1,0,0,1,22.0,22.0,82.9%
2,3,Tennessee Titans(TEN),3,4,0,0,0,0,0,1,21.0,21.0,48.4%
3,4,Washington Commanders(WAS),4,2,0,0,1,0,0,1,14.0,14.0,27.5%
4,5,Cleveland Browns(CLE),4,0,2,2,1,0,0,1,14.0,14.0,40.8%
5,6,Atlanta Falcons(ATL),1,2,1,0,1,0,0,1,13.0,13.0,5.8%
6,7,Green Bay Packers(GB),2,2,1,1,1,0,0,1,13.0,13.0,60.6%
7,8,Denver Broncos(DEN),2,1,1,1,0,0,0,1,10.0,10.0,48.5%
8,9,San Francisco 49ers(SF),5,0,2,1,0,0,0,1,9.0,9.0,79.5%
9,10,Los Angeles Rams(LAR),4,2,0,0,0,0,0,1,8.0,8.0,74.5%
10,11,New Orleans Saints(NO),3,0,0,0,0,0,0,1,7.0,7.0,79.3%
11,12,Seattle Seahawks(SEA),2,0,0,0,0,0,0,1,6.0,6.0,39.4%
12,13,Minnesota Vikings(MIN),5,1,0,1,0,0,0,1,6.0,6.0,28.0%
13,14,Los Angeles Chargers(LAC),2,1,1,1,0,0,0,1,6.0,6.0,44.3%
14,15,Cincinnati Bengals(CIN),5,0,0,1,0,0,0,1,5.0,5.0,14.7%
15,16,Chicago Bears(CHI),3,0,0,0,0,0,1,1,5.0,5.0,35.9%
16,17,Jacksonville Jaguars(JAC),4,0,0,0,0,0,0,1,5.0,5.0,6.9%
17,18,Tampa Bay Buccaneers(TB),3,1,0,0,0,0,0,1,5.0,5.0,98.0%
18,19,Baltimore Ravens(BAL),0,1,0,0,0,0,0,1,3.0,3.0,51.9%
19,20,New York Jets(NYJ),3,0,0,0,0,0,0,1,2.0,2.0,3.3%
20,21,Arizona Cardinals(ARI),3,0,0,1,0,0,0,1,2.0,2.0,60.9%
21,22,Carolina Panthers(CAR),0,0,1,1,0,0,0,1,2.0,2.0,27.8%
22,23,Buffalo Bills(BUF),2,0,0,0,0,0,0,1,1.0,1.0,95.9%
23,24,Philadelphia Eagles(PHI),0,0,0,0,0,0,0,0,0,0,52.5%
24,25,Pittsburgh Steelers(PIT),0,2,0,0,0,0,0,1,0.0,0.0,44.6%
25,26,New England Patriots(NE),0,0,0,0,0,0,0,0,0,0,93.2%
26,27,Indianapolis Colts(IND),0,0,0,0,0,0,0,0,0,0,66.4%
27,28,Miami Dolphins(MIA),0,0,0,0,0,0,0,0,0,0,60.2%
28,29,Las Vegas Raiders(LV),3,0,0,0,0,0,0,1,-1.0,-1.0,7.6%
29,30,Houston Texans(HOU),0,0,0,0,0,0,0,1,-1.0,-1.0,6.4%
30,31,New York Giants(NYG),2,0,0,0,0,0,0,1,-2.0,-2.0,4.5%
31,32,Detroit Lions(DET),1,0,0,0,0,0,0,1,-3.0,-3.0,1.1%
