,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,New England Patriots(NE),4,4,0,0,1,0,0,1,28.0,28.0,93.2%
1,2,Houston Texans(HOU),2,4,1,2,0,0,0,1,16.0,16.0,6.4%
2,3,Kansas City Chiefs(KC),5,2,1,2,0,0,0,1,15.0,15.0,45.7%
3,4,Tampa Bay Buccaneers(TB),2,2,1,1,0,0,0,1,12.0,12.0,98.0%
4,5,San Francisco 49ers(SF),3,0,2,1,0,0,0,1,11.0,11.0,79.5%
5,6,Philadelphia Eagles(PHI),0,2,1,1,1,0,0,1,11.0,11.0,52.5%
6,7,Cincinnati Bengals(CIN),2,1,1,1,0,0,0,1,10.0,10.0,14.7%
7,8,Indianapolis Colts(IND),1,3,1,1,0,0,0,1,10.0,10.0,66.4%
8,9,Baltimore Ravens(BAL),3,0,1,1,0,0,0,1,9.0,9.0,51.9%
9,10,Chicago Bears(CHI),6,1,0,1,0,0,0,1,9.0,9.0,35.9%
10,11,Detroit Lions(DET),1,2,0,0,0,0,0,1,9.0,9.0,1.1%
11,12,Arizona Cardinals(ARI),4,0,0,1,0,0,0,1,8.0,8.0,60.9%
12,13,Cleveland Browns(CLE),0,2,0,0,0,0,0,1,8.0,8.0,40.8%
13,14,Dallas Cowboys(DAL),3,1,1,1,0,0,0,1,8.0,8.0,82.9%
14,15,Atlanta Falcons(ATL),3,1,0,0,0,0,0,1,6.0,6.0,5.8%
15,16,Miami Dolphins(MIA),2,0,1,1,0,0,0,1,5.0,5.0,60.2%
16,17,Carolina Panthers(CAR),3,0,1,1,0,0,0,1,5.0,5.0,27.8%
17,18,Las Vegas Raiders(LV),3,0,1,1,0,0,0,1,4.0,4.0,7.6%
18,19,New Orleans Saints(NO),3,0,1,1,0,0,0,1,4.0,4.0,79.3%
19,20,New York Giants(NYG),1,1,0,0,0,0,0,1,2.0,2.0,4.5%
20,21,New York Jets(NYJ),0,1,0,0,0,0,0,1,2.0,2.0,3.3%
21,22,Pittsburgh Steelers(PIT),2,1,0,0,0,0,0,1,2.0,2.0,44.6%
22,23,Seattle Seahawks(SEA),2,0,0,2,0,0,0,1,2.0,2.0,39.4%
23,24,Jacksonville Jaguars(JAC),2,0,0,1,0,0,0,1,1.0,1.0,6.9%
24,25,Minnesota Vikings(MIN),2,0,0,1,0,0,0,1,1.0,1.0,28.0%
25,26,Green Bay Packers(GB),2,0,0,1,0,0,0,1,1.0,1.0,60.6%
26,27,Washington Commanders(WAS),1,0,0,0,0,0,0,1,1.0,1.0,27.5%
27,28,Denver Broncos(DEN),0,0,0,0,0,0,0,0,0,0,48.5%
28,29,Los Angeles Rams(LAR),0,0,0,0,0,0,0,0,0,0,74.5%
29,30,Tennessee Titans(TEN),0,0,0,0,0,0,0,1,0.0,0.0,48.4%
30,31,Los Angeles Chargers(LAC),3,0,0,1,0,0,0,1,-1.0,-1.0,44.3%
31,32,Buffalo Bills(BUF),0,0,0,0,0,0,0,1,-4.0,-4.0,95.9%
