,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Miami Dolphins(MIA),8,2,0,0,1,0,0,1,25.0,25.0,60.2%
1,2,Dallas Cowboys(DAL),5,2,0,1,1,0,1,1,24.0,24.0,82.9%
2,3,Tampa Bay Buccaneers(TB),7,1,0,1,0,0,0,1,16.0,16.0,98.0%
3,4,Philadelphia Eagles(PHI),2,2,0,1,1,0,0,1,16.0,16.0,52.5%
4,5,Green Bay Packers(GB),5,4,0,0,0,0,0,1,13.0,13.0,60.6%
5,6,Kansas City Chiefs(KC),2,1,2,1,0,0,0,1,12.0,12.0,45.7%
6,7,Houston Texans(HOU),1,2,1,1,1,0,0,1,12.0,12.0,6.4%
7,8,Los Angeles Rams(LAR),3,1,0,1,0,0,1,1,11.0,11.0,74.5%
8,9,New York Jets(NYJ),1,0,1,2,0,0,1,1,9.0,9.0,3.3%
9,10,Denver Broncos(DEN),2,1,2,1,0,0,0,1,9.0,9.0,48.5%
10,11,Tennessee Titans(TEN),2,2,0,2,0,0,0,1,7.0,7.0,48.4%
11,12,Detroit Lions(DET),3,0,1,1,0,0,0,1,6.0,6.0,1.1%
12,13,Las Vegas Raiders(LV),2,0,0,0,0,0,0,1,6.0,6.0,7.6%
13,14,New Orleans Saints(NO),3,1,0,1,0,0,0,1,6.0,6.0,79.3%
14,15,Buffalo Bills(BUF),1,2,0,0,0,0,0,1,5.0,5.0,95.9%
15,16,San Francisco 49ers(SF),4,0,0,0,0,0,0,1,5.0,5.0,79.5%
16,17,Minnesota Vikings(MIN),0,3,0,0,0,0,0,1,5.0,5.0,28.0%
17,18,Seattle Seahawks(SEA),4,0,0,1,0,0,0,1,4.0,4.0,39.4%
18,19,Cincinnati Bengals(CIN),1,1,0,1,0,0,0,1,3.0,3.0,14.7%
19,20,Jacksonville Jaguars(JAC),1,0,0,0,0,0,0,1,3.0,3.0,6.9%
20,21,Atlanta Falcons(ATL),0,1,0,0,0,0,0,1,3.0,3.0,5.8%
21,22,Indianapolis Colts(IND),0,0,0,0,0,1,0,1,3.0,3.0,66.4%
22,23,Arizona Cardinals(ARI),2,0,0,0,0,0,0,1,2.0,2.0,60.9%
23,24,Chicago Bears(CHI),2,0,0,0,0,0,0,1,2.0,2.0,35.9%
24,25,New York Giants(NYG),1,0,0,1,0,0,0,1,0.0,0.0,4.5%
25,26,Cleveland Browns(CLE),0,0,0,0,0,0,0,1,0.0,0.0,40.8%
26,27,New England Patriots(NE),0,0,0,0,0,0,0,1,-1.0,-1.0,93.2%
27,28,Carolina Panthers(CAR),0,0,0,0,0,0,0,1,-1.0,-1.0,27.8%
28,29,Baltimore Ravens(BAL),3,0,0,0,0,0,0,1,-1.0,-1.0,51.9%
29,30,Washington Commanders(WAS),3,0,0,0,0,0,0,1,-1.0,-1.0,27.5%
30,31,Pittsburgh Steelers(PIT),2,0,0,1,0,0,0,1,-2.0,-2.0,44.6%
31,32,Los Angeles Chargers(LAC),1,0,0,0,0,0,0,1,-3.0,-3.0,44.3%
