,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Miami Dolphins(MIA),2,1,2,0,2,0,0,1,20.0,20.0,60.2%
1,2,Washington Commanders(WAS),3,2,1,0,1,0,0,1,19.0,19.0,27.5%
2,3,Minnesota Vikings(MIN),7,2,0,0,1,0,0,1,18.0,18.0,28.0%
3,4,Buffalo Bills(BUF),9,0,0,1,0,0,0,1,15.0,15.0,95.9%
4,5,Jacksonville Jaguars(JAC),6,1,1,2,0,0,0,1,14.0,14.0,6.9%
5,6,Pittsburgh Steelers(PIT),3,2,1,1,0,0,0,1,13.0,13.0,44.6%
6,7,Cincinnati Bengals(CIN),1,1,1,1,1,0,0,1,11.0,11.0,14.7%
7,8,New Orleans Saints(NO),3,1,2,3,0,0,0,1,10.0,10.0,79.3%
8,9,Kansas City Chiefs(KC),1,0,1,1,1,0,0,1,9.0,9.0,45.7%
9,10,San Francisco 49ers(SF),5,2,0,0,0,0,0,1,9.0,9.0,79.5%
10,11,Detroit Lions(DET),4,2,1,2,0,0,0,1,9.0,9.0,1.1%
11,12,Cleveland Browns(CLE),4,0,0,1,0,0,0,1,8.0,8.0,40.8%
12,13,Tampa Bay Buccaneers(TB),2,1,1,1,0,0,0,1,7.0,7.0,98.0%
13,14,Los Angeles Rams(LAR),3,2,0,1,0,0,0,1,7.0,7.0,74.5%
14,15,Seattle Seahawks(SEA),5,0,1,1,0,0,0,1,7.0,7.0,39.4%
15,16,Arizona Cardinals(ARI),1,1,1,1,1,0,0,1,7.0,7.0,60.9%
16,17,Las Vegas Raiders(LV),3,1,1,0,0,0,0,1,6.0,6.0,7.6%
17,18,Dallas Cowboys(DAL),3,1,0,0,0,0,0,1,5.0,5.0,82.9%
18,19,New York Giants(NYG),3,0,0,0,0,0,0,1,4.0,4.0,4.5%
19,20,Baltimore Ravens(BAL),1,1,0,0,0,0,0,1,4.0,4.0,51.9%
20,21,Chicago Bears(CHI),3,0,0,1,0,0,0,1,3.0,3.0,35.9%
21,22,Tennessee Titans(TEN),2,0,0,0,0,0,0,1,2.0,2.0,48.4%
22,23,Indianapolis Colts(IND),1,0,0,0,0,0,0,1,1.0,1.0,66.4%
23,24,New England Patriots(NE),1,0,0,0,0,0,0,1,1.0,1.0,93.2%
24,25,Denver Broncos(DEN),1,0,0,0,0,0,0,1,1.0,1.0,48.5%
25,26,Atlanta Falcons(ATL),1,0,0,0,0,0,0,1,0.0,0.0,5.8%
26,27,Houston Texans(HOU),1,0,0,0,0,0,0,1,0.0,0.0,6.4%
27,28,New York Jets(NYJ),0,0,0,1,0,0,0,1,0.0,0.0,3.3%
28,29,Los Angeles Chargers(LAC),3,0,0,2,0,0,0,1,-1.0,-1.0,44.3%
29,30,Philadelphia Eagles(PHI),1,0,0,0,0,0,0,1,-3.0,-3.0,52.5%
30,31,Green Bay Packers(GB),1,0,0,0,0,0,0,1,-3.0,-3.0,60.6%
31,32,Carolina Panthers(CAR),1,0,0,0,0,0,0,1,-3.0,-3.0,27.8%
