"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","1","3","0","1","1","0","0","1","20.0","20.0","93.2%"
"2","Cleveland Browns (CLE)","5","2","1","1","1","0","0","1","18.0","18.0","40.8%"
"3","Miami Dolphins (MIA)","5","3","1","1","0","0","0","1","17.0","17.0","60.2%"
"4","Jacksonville Jaguars (JAC)","4","2","1","2","0","0","0","1","17.0","17.0","6.9%"
"5","Tennessee Titans (TEN)","5","2","0","0","1","0","0","1","16.0","16.0","48.4%"
"6","Houston Texans (HOU)","4","2","3","2","0","0","0","1","15.0","15.0","6.4%"
"7","New York Giants (NYG)","1","2","1","1","1","0","0","1","14.0","14.0","4.5%"
"8","Minnesota Vikings (MIN)","3","2","0","0","0","0","1","1","12.0","12.0","28.0%"
"9","Arizona Cardinals (ARI)","5","1","2","2","0","0","0","1","12.0","12.0","60.9%"
"10","Kansas City Chiefs (KC)","1","1","1","0","0","0","0","1","11.0","11.0","45.7%"
"11","Chicago Bears (CHI)","4","0","1","0","1","0","0","1","11.0","11.0","35.9%"
"12","Buffalo Bills (BUF)","2","0","1","1","0","0","0","1","8.0","8.0","95.9%"
"13","Pittsburgh Steelers (PIT)","3","1","1","0","0","0","0","1","7.0","7.0","44.6%"
"14","Carolina Panthers (CAR)","2","1","1","2","0","0","0","1","7.0","7.0","27.8%"
"15","Denver Broncos (DEN)","2","1","1","0","0","0","0","1","7.0","7.0","48.5%"
"16","Las Vegas Raiders (LV)","3","0","1","1","0","0","0","1","6.0","6.0","7.6%"
"17","Los Angeles Rams (LAR)","3","1","0","0","0","0","0","1","5.0","5.0","74.5%"
"18","Indianapolis Colts (IND)","2","1","1","1","0","0","0","1","5.0","5.0","66.4%"
"19","Green Bay Packers (GB)","1","0","0","0","0","0","0","1","5.0","5.0","60.6%"
"20","Dallas Cowboys (DAL)","4","0","0","0","0","0","0","1","3.0","3.0","82.9%"
"21","Atlanta Falcons (ATL)","1","0","1","1","0","0","0","1","3.0","3.0","5.8%"
"22","New Orleans Saints (NO)","2","0","0","1","0","0","0","1","2.0","2.0","79.3%"
"23","San Francisco 49ers (SF)","2","0","0","1","0","0","0","1","1.0","1.0","79.5%"
"24","Los Angeles Chargers (LAC)","1","0","0","0","0","0","0","1","1.0","1.0","44.3%"
"25","Washington Football Team (WAS)","0","0","0","0","0","0","0","0","0","0","27.5%"
"26","Tampa Bay Buccaneers (TB)","0","0","0","0","0","0","0","0","0","0","98.0%"
"27","Philadelphia Eagles (PHI)","0","0","0","0","0","0","0","1","0.0","0.0","52.5%"
"28","Seattle Seahawks (SEA)","0","0","0","0","0","0","0","0","0","0","39.4%"
"29","Detroit Lions (DET)","0","0","0","0","0","0","0","0","0","0","1.1%"
"30","Baltimore Ravens (BAL)","0","0","0","0","0","0","0","1","-1.0","-1.0","51.9%"
"31","Cincinnati Bengals (CIN)","2","0","0","1","0","0","0","1","-2.0","-2.0","14.7%"
"32","New York Jets (NYJ)","1","0","0","2","0","0","0","1","-3.0","-3.0","3.3%"
""
""
