,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Tampa Bay Buccaneers(TB),4,3,2,3,0,0,0,1,21.0,21.0,98.0%
1,2,Tennessee Titans(TEN),4,1,2,3,0,0,0,1,17.0,17.0,48.4%
2,3,New York Giants(NYG),6,1,0,0,0,1,0,1,17.0,17.0,4.5%
3,4,Green Bay Packers(GB),4,1,1,4,0,0,0,1,14.0,14.0,60.6%
4,5,New England Patriots(NE),2,2,1,1,0,0,0,1,12.0,12.0,93.2%
5,6,Arizona Cardinals(ARI),2,0,1,1,0,0,0,1,11.0,11.0,60.9%
6,7,Indianapolis Colts(IND),2,2,2,2,0,0,0,1,11.0,11.0,66.4%
7,8,New Orleans Saints(NO),5,0,0,0,0,0,0,1,9.0,9.0,79.3%
8,9,Seattle Seahawks(SEA),2,0,1,1,0,0,0,1,8.0,8.0,39.4%
9,10,Los Angeles Rams(LAR),2,2,0,0,0,0,0,1,7.0,7.0,74.5%
10,11,Houston Texans(HOU),4,1,0,0,0,1,0,1,7.0,7.0,6.4%
11,12,Washington Commanders(WAS),3,0,1,2,0,0,0,1,7.0,7.0,27.5%
12,13,Las Vegas Raiders(LV),2,0,2,1,0,0,0,1,6.0,6.0,7.6%
13,14,Atlanta Falcons(ATL),1,2,0,0,0,0,0,1,6.0,6.0,5.8%
14,15,Cincinnati Bengals(CIN),5,0,0,1,0,0,0,1,6.0,6.0,14.7%
15,16,Cleveland Browns(CLE),2,1,0,0,0,0,0,1,5.0,5.0,40.8%
16,17,San Francisco 49ers(SF),1,0,2,3,0,0,0,1,4.0,4.0,79.5%
17,18,Denver Broncos(DEN),1,0,0,0,0,0,0,1,4.0,4.0,48.5%
18,19,Miami Dolphins(MIA),1,1,1,1,0,0,0,1,4.0,4.0,60.2%
19,20,Kansas City Chiefs(KC),1,1,0,0,0,0,0,1,3.0,3.0,45.7%
20,21,Carolina Panthers(CAR),2,0,0,0,0,0,0,1,2.0,2.0,27.8%
21,22,Philadelphia Eagles(PHI),0,1,0,0,0,0,0,1,1.0,1.0,52.5%
22,23,Dallas Cowboys(DAL),0,0,0,0,0,0,0,0,0,0,82.9%
23,24,Minnesota Vikings(MIN),0,0,0,0,0,0,0,0,0,0,28.0%
24,25,Pittsburgh Steelers(PIT),0,0,0,0,0,0,0,0,0,0,44.6%
25,26,Los Angeles Chargers(LAC),0,0,0,0,0,0,0,0,0,0,44.3%
26,27,Jacksonville Jaguars(JAC),0,0,0,0,0,0,0,0,0,0,6.9%
27,28,Buffalo Bills(BUF),0,0,0,0,0,0,0,0,0,0,95.9%
28,29,Detroit Lions(DET),1,0,0,0,0,0,0,1,0.0,0.0,1.1%
29,30,Baltimore Ravens(BAL),1,1,0,1,0,0,0,1,-1.0,-1.0,51.9%
30,31,Chicago Bears(CHI),0,0,1,1,0,0,0,1,-2.0,-2.0,35.9%
31,32,New York Jets(NYJ),1,0,0,0,0,0,0,1,-3.0,-3.0,3.3%
