,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,New Orleans Saints(NO),4,1,1,1,0,0,0,1,18.0,18.0,79.3%
1,2,Dallas Cowboys(DAL),1,3,1,1,0,0,0,1,16.0,16.0,82.9%
2,3,Pittsburgh Steelers(PIT),4,1,3,3,0,0,0,1,16.0,16.0,44.6%
3,4,Minnesota Vikings(MIN),3,0,3,3,0,0,0,1,15.0,15.0,28.0%
4,5,Indianapolis Colts(IND),1,2,0,1,0,0,1,1,14.0,14.0,66.4%
5,6,New York Jets(NYJ),1,2,1,0,1,0,0,1,12.0,12.0,3.3%
6,7,Houston Texans(HOU),3,0,0,0,0,0,1,1,10.0,10.0,6.4%
7,8,Miami Dolphins(MIA),6,0,1,1,0,0,0,1,9.0,9.0,60.2%
8,9,Los Angeles Rams(LAR),3,1,0,0,0,0,0,1,9.0,9.0,74.5%
9,10,San Francisco 49ers(SF),3,0,1,1,0,0,0,1,9.0,9.0,79.5%
10,11,Cincinnati Bengals(CIN),3,0,1,1,0,0,0,1,9.0,9.0,14.7%
11,12,Detroit Lions(DET),2,1,0,0,0,0,0,1,8.0,8.0,1.1%
12,13,Seattle Seahawks(SEA),4,1,0,0,0,0,0,1,7.0,7.0,39.4%
13,14,Washington Commanders(WAS),3,1,1,1,0,0,0,1,7.0,7.0,27.5%
14,15,Chicago Bears(CHI),4,1,0,1,0,0,0,1,7.0,7.0,35.9%
15,16,Buffalo Bills(BUF),4,1,0,1,0,0,0,1,7.0,7.0,95.9%
16,17,Cleveland Browns(CLE),2,1,1,2,0,0,0,1,7.0,7.0,40.8%
17,18,Tampa Bay Buccaneers(TB),2,0,0,1,0,0,0,1,6.0,6.0,98.0%
18,19,New York Giants(NYG),3,0,1,2,0,0,0,1,5.0,5.0,4.5%
19,20,Carolina Panthers(CAR),4,1,0,1,0,0,0,1,5.0,5.0,27.8%
20,21,Tennessee Titans(TEN),3,0,0,0,0,0,0,1,4.0,4.0,48.4%
21,22,Denver Broncos(DEN),3,0,0,0,0,0,0,1,4.0,4.0,48.5%
22,23,Los Angeles Chargers(LAC),1,1,1,1,0,0,0,1,4.0,4.0,44.3%
23,24,Arizona Cardinals(ARI),2,0,1,1,0,0,0,1,3.0,3.0,60.9%
24,25,Philadelphia Eagles(PHI),2,0,0,2,0,0,0,1,3.0,3.0,52.5%
25,26,Kansas City Chiefs(KC),0,1,1,1,0,0,0,1,3.0,3.0,45.7%
26,27,New England Patriots(NE),1,1,0,0,0,0,0,1,3.0,3.0,93.2%
27,28,Baltimore Ravens(BAL),3,0,0,0,0,0,0,1,2.0,2.0,51.9%
28,29,Jacksonville Jaguars(JAC),1,1,0,0,0,0,0,1,2.0,2.0,6.9%
29,30,Las Vegas Raiders(LV),0,0,0,0,0,0,0,1,1.0,1.0,7.6%
30,31,Atlanta Falcons(ATL),0,0,1,0,0,0,0,1,1.0,1.0,5.8%
31,32,Green Bay Packers(GB),1,0,0,0,0,0,0,1,0.0,0.0,60.6%
