,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Arizona Cardinals(ARI),0,0,0,0,0,0,0,0,0,0,60.9%
1,2,Minnesota Vikings(MIN),0,0,0,0,0,0,0,0,0,0,28.0%
2,3,Tennessee Titans(TEN),0,0,0,0,0,0,0,0,0,0,48.4%
3,4,Tampa Bay Buccaneers(TB),0,0,0,0,0,0,0,0,0,0,98.0%
4,5,Los Angeles Rams(LAR),0,0,0,0,0,0,0,0,0,0,74.5%
5,6,San Francisco 49ers(SF),0,0,0,0,0,0,0,0,0,0,79.5%
6,7,Seattle Seahawks(SEA),0,0,0,0,0,0,0,0,0,0,39.4%
7,8,Los Angeles Chargers(LAC),0,0,0,0,0,0,0,0,0,0,44.3%
8,9,Pittsburgh Steelers(PIT),0,0,0,0,0,0,0,0,0,0,44.6%
9,10,Philadelphia Eagles(PHI),0,0,0,0,0,0,0,0,0,0,52.5%
10,11,Las Vegas Raiders(LV),0,0,0,0,0,0,0,0,0,0,7.6%
11,12,New York Jets(NYJ),0,0,0,0,0,0,0,0,0,0,3.3%
12,13,New York Giants(NYG),0,0,0,0,0,0,0,0,0,0,4.5%
13,14,New Orleans Saints(NO),0,0,0,0,0,0,0,0,0,0,79.3%
14,15,New England Patriots(NE),0,0,0,0,0,0,0,0,0,0,93.2%
15,16,Miami Dolphins(MIA),0,0,0,0,0,0,0,0,0,0,60.2%
16,17,Atlanta Falcons(ATL),0,0,0,0,0,0,0,0,0,0,5.8%
17,18,Kansas City Chiefs(KC),0,0,0,0,0,0,0,0,0,0,45.7%
18,19,Jacksonville Jaguars(JAC),0,0,0,0,0,0,0,0,0,0,6.9%
19,20,Indianapolis Colts(IND),0,0,0,0,0,0,0,0,0,0,66.4%
20,21,Houston Texans(HOU),0,0,0,0,0,0,0,0,0,0,6.4%
21,22,Green Bay Packers(GB),0,0,0,0,0,0,0,0,0,0,60.6%
22,23,Detroit Lions(DET),0,0,0,0,0,0,0,0,0,0,1.1%
23,24,Denver Broncos(DEN),0,0,0,0,0,0,0,0,0,0,48.5%
24,25,Dallas Cowboys(DAL),0,0,0,0,0,0,0,0,0,0,82.9%
25,26,Cleveland Browns(CLE),0,0,0,0,0,0,0,0,0,0,40.8%
26,27,Cincinnati Bengals(CIN),0,0,0,0,0,0,0,0,0,0,14.7%
27,28,Chicago Bears(CHI),0,0,0,0,0,0,0,0,0,0,35.9%
28,29,Carolina Panthers(CAR),0,0,0,0,0,0,0,0,0,0,27.8%
29,30,Buffalo Bills(BUF),0,0,0,0,0,0,0,0,0,0,95.9%
30,31,Baltimore Ravens(BAL),0,0,0,0,0,0,0,0,0,0,51.9%
31,32,Washington Commanders(WAS),0,0,0,0,0,0,0,0,0,0,27.5%
