,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,65,65,100,5,0,57,57,26.4,40.6
1,Adrian Peterson,RB,DET,1,7,7,12,57,14,71,71,3.0,42.9
2,Alex Smith,QB,WAS,1,88,88,100,2,0,65,65,16.0,18.2
3,Ben Roethlisberger,QB,PIT,1,69,69,95,1,0,68,68,29.3,42.5
4,Danny Amendola,WR,DET,1,23,23,39,0,13,13,13,1.0,4.3
5,Drew Brees,QB,NO,1,20,20,34,5,0,70,70,6.9,34.5
6,Greg Olsen,TE,SEA,1,48,48,72,0,8,4,8,3.3,6.9
7,Jared Cook,TE,NO,1,21,21,36,0,10,0,10,0.0,0.0
8,Jason Witten,TE,LV,1,37,37,51,0,0,0,0,0.0,0.0
9,Larry Fitzgerald,WR,ARI,1,66,66,90,0,8,3,8,1.3,2.0
10,LeSean McCoy,RB,TB,1,3,3,4,0,0,0,0,0.0,0.0
11,Marcedes Lewis,TE,GB,1,26,26,40,0,0,0,0,0.0,0.0
12,Matthew Slater,WR,NE,1,1,1,2,0,0,0,0,0.0,0.0
13,Matthew Stafford,QB,DET,1,59,59,100,0,0,56,56,23.0,39.0
14,Philip Rivers,QB,IND,1,69,69,99,0,0,57,57,16.3,23.6
15,Tom Brady,QB,TB,1,75,75,94,3,0,55,55,31.8,42.4
16,Golden Tate,WR,NYG,1,27,27,38,0,19,7,19,4.4,16.3
17,Andre Roberts,WR,BUF,1,1,1,1,0,0,0,0,0.0,0.0
18,Emmanuel Sanders,WR,NO,1,34,34,58,0,3,3,3,0.5,1.5
19,Jimmy Graham,TE,CHI,1,29,29,57,0,7,0,7,0.0,0.0
20,Rob Gronkowski,TE,TB,1,65,65,81,0,5,3,5,11.1,17.1
21,Antonio Brown,WR,TB,1,39,39,49,3,21,21,23,6.6,16.9
22,A.J. Green,WR,CIN,1,54,54,83,0,9,0,9,0.0,0.0
23,Blaine Gabbert,QB,TB,1,5,5,6,60,0,60,60,0.0,0.0
24,Cam Newton,QB,NE,1,58,58,100,19,0,48,48,16.8,29.0
25,Mark Ingram II,RB,BAL,1,17,17,26,29,12,41,41,2.9,17.1
26,Randall Cobb,WR,HOU,1,32,32,56,0,16,9,16,4.1,12.8
27,Kyle Rudolph,TE,MIN,1,58,58,78,0,9,7,9,4.3,7.4
28,Dion Lewis,RB,NYG,1,14,14,20,0,14,14,14,1.7,12.1
29,Lee Smith,TE,BUF,1,12,12,16,0,0,0,0,0.0,0.0
30,Ryan Tannehill,QB,TEN,1,59,59,91,3,0,49,49,10.8,18.3
31,Nick Foles,QB,CHI,1,45,45,88,2,0,60,60,3.4,7.6
32,Kirk Cousins,QB,MIN,1,73,73,99,1,0,51,51,18.6,25.5
33,Russell Wilson,QB,SEA,1,67,67,100,12,0,67,67,11.9,17.8
34,Lamar Miller,RB,CHI,1,5,5,10,0,40,40,40,0.6,12.0
35,Alshon Jeffery,WR,PHI,1,18,18,27,0,6,0,6,0.0,0.0
36,T.Y. Hilton,WR,IND,1,47,47,67,0,11,9,11,4.0,8.5
37,Marvin Jones Jr.,WR,DET,1,51,51,86,0,20,16,20,15.6,30.6
38,Alfred Morris,RB,NYG,1,15,15,21,53,0,53,53,3.4,22.7
39,Cole Beasley,WR,BUF,1,58,58,79,0,22,19,22,16.9,29.1
40,DeAndre Hopkins,WR,ARI,1,70,70,96,0,17,10,17,18.7,26.7
41,Robert Woods,WR,LAR,1,56,56,80,2,11,11,13,3.6,6.4
42,Kenny Stills,WR,HOU,1,8,8,14,0,13,13,13,0.6,7.5
43,Cordarrelle Patterson,RB,CHI,1,25,25,49,48,8,56,56,10.9,43.6
44,Keenan Allen,WR,LAC,1,55,55,85,0,13,5,13,9.9,18.0
45,Giovani Bernard,RB,CIN,1,44,44,68,18,16,27,34,4.7,10.7
46,Chris Thompson,RB,JAC,1,1,1,2,0,0,0,0,0.0,0.0
