Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Matt Schaub(FA),38,52,73.1,497,9.6,3,1,5,1,2,0,0,1,30.1,30.1,0.0%
2,Aaron Rodgers(GB),19,29,65.5,255,8.8,2,0,0,5,20,1,0,1,26.2,26.2,97.4%
3,Matt Ryan(ATL),21,32,65.6,225,7.0,3,0,1,6,6,0,1,1,19.6,19.6,36.3%
4,Drew Brees(FA),28,38,73.7,254,6.7,2,0,2,0,0,0,0,1,18.9,18.9,35.7%
5,Alex Smith(FA),23,32,71.9,275,8.6,1,2,0,4,28,0,0,1,13.8,13.8,5.0%
6,Tom Brady(FA),20,36,55.6,248,6.9,2,2,1,0,0,0,1,1,11.9,11.9,99.1%
7,Chad Henne(KC),9,15,60.0,114,7.6,1,0,2,2,0,0,0,1,8.6,8.6,0.1%
8,Matt Moore(FA),6,16,37.5,125,7.8,1,1,4,1,2,0,1,1,5.2,5.2,0.0%
9,Luke McCown(FA),11,19,57.9,120,6.3,0,0,0,1,4,0,0,1,5.2,5.2,0.0%
10,Joe Flacco(NYJ),17,39,43.6,154,3.9,1,4,1,3,9,0,0,1,3.1,3.1,0.3%
11,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
12,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
13,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
14,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
15,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
16,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
17,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
18,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
