player,passing_att,passing_cmp,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,position,week,year
Josh Johnson,1.3,0.8,8.7,0.1,0.1,0.3,1.5,0.0,0.0,0.8,BAL,QB,15,2021
Trevor Siemian,1.1,0.7,7.1,0.1,0.0,0.2,1.0,0.0,0.0,0.8,NO,QB,15,2021
Cooper Rush,1.6,0.9,12.5,0.1,0.0,0.3,0.2,0.0,0.0,0.8,DAL,QB,15,2021
Brian Hoyer,1.2,0.8,9.0,0.1,0.0,0.3,0.2,0.0,0.0,0.8,NE,QB,15,2021
Kyle Trask,1.2,0.7,8.6,0.1,0.0,0.1,0.2,0.0,0.0,0.8,TB,QB,15,2021
Brandon Allen,1.3,0.8,12.7,0.1,0.1,0.2,0.5,0.0,0.0,0.8,CIN,QB,15,2021
Andy Dalton,1.2,0.7,8.5,0.1,0.1,0.3,1.2,0.0,0.0,0.8,CHI,QB,15,2021
Tim Boyle,1.4,0.8,11.9,0.0,0.0,0.2,0.1,0.0,0.0,0.6,DET,QB,15,2021
Sam Ehlinger,0.7,0.4,9.9,0.0,0.1,0.2,0.5,0.0,0.0,0.6,IND,QB,15,2021
John Wolford,1.5,0.9,10.5,0.0,0.0,0.3,0.9,0.0,0.0,0.5,LAR,QB,15,2021
Logan Woodside,0.6,0.4,9.5,0.0,0.0,0.3,0.3,0.0,0.0,0.5,TEN,QB,15,2021
Lamar Jackson,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,BAL,QB,15,2021
Feleipe Franks,0.9,0.6,5.4,0.0,0.1,0.2,0.9,0.0,0.0,0.2,ATL,QB,15,2021
Sean Mannion,0.6,0.3,4.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,MIN,QB,15,2021
