Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh AllenBUF,37.6,24.1,291.3,2.2,0.7,6.9,33.9,0.4,0.3,25.1
Patrick Mahomes IIKC,39.8,26.8,317.0,2.4,0.5,4.2,20.6,0.2,0.1,24.5
Kyler MurrayARI,36.4,23.9,270.6,2.0,0.9,6.9,40.7,0.4,0.2,24.3
Lamar JacksonBAL,29.6,18.6,218.7,1.6,0.8,9.8,62.0,0.5,0.3,23.3
Russell WilsonDEN,34.9,23.6,279.0,2.4,0.4,4.8,27.1,0.1,0.2,23.1
Aaron RodgersGB,34.5,23.9,291.2,2.5,0.5,2.6,13.0,0.1,0.2,22.7
Justin HerbertLAC,40.0,26.1,296.5,2.2,0.7,3.6,15.8,0.2,0.2,22.2
Dak PrescottDAL,40.0,26.4,299.0,2.1,0.8,3.8,17.9,0.2,0.1,21.9
Jalen HurtsPHI,35.6,21.3,233.6,1.6,0.9,8.1,44.6,0.4,0.3,21.1
Baker MayfieldCLE,32.2,21.1,258.4,2.0,0.8,3.1,13.3,0.1,0.1,19.2
Ryan TannehillTEN,33.5,21.5,260.3,1.8,0.6,3.2,15.3,0.1,0.2,18.8
Matthew StaffordLAR,36.7,24.2,282.3,1.8,0.8,2.2,7.4,0.1,0.2,18.6
Teddy BridgewaterDEN,33.2,22.2,253.3,1.7,0.7,3.8,17.5,0.1,0.1,18.5
Joe BurrowCIN,36.6,23.8,272.7,1.7,0.8,2.4,10.9,0.1,0.2,18.1
Kirk CousinsMIN,33.9,23.1,269.8,1.8,0.8,1.4,5.3,0.0,0.2,17.4
Derek CarrLV,35.9,23.1,271.2,1.7,0.8,2.2,7.7,0.1,0.2,17.4
Jameis WinstonNO,32.9,21.1,243.6,1.6,1.1,3.9,18.8,0.1,0.2,17.2
Trevor LawrenceJAC,37.4,23.6,254.7,1.6,1.1,2.9,14.2,0.1,0.1,17.0
Matt RyanATL,39.7,25.9,280.2,1.6,1.0,1.8,5.2,0.0,0.2,17.0
Mac JonesNE,34.2,22.9,252.8,1.7,0.7,1.5,6.6,0.0,0.1,16.9
Taylor HeinickeWAS,34.8,22.6,241.9,1.5,1.1,3.4,17.9,0.1,0.1,16.7
Tua TagovailoaMIA,34.8,22.1,241.5,1.4,0.9,3.2,13.9,0.2,0.1,16.5
Jimmy GaroppoloSF,30.5,20.8,248.7,1.7,0.8,1.7,4.9,0.0,0.2,16.1
Sam DarnoldCAR,35.2,21.4,237.9,1.4,1.2,3.1,12.6,0.2,0.2,15.8
Jared GoffDET,36.9,23.2,260.1,1.4,1.1,2.5,6.8,0.1,0.2,15.7
Zach WilsonNYJ,33.4,20.9,240.2,1.4,1.1,2.9,14.6,0.1,0.2,15.6
Carson WentzWAS,34.9,21.3,226.6,1.4,0.9,4.0,17.0,0.1,0.3,15.5
Daniel JonesNYG,34.8,21.5,234.5,1.1,1.0,4.3,25.4,0.1,0.3,15.4
Andy DaltonCHI,33.0,21.0,230.5,1.5,0.9,2.2,8.1,0.1,0.2,15.0
Tyrod TaylorHOU,34.8,20.7,232.9,1.1,0.8,3.4,17.7,0.1,0.1,15.0
Trey LanceSF,2.5,1.6,22.1,0.1,0.1,2.2,10.7,0.0,0.0,2.5
Taysom HillNO,1.4,0.8,8.1,0.0,0.0,2.7,12.8,0.1,0.1,1.9
Justin FieldsCHI,3.0,1.7,19.5,0.1,0.1,1.4,5.9,0.0,0.0,1.9
Jacoby BrissettMIA,0.5,0.3,3.0,0.0,0.0,2.5,10.0,0.0,0.0,1.3
Trevor SiemianNO,0.0,0.0,22.1,0.1,0.1,0.0,0.9,0.0,0.0,1.1
David BloughDET,1.5,0.9,10.4,0.1,0.0,0.2,1.0,0.0,0.0,0.9
Tyler HuntleyBAL,0.6,0.4,10.6,0.0,0.0,0.2,3.7,0.0,0.0,0.9
Cooper RushDAL,1.3,0.8,11.5,0.1,0.0,0.1,0.1,0.0,0.0,0.8
Joe FlaccoNYJ,1.1,0.6,8.7,0.1,0.0,0.2,0.5,0.0,0.0,0.7
Drew LockSEA,0.9,0.6,11.5,0.1,0.1,0.1,0.3,0.0,0.0,0.7
Jordan LoveGB,0.7,0.5,11.2,0.1,0.0,0.1,0.1,0.0,0.0,0.7
Davis MillsHOU,0.0,0.0,9.8,0.0,0.1,0.0,1.2,0.0,0.0,0.7
Mitchell TrubiskyBUF,0.8,0.5,9.9,0.1,0.0,0.2,0.4,0.0,0.0,0.6
Kyle AllenWAS,0.7,0.5,9.6,0.1,0.0,0.1,0.2,0.0,0.0,0.6
Brian HoyerNE,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
C.J. BeathardJAC,0.8,0.4,9.1,0.1,0.0,0.1,0.3,0.0,0.0,0.6
Brandon AllenCIN,0.8,0.5,9.5,0.1,0.0,0.1,0.3,0.0,0.0,0.6
Jacob EasonSEA,0.5,0.3,10.3,0.0,0.0,0.1,0.1,0.0,0.0,0.5
Blaine GabbertTB,0.9,0.6,6.6,0.1,0.0,0.1,0.5,0.0,0.0,0.5
Chase DanielLAC,0.9,0.6,6.1,0.1,0.0,0.2,0.6,0.0,0.0,0.5
Chad HenneKC,0.8,0.5,5.6,0.1,0.0,0.1,0.6,0.0,0.0,0.5
Colt McCoyARI,0.7,0.5,5.5,0.1,0.0,0.1,0.5,0.0,0.0,0.5
Mason RudolphPIT,0.8,0.6,5.5,0.1,0.0,0.1,0.4,0.0,0.0,0.5
Case KeenumCLE,0.7,0.5,5.5,0.1,0.0,0.1,0.4,0.0,0.0,0.5
Josh RosenATL,0.8,0.5,4.7,0.1,0.0,0.1,0.4,0.0,0.0,0.4
Geno SmithSEA,0.7,0.5,5.3,0.1,0.0,0.1,0.1,0.0,0.0,0.4
Mike WhiteNYJ,0.0,0.0,8.5,0.0,0.1,0.0,0.1,0.0,0.0,0.4
P.J. WalkerCAR,0.7,0.4,4.4,0.1,0.1,0.2,0.1,0.0,0.0,0.3
John WolfordLAR,0.8,0.5,5.7,0.0,0.0,0.2,0.5,0.0,0.0,0.3
Mike GlennonNYG,0.7,0.4,7.1,0.0,0.0,0.1,0.3,0.0,0.1,0.3
Sean MannionMIN,0.5,0.3,3.7,0.0,0.0,0.1,0.1,0.0,0.0,0.2
Logan WoodsideTEN,0.4,0.3,2.5,0.0,0.0,0.2,0.4,0.0,0.0,0.1
Tim BoyleDET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus MariotaLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew IIPHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen MondMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett GilbertWAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
