Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh AllenBUF,38.1,24.7,287.5,2.2,0.7,7.0,36.0,0.4,0.3,24.9
Kyler MurrayARI,34.5,23.4,262.6,1.9,0.9,7.0,39.3,0.5,0.1,24.2
Lamar JacksonBAL,29.2,18.3,235.5,1.7,0.8,10.0,60.1,0.5,0.3,23.7
Patrick Mahomes IIKC,37.3,24.6,294.1,2.4,0.7,4.1,21.1,0.2,0.1,23.7
Dak PrescottDAL,36.4,25.6,286.6,2.2,0.8,4.1,18.2,0.2,0.2,22.3
Jalen HurtsPHI,34.7,21.1,241.3,1.5,0.8,8.2,47.2,0.3,0.2,21.1
Kirk CousinsMIN,32.8,22.4,288.5,2.4,0.7,1.9,7.2,0.1,0.2,21.0
Matthew StaffordLAR,37.6,24.8,299.7,2.2,0.8,2.3,8.5,0.1,0.2,21.0
Russell WilsonDEN,33.3,22.2,263.4,2.0,0.5,4.2,23.6,0.2,0.3,20.8
Justin HerbertLAC,38.5,24.7,277.0,2.0,0.8,3.7,15.1,0.2,0.2,20.5
Trey LanceSF,33.3,21.2,244.2,1.4,0.9,6.8,36.6,0.4,0.2,20.4
Aaron RodgersGB,34.9,23.6,274.1,2.1,0.5,2.3,10.6,0.1,0.1,20.2
Daniel JonesNYG,37.0,23.6,269.5,1.6,1.0,5.5,33.0,0.2,0.3,19.9
Sam DarnoldCAR,35.5,23.1,258.6,1.7,0.8,4.3,18.2,0.3,0.2,19.7
Ryan TannehillTEN,33.6,22.7,270.4,1.7,0.6,3.7,18.3,0.2,0.2,19.5
Joe BurrowCIN,33.1,22.0,258.5,2.0,0.8,2.9,12.3,0.1,0.1,19.4
Derek CarrLV,35.0,23.1,285.7,1.9,0.8,2.6,9.0,0.1,0.2,19.3
Trevor LawrenceJAC,35.1,21.9,248.0,1.7,1.1,3.7,18.0,0.1,0.1,17.9
Mac JonesNE,34.3,23.9,261.1,1.7,0.7,2.5,10.6,0.1,0.1,17.8
Matt RyanATL,37.8,25.0,266.6,1.8,0.7,1.8,6.3,0.1,0.2,17.5
Jared GoffDET,37.7,24.5,277.4,1.6,0.9,2.7,9.8,0.1,0.3,17.4
Taylor HeinickeWAS,34.6,22.2,247.4,1.5,1.2,4.5,19.8,0.1,0.1,17.3
Justin FieldsCHI,34.2,21.4,218.4,1.2,1.0,5.6,27.7,0.2,0.2,16.4
