Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Patrick Mahomes IIKC,39.1,25.9,314.6,2.6,0.5,3.5,18.9,0.1,0.1,24.9
Kyler MurrayARI,37.0,24.5,271.1,1.6,0.9,7.7,43.5,0.6,0.2,23.9
Lamar JacksonBAL,28.7,18.1,216.0,1.6,0.8,10.0,63.0,0.6,0.2,23.8
Josh AllenBUF,37.0,23.6,272.5,2.1,0.8,6.8,31.9,0.3,0.2,22.9
Jalen HurtsPHI,35.3,21.5,248.4,1.4,0.8,8.4,44.4,0.4,0.3,20.9
Russell WilsonDEN,34.3,23.2,273.1,2.0,0.6,4.9,27.0,0.1,0.2,20.9
Aaron RodgersGB,35.7,23.7,274.7,2.2,0.5,2.5,12.1,0.1,0.2,20.4
Dak PrescottDAL,40.0,26.5,300.1,1.8,0.9,3.5,15.6,0.1,0.2,20.3
Ryan TannehillTEN,32.2,21.2,254.8,2.0,0.5,3.4,16.4,0.1,0.1,19.8
Trevor LawrenceJAC,34.9,23.5,266.3,1.8,0.7,4.1,20.5,0.1,0.1,19.4
Justin HerbertLAC,37.7,24.3,272.2,1.7,0.8,4.0,18.0,0.2,0.2,19.3
Joe BurrowCIN,37.6,24.2,276.1,1.7,0.8,3.4,13.7,0.1,0.2,18.7
Matthew StaffordLAR,37.1,23.9,271.7,1.9,0.8,1.9,7.7,0.0,0.2,18.5
Matt RyanATL,36.2,23.9,277.1,1.8,0.7,1.9,5.9,0.1,0.2,18.4
Sam DarnoldCAR,34.9,22.2,250.0,1.8,0.9,3.3,13.3,0.1,0.2,18.0
Kirk CousinsMIN,32.6,21.5,264.5,1.9,0.8,1.5,5.8,0.0,0.2,17.9
Ryan FitzpatrickWAS,35.8,22.9,253.0,1.7,1.1,3.4,16.7,0.1,0.2,17.9
Baker MayfieldCLE,36.0,22.5,262.7,1.7,0.9,2.7,11.2,0.1,0.2,17.7
Derek CarrLV,36.1,24.0,269.4,1.8,0.8,2.0,6.9,0.1,0.2,17.6
Jimmy GaroppoloSF,30.2,20.6,256.5,1.8,0.9,2.2,6.4,0.0,0.2,17.2
Mac JonesNE,33.6,21.4,249.2,1.6,0.8,2.4,10.1,0.1,0.2,16.8
Teddy BridgewaterDEN,33.9,22.4,253.4,1.3,0.7,3.8,16.6,0.1,0.1,16.8
Tyrod TaylorHOU,33.4,20.5,234.1,1.4,0.7,4.5,20.8,0.1,0.1,16.5
Tua TagovailoaMIA,35.1,23.0,250.2,1.4,0.9,3.2,13.7,0.1,0.1,16.3
Carson WentzWAS,35.2,22.0,242.4,1.4,0.9,3.8,15.9,0.1,0.3,16.2
Zach WilsonNYJ,34.0,21.8,240.4,1.3,1.0,3.9,19.4,0.1,0.2,16.1
Jameis WinstonNO,34.3,21.2,250.2,1.4,1.3,3.3,15.6,0.1,0.2,15.9
Daniel JonesNYG,34.0,20.7,229.0,1.3,0.9,4.0,24.3,0.1,0.3,15.8
Jared GoffDET,36.2,22.9,255.1,1.3,1.0,2.0,5.0,0.1,0.2,14.7
Andy DaltonCHI,35.4,22.0,230.9,1.1,1.1,2.2,7.5,0.1,0.2,13.6
Trey LanceSF,4.6,2.8,36.8,0.1,0.1,3.5,17.3,0.2,0.0,5.1
