player,passing_att,passing_cmp,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,position,week,year
Josh Allen,37.1,24.3,294.9,2.5,0.8,7.2,36.2,0.4,0.2,26.3,BUF,QB,6,2021
Patrick Mahomes II,38.4,25.7,314.1,2.8,0.7,5.1,26.6,0.1,0.1,26.2,KC,QB,6,2021
Lamar Jackson,32.1,20.8,247.2,1.8,0.8,9.4,61.8,0.4,0.3,24.1,BAL,QB,6,2021
Kyler Murray,34.7,22.9,264.3,1.8,0.9,6.3,33.3,0.5,0.1,22.5,ARI,QB,6,2021
Justin Herbert,39.9,26.5,304.2,2.1,0.6,3.8,15.9,0.2,0.2,22.3,LAC,QB,6,2021
Jalen Hurts,36.8,23.3,260.4,1.6,0.9,7.7,40.8,0.4,0.2,22.3,PHI,QB,6,2021
Dak Prescott,34.8,23.6,275.6,2.1,0.8,3.8,16.8,0.1,0.2,20.6,DAL,QB,6,2021
Matthew Stafford,35.6,24.3,289.9,2.2,0.7,2.2,8.4,0.1,0.2,20.6,LAR,QB,6,2021
Joe Burrow,31.7,21.6,274.2,2.0,0.8,3.3,12.3,0.1,0.2,20.1,CIN,QB,6,2021
Aaron Rodgers,34.8,23.3,278.1,2.1,0.5,2.0,9.2,0.0,0.1,19.9,GB,QB,6,2021
Taylor Heinicke,34.9,22.3,256.7,1.8,1.1,5.1,25.5,0.2,0.1,19.5,WAS,QB,6,2021
Trevor Lawrence,34.5,22.0,248.7,1.6,1.1,4.6,21.8,0.2,0.2,18.4,JAC,QB,6,2021
Carson Wentz,33.7,21.8,251.6,1.8,0.8,3.5,15.5,0.1,0.3,18.3,IND,QB,6,2021
Sam Darnold,36.9,23.3,258.7,1.5,0.9,4.0,17.2,0.3,0.2,18.2,CAR,QB,6,2021
Teddy Bridgewater,34.5,22.8,245.1,1.6,0.6,3.2,15.1,0.1,0.1,17.5,DEN,QB,6,2021
Tua Tagovailoa,35.5,23.3,254.8,1.5,0.8,3.8,14.0,0.2,0.1,17.4,MIA,QB,6,2021
Kirk Cousins,33.3,22.5,256.5,1.8,0.7,1.5,6.1,0.0,0.1,17.2,MIN,QB,6,2021
Ryan Tannehill,34.5,22.0,245.5,1.5,0.9,3.4,16.9,0.1,0.2,16.8,TEN,QB,6,2021
Baker Mayfield,33.1,20.9,246.1,1.5,0.8,3.6,14.8,0.1,0.1,16.8,CLE,QB,6,2021
Daniel Jones,34.6,21.6,236.8,1.1,1.0,5.1,29.6,0.2,0.3,16.8,NYG,QB,6,2021
Jared Goff,37.8,24.6,270.9,1.5,0.9,2.5,9.0,0.1,0.3,16.7,DET,QB,6,2021
Mac Jones,36.7,25.2,270.5,1.5,1.0,1.9,8.0,0.1,0.1,16.7,NE,QB,6,2021
Derek Carr,35.3,22.6,266.2,1.4,0.8,2.6,8.5,0.1,0.2,16.4,LV,QB,6,2021
Geno Smith,33.4,21.7,247.5,1.2,1.1,3.0,15.6,0.1,0.2,15.4,SEA,QB,6,2021
Justin Fields,29.7,18.6,193.5,1.2,0.9,4.7,22.5,0.2,0.2,14.7,CHI,QB,6,2021
Davis Mills,30.7,19.7,234.6,1.2,1.3,1.8,5.6,0.0,0.1,13.6,HOU,QB,6,2021
Mike Glennon,8.9,5.4,36.5,0.2,0.2,0.5,0.6,0.0,0.1,2.1,NYG,QB,6,2021
Jacoby Brissett,1.5,1.0,20.9,0.1,0.0,0.2,0.6,0.0,0.0,1.4,MIA,QB,6,2021
Jeff Driskel,0.0,0.0,28.3,0.1,0.1,0.0,0.2,0.0,0.0,1.3,HOU,QB,6,2021
Blaine Gabbert,1.6,1.0,15.9,0.1,0.0,0.2,0.5,0.0,0.0,1.1,TB,QB,6,2021
Chase Daniel,1.6,1.0,11.9,0.1,0.0,0.3,1.0,0.0,0.0,1.0,LAC,QB,6,2021
Chad Henne,1.5,0.9,11.3,0.1,0.0,0.2,1.2,0.0,0.0,1.0,KC,QB,6,2021
Brandon Allen,1.4,0.9,16.1,0.1,0.0,0.2,0.5,0.0,0.0,1.0,CIN,QB,6,2021
Jake Luton,0.0,0.0,24.2,0.1,0.3,0.0,0.0,0.0,0.0,0.9,JAC,QB,6,2021
David Blough,1.5,0.9,10.5,0.1,0.0,0.2,1.0,0.0,0.0,0.9,DET,QB,6,2021
Drew Lock,1.4,0.9,13.5,0.1,0.0,0.3,0.7,0.0,0.0,0.9,DEN,QB,6,2021
Mason Rudolph,1.5,1.0,10.2,0.1,0.0,0.3,0.8,0.0,0.0,0.9,PIT,QB,6,2021
C.J. Beathard,1.3,0.8,15.3,0.1,0.1,0.3,0.7,0.0,0.1,0.8,JAC,QB,6,2021
Tyler Huntley,1.4,0.9,14.0,0.0,0.0,0.3,1.5,0.0,0.0,0.8,BAL,QB,6,2021
Brian Hoyer,1.4,1.0,13.9,0.1,0.1,0.3,0.4,0.0,0.0,0.8,NE,QB,6,2021
Jordan Love,1.4,0.9,16.1,0.0,0.1,0.3,0.2,0.0,0.0,0.8,GB,QB,6,2021
Mitchell Trubisky,1.5,1.0,10.9,0.1,0.0,0.3,0.6,0.0,0.0,0.8,BUF,QB,6,2021
Marcus Mariota,1.4,0.9,10.6,0.1,0.0,0.3,0.6,0.0,0.0,0.8,LV,QB,6,2021
P.J. Walker,1.4,0.9,10.3,0.1,0.1,0.3,0.2,0.0,0.0,0.7,CAR,QB,6,2021
Cooper Rush,1.0,0.6,11.9,0.1,0.1,0.1,0.2,0.0,0.0,0.7,DAL,QB,6,2021
Case Keenum,1.2,0.8,9.9,0.1,0.0,0.2,0.4,0.0,0.0,0.7,CLE,QB,6,2021
Colt McCoy,1.4,0.9,10.9,0.1,0.0,0.2,0.3,0.0,0.0,0.7,ARI,QB,6,2021
Kyle Allen,1.4,0.9,10.3,0.1,0.1,0.1,0.3,0.0,0.0,0.7,WAS,QB,6,2021
Andy Dalton,1.5,0.9,9.9,0.1,0.1,0.1,0.3,0.0,0.0,0.6,CHI,QB,6,2021
John Wolford,1.4,0.9,11.5,0.0,0.0,0.2,0.5,0.0,0.0,0.6,LAR,QB,6,2021
Logan Woodside,0.7,0.5,6.3,0.0,0.0,0.3,0.5,0.0,0.0,0.4,TEN,QB,6,2021
Sean Mannion,0.6,0.3,3.6,0.0,0.0,0.1,0.1,0.0,0.0,0.2,MIN,QB,6,2021
