Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Justin HerbertLAC,36.2,24.0,277.2,2.3,0.8,4.5,23.7,0.2,0.1,22.9
Jalen HurtsPHI,28.8,17.6,208.3,1.3,0.6,10.2,58.6,0.6,0.2,21.9
Patrick Mahomes IIKC,37.5,24.2,284.0,2.0,0.6,4.5,25.1,0.2,0.2,21.7
Kyler MurrayARI,34.3,23.2,264.1,1.8,0.7,6.8,30.7,0.3,0.2,21.5
Aaron RodgersGB,35.8,23.8,280.3,2.1,0.4,2.2,10.0,0.1,0.1,20.6
Josh AllenBUF,35.8,22.6,251.3,1.6,1.0,6.7,38.0,0.2,0.2,20.2
Dak PrescottDAL,36.0,24.4,273.3,2.0,0.6,3.0,11.9,0.1,0.2,19.8
Matthew StaffordLAR,35.2,23.4,288.2,2.0,0.6,1.7,5.5,0.0,0.1,19.6
Joe BurrowCIN,32.1,21.0,261.3,1.8,0.7,2.5,10.5,0.1,0.1,18.3
Russell WilsonDEN,30.2,19.8,232.5,1.8,0.6,3.2,17.1,0.1,0.2,17.7
Jimmy GaroppoloSF,33.1,22.0,269.0,1.7,0.7,2.2,5.9,0.1,0.2,17.4
Kirk CousinsMIN,35.2,23.2,256.3,1.8,0.8,2.3,6.6,0.1,0.2,17.3
Matt RyanATL,34.6,23.0,258.7,1.5,0.8,2.5,8.9,0.1,0.2,16.7
Derek CarrLV,35.7,23.6,269.3,1.3,0.8,2.3,8.8,0.1,0.2,16.1
Ryan TannehillTEN,31.2,20.4,225.5,1.3,0.6,3.4,16.9,0.2,0.2,16.0
Josh JohnsonBAL,34.4,21.2,241.0,1.1,1.1,4.1,21.1,0.1,0.2,15.4
Carson WentzWAS,32.5,20.4,224.3,1.3,0.7,3.6,15.8,0.1,0.2,15.4
Tua TagovailoaMIA,34.5,22.6,236.6,1.2,0.8,3.3,11.9,0.1,0.1,15.3
Taylor HeinickeWAS,34.5,22.2,232.3,1.1,1.1,3.6,18.9,0.1,0.1,14.9
Trevor LawrenceJAC,34.2,21.4,225.2,1.1,1.1,3.9,18.7,0.1,0.1,14.8
Baker MayfieldCLE,32.9,20.3,235.7,1.2,0.9,2.6,10.8,0.1,0.2,14.7
Zach WilsonNYJ,33.1,20.0,222.1,1.3,1.2,2.8,13.0,0.1,0.2,14.5
Tim BoyleDET,33.0,21.3,222.0,1.3,0.9,2.0,9.9,0.1,0.1,14.3
Mac JonesNE,32.6,21.9,224.0,1.2,0.8,2.1,9.2,0.1,0.2,14.2
Drew LockSEA,32.0,20.1,219.7,1.3,1.0,2.7,11.5,0.1,0.2,14.2
Davis MillsHOU,35.0,22.1,232.3,1.2,0.9,1.8,7.0,0.0,0.2,13.8
Nick FolesCHI,35.2,22.6,239.7,1.0,1.0,2.3,7.1,0.1,0.2,13.4
Jake FrommNYG,33.8,21.1,227.4,1.0,1.0,1.7,7.8,0.0,0.2,13.0
Ian BookNO,30.4,18.2,202.1,1.0,1.0,5.0,22.2,0.1,0.6,12.9
Cam NewtonCAR,20.8,12.9,143.7,0.6,0.7,5.8,28.8,0.5,0.1,12.8
Sam DarnoldCAR,13.7,8.5,81.7,0.3,0.3,1.1,4.8,0.0,0.1,4.6
Blaine GabbertTB,1.6,1.0,20.0,0.1,0.1,0.2,4.0,0.0,0.0,1.5
Trey LanceSF,0.6,0.4,5.0,0.0,0.0,1.6,7.2,0.1,0.0,1.5
Easton StickLAC,0.0,0.0,21.8,0.1,0.1,0.0,0.1,0.0,0.0,1.3
