Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Lamar JacksonBAL,32.3,20.6,246.2,1.7,0.9,9.7,60.9,0.4,0.2,23.9
Josh AllenBUF,37.6,24.3,284.5,1.9,0.9,6.7,30.9,0.3,0.2,22.4
Jalen HurtsPHI,29.7,18.4,213.5,1.3,0.7,10.8,59.7,0.6,0.2,22.2
Justin HerbertLAC,38.3,24.6,286.5,1.9,0.9,4.4,22.9,0.2,0.1,21.1
Dak PrescottDAL,36.2,24.1,269.3,2.0,0.6,3.4,14.4,0.2,0.2,20.2
Aaron RodgersGB,34.5,22.6,263.7,1.9,0.4,2.3,10.0,0.1,0.1,18.9
Russell WilsonDEN,32.5,21.5,248.5,1.8,0.6,4.2,22.7,0.1,0.2,18.8
Matthew StaffordLAR,36.3,24.1,287.6,1.9,0.7,1.7,5.9,0.0,0.1,18.8
Derek CarrLV,37.1,24.8,293.5,1.7,0.7,1.8,6.3,0.1,0.2,18.2
Kirk CousinsMIN,35.8,24.3,273.4,1.8,0.7,1.5,6.2,0.1,0.2,18.0
Tyrod TaylorHOU,33.6,21.5,235.3,1.6,0.7,4.1,20.6,0.2,0.1,17.9
Cam NewtonCAR,32.1,20.7,227.2,1.1,0.9,7.5,35.8,0.3,0.2,17.8
Joe BurrowCIN,32.2,21.1,255.2,1.7,0.9,2.3,10.1,0.1,0.1,17.6
Jimmy GaroppoloSF,31.5,20.6,248.2,1.7,0.7,2.0,7.2,0.1,0.2,17.2
Taylor HeinickeWAS,34.2,22.5,241.0,1.4,0.9,4.8,24.7,0.1,0.2,17.1
Carson WentzWAS,34.9,22.3,236.0,1.7,0.8,3.2,13.0,0.1,0.2,17.1
Matt RyanATL,36.8,25.1,273.2,1.5,0.8,1.4,5.0,0.1,0.2,16.7
Daniel JonesNYG,34.9,22.2,237.0,1.3,0.8,4.5,24.9,0.2,0.3,16.6
Mac JonesNE,32.7,22.7,245.7,1.5,0.7,2.5,10.1,0.1,0.1,16.4
Tua TagovailoaMIA,35.8,23.6,239.2,1.4,0.9,3.2,13.7,0.2,0.1,16.3
Andy DaltonCHI,31.6,19.9,236.5,1.4,0.6,2.6,12.3,0.1,0.2,16.1
Teddy BridgewaterDEN,33.9,22.7,246.3,1.4,0.7,2.4,9.9,0.1,0.1,16.0
Trevor LawrenceJAC,34.4,21.9,229.3,1.2,0.9,4.1,20.3,0.2,0.1,15.9
Ryan TannehillTEN,33.0,21.6,242.0,1.2,0.9,3.1,15.1,0.1,0.2,15.4
Baker MayfieldCLE,31.6,20.0,240.9,1.3,0.8,1.9,8.4,0.1,0.2,15.0
Zach WilsonNYJ,33.7,20.9,238.0,1.3,1.3,1.9,8.6,0.1,0.1,14.4
Jared GoffDET,33.4,21.3,229.4,1.2,0.8,1.3,5.0,0.1,0.2,13.4
Trevor SiemianNO,31.6,18.5,198.5,1.4,0.8,1.2,5.6,0.0,0.2,13.0
Taysom HillNO,2.5,1.6,28.6,0.1,0.2,2.5,10.4,0.1,0.0,2.8
Trey LanceSF,1.6,0.9,13.4,0.1,0.1,1.6,5.2,0.1,0.0,1.6
Josh JohnsonBAL,3.6,2.3,22.3,0.1,0.1,0.2,0.7,0.0,0.0,1.2
Gardner Minshew IIPHI,1.2,0.8,15.2,0.1,0.0,0.3,0.8,0.0,0.0,1.1
Nick FolesCHI,1.3,0.8,18.6,0.1,0.1,0.3,0.6,0.0,0.0,1.1
Jacoby BrissettMIA,1.5,0.9,13.9,0.1,0.0,0.2,0.6,0.0,0.0,1.0
Mitchell TrubiskyBUF,1.6,1.0,11.7,0.1,0.0,0.3,1.0,0.0,0.0,1.0
Chase DanielLAC,1.6,1.0,11.3,0.1,0.0,0.2,1.1,0.0,0.0,1.0
P.J. WalkerCAR,1.4,0.9,9.9,0.1,0.0,0.3,1.2,0.0,0.0,0.9
Blaine GabbertTB,1.7,1.0,14.6,0.1,0.0,0.2,0.2,0.0,0.0,0.9
Drew LockSEA,1.3,0.9,11.5,0.1,0.0,0.2,0.8,0.0,0.0,0.9
Davis MillsHOU,1.3,0.9,13.0,0.1,0.0,0.2,0.4,0.0,0.0,0.9
Mason RudolphPIT,1.5,0.9,9.6,0.1,0.0,0.3,0.9,0.0,0.0,0.9
Geno SmithSEA,1.2,0.8,9.1,0.1,0.0,0.2,1.1,0.0,0.0,0.9
Cooper RushDAL,1.5,0.8,12.6,0.1,0.0,0.3,0.2,0.0,0.0,0.9
Tim BoyleDET,1.5,0.9,12.3,0.1,0.0,0.1,0.3,0.0,0.0,0.9
Case KeenumCLE,1.2,0.8,9.8,0.1,0.0,0.1,0.7,0.0,0.0,0.9
Josh RosenATL,1.5,1.0,10.9,0.1,0.1,0.2,0.7,0.0,0.0,0.8
Brandon AllenCIN,1.3,0.8,9.9,0.1,0.1,0.3,1.1,0.0,0.0,0.8
Sam EhlingerIND,0.8,0.5,12.8,0.0,0.1,0.2,0.7,0.0,0.0,0.8
C.J. BeathardJAC,1.5,0.9,12.6,0.1,0.0,0.2,0.5,0.0,0.1,0.7
Mike GlennonNYG,1.4,0.9,9.1,0.1,0.0,0.2,0.5,0.0,0.0,0.7
Jordan LoveGB,1.3,0.8,9.8,0.1,0.0,0.3,0.5,0.0,0.0,0.7
Brian HoyerNE,1.3,0.9,10.5,0.1,0.1,0.3,0.3,0.0,0.0,0.7
Kyle AllenWAS,1.4,0.9,9.9,0.1,0.0,0.1,0.3,0.0,0.0,0.7
Marcus MariotaLV,0.7,0.5,9.1,0.0,0.0,0.3,1.1,0.0,0.0,0.7
Tyler HuntleyBAL,1.3,0.8,10.9,0.0,0.1,0.3,0.8,0.0,0.0,0.6
Feleipe FranksATL,1.0,0.6,8.7,0.0,0.1,0.2,0.9,0.0,0.0,0.5
John WolfordLAR,1.5,0.8,9.9,0.0,0.1,0.3,1.2,0.0,0.0,0.4
Sean MannionMIN,0.6,0.3,3.6,0.0,0.0,0.1,0.1,0.0,0.0,0.2
