Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Brian HoyerNE,1.3,1.0,13.3,0.1,0.0,0.3,0.3,0.0,0.0,0.9
Brandon AllenCIN,1.4,0.9,14.1,0.1,0.0,0.2,0.5,0.0,0.0,0.9
Chad HenneKC,1.6,1.0,11.6,0.1,0.1,0.2,1.0,0.0,0.0,0.9
Blaine GabbertTB,1.6,1.0,13.5,0.1,0.0,0.2,0.2,0.0,0.0,0.9
Mason RudolphPIT,1.5,0.9,8.9,0.1,0.0,0.3,1.0,0.0,0.0,0.9
Mike GlennonNYG,1.4,0.9,9.0,0.1,0.0,0.2,0.9,0.0,0.0,0.9
Mitchell TrubiskyBUF,1.5,1.0,10.3,0.1,0.0,0.3,0.7,0.0,0.0,0.8
Jordan LoveGB,1.3,0.8,11.3,0.1,0.0,0.3,0.6,0.0,0.0,0.8
Josh RosenATL,1.5,0.9,9.6,0.1,0.1,0.2,0.8,0.0,0.0,0.8
Marcus MariotaLV,0.8,0.5,10.2,0.1,0.0,0.4,1.4,0.0,0.0,0.8
Mike WhiteNYJ,1.4,0.9,10.7,0.1,0.1,0.2,0.2,0.0,0.0,0.7
Cooper RushDAL,1.5,0.8,11.7,0.1,0.1,0.3,0.2,0.0,0.0,0.7
Andy DaltonCHI,1.2,0.7,7.9,0.1,0.1,0.3,1.1,0.0,0.0,0.7
Kyle AllenWAS,1.4,0.9,8.2,0.1,0.1,0.1,0.5,0.0,0.0,0.7
Davis MillsHOU,1.3,0.8,15.3,0.0,0.1,0.2,0.4,0.0,0.0,0.7
Feleipe FranksATL,0.9,0.6,10.3,0.0,0.1,0.2,1.3,0.0,0.0,0.6
C.J. BeathardJAC,1.5,0.8,12.2,0.0,0.0,0.2,0.5,0.0,0.1,0.5
Logan WoodsideTEN,0.6,0.4,9.2,0.0,0.0,0.3,0.4,0.0,0.0,0.5
Sean MannionMIN,0.6,0.3,3.6,0.0,0.0,0.1,0.1,0.0,0.0,0.2
