Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh AllenBUF,36.9,24.8,289.2,2.5,0.5,7.6,38.5,0.5,0.2,27.5
Patrick Mahomes IIKC,37.9,25.9,310.3,2.5,0.6,3.9,20.8,0.1,0.1,24.6
Jalen HurtsPHI,34.6,20.8,245.7,1.7,0.9,8.5,50.0,0.6,0.2,23.5
Kyler MurrayARI,36.3,24.1,264.3,1.7,0.9,6.6,35.3,0.4,0.2,22.2
Justin HerbertLAC,40.2,26.6,294.8,2.2,0.7,4.1,17.1,0.2,0.2,22.1
Dak PrescottDAL,38.2,26.2,283.6,2.2,0.8,3.7,15.7,0.1,0.2,21.4
Russell WilsonDEN,33.9,22.7,271.0,2.1,0.4,4.3,24.1,0.1,0.2,21.2
Lamar JacksonBAL,29.3,17.7,215.0,1.4,0.9,9.7,60.0,0.4,0.3,21.1
Matthew StaffordLAR,36.8,24.3,282.9,2.2,0.8,2.0,7.7,0.1,0.1,20.2
Aaron RodgersGB,34.0,22.7,267.7,2.1,0.5,2.3,11.5,0.1,0.1,20.0
Joe BurrowCIN,33.2,22.6,261.4,2.1,0.7,3.0,12.4,0.1,0.1,19.8
Derek CarrLV,36.5,24.3,288.4,1.8,0.7,2.4,9.0,0.1,0.2,19.0
Kirk CousinsMIN,34.2,22.8,273.9,2.1,0.8,1.5,6.1,0.0,0.2,18.9
Taylor HeinickeWAS,34.2,22.6,253.3,1.7,1.0,3.5,18.0,0.1,0.1,18.4
Ryan TannehillTEN,31.3,20.8,240.8,1.7,0.6,3.8,18.4,0.2,0.2,18.2
Baker MayfieldCLE,32.9,21.6,266.6,1.7,0.9,3.7,14.6,0.1,0.1,18.2
Jimmy GaroppoloSF,32.8,22.0,264.8,1.9,0.9,2.6,8.0,0.1,0.3,18.2
Sam DarnoldCAR,37.1,23.7,267.7,1.6,1.0,3.1,13.2,0.2,0.2,18.0
Teddy BridgewaterDEN,34.5,23.2,259.5,1.6,0.7,3.6,15.4,0.1,0.1,18.0
Matt RyanATL,38.4,25.4,272.3,1.7,0.8,2.1,7.1,0.1,0.2,17.6
Justin FieldsCHI,31.5,19.9,222.0,1.4,0.8,6.4,30.4,0.2,0.2,17.3
Jacoby BrissettMIA,34.1,21.1,239.3,1.3,0.8,4.2,17.0,0.2,0.2,16.6
Daniel JonesNYG,35.3,21.5,238.1,1.2,1.0,5.8,32.2,0.1,0.3,16.5
Jameis WinstonNO,30.1,19.1,223.3,1.6,1.0,4.2,19.0,0.1,0.2,16.4
Trevor LawrenceJAC,37.0,22.8,243.5,1.6,1.4,3.2,15.2,0.1,0.1,16.3
Mac JonesNE,37.1,24.8,264.0,1.4,1.0,2.3,9.1,0.1,0.2,16.2
Jared GoffDET,35.5,22.7,258.1,1.4,1.0,2.7,9.2,0.1,0.2,15.8
Carson WentzWAS,34.9,21.1,241.3,1.3,1.0,3.5,15.5,0.1,0.3,15.5
Zach WilsonNYJ,33.1,20.1,232.7,1.4,1.4,2.6,12.4,0.1,0.1,14.9
Davis MillsHOU,34.5,20.5,229.0,1.0,1.3,2.2,8.4,0.0,0.2,12.5
Nick FolesCHI,10.9,7.2,48.9,0.3,0.2,0.6,0.4,0.0,0.1,2.8
Taysom HillNO,2.2,1.3,13.3,0.1,0.0,3.3,14.9,0.1,0.1,2.6
Trey LanceSF,3.1,1.8,22.1,0.1,0.1,1.9,8.7,0.1,0.0,2.5
Feleipe FranksATL,1.2,0.8,14.2,0.1,0.1,0.1,0.5,0.0,0.0,1.0
Trevor SiemianNO,0.0,0.0,17.1,0.0,0.1,0.0,1.0,0.0,0.0,0.9
David BloughDET,1.5,0.9,10.5,0.1,0.0,0.2,0.9,0.0,0.0,0.9
Cooper RushDAL,1.2,0.8,11.2,0.1,0.0,0.1,0.1,0.0,0.0,0.7
Jordan LoveGB,0.7,0.4,12.0,0.1,0.1,0.2,0.1,0.0,0.0,0.7
Drew LockSEA,0.9,0.6,9.1,0.1,0.0,0.1,0.3,0.0,0.0,0.6
Kyle AllenWAS,0.8,0.5,10.4,0.1,0.0,0.1,0.2,0.0,0.0,0.6
Reid SinnettPHI,1.1,0.7,11.3,0.0,0.0,0.1,0.2,0.0,0.0,0.6
C.J. BeathardJAC,0.8,0.4,9.2,0.1,0.0,0.1,0.3,0.0,0.0,0.6
Brandon AllenCIN,0.7,0.5,9.9,0.1,0.0,0.2,0.4,0.0,0.0,0.6
Joe FlaccoNYJ,1.1,0.6,9.1,0.0,0.0,0.2,0.6,0.0,0.0,0.6
Mitchell TrubiskyBUF,0.8,0.6,7.9,0.0,0.0,0.2,0.5,0.0,0.0,0.6
Brian HoyerNE,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Chase DanielLAC,0.9,0.6,6.3,0.1,0.0,0.2,0.6,0.0,0.0,0.5
Tyler HuntleyBAL,0.6,0.4,8.0,0.0,0.0,0.2,1.0,0.0,0.0,0.5
Chad HenneKC,0.8,0.5,5.9,0.1,0.0,0.1,0.6,0.0,0.0,0.5
Case KeenumCLE,0.7,0.5,5.4,0.1,0.0,0.1,0.4,0.0,0.0,0.5
Blaine GabbertTB,0.8,0.5,6.1,0.1,0.0,0.1,0.1,0.0,0.0,0.5
Josh RosenATL,0.8,0.5,4.8,0.1,0.0,0.1,0.5,0.0,0.0,0.4
Colt McCoyARI,0.7,0.5,4.8,0.1,0.0,0.1,0.4,0.0,0.0,0.4
Mason RudolphPIT,0.8,0.5,4.8,0.1,0.0,0.1,0.4,0.0,0.0,0.4
P.J. WalkerCAR,0.7,0.5,5.3,0.1,0.0,0.2,0.1,0.0,0.0,0.4
John WolfordLAR,0.8,0.5,7.4,0.0,0.0,0.2,0.7,0.0,0.0,0.4
Geno SmithSEA,0.7,0.4,4.6,0.1,0.0,0.1,0.1,0.0,0.0,0.4
Sean MannionMIN,0.5,0.3,3.8,0.0,0.0,0.1,0.1,0.0,0.0,0.2
Logan WoodsideTEN,0.4,0.3,2.6,0.0,0.0,0.2,0.4,0.0,0.0,0.1
Mike GlennonNYG,0.7,0.4,4.0,0.0,0.0,0.1,0.5,0.0,0.1,0.0
Tim BoyleDET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deshaun WatsonHOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy DaltonCHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob EasonSEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew IIPHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike WhiteNYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett GilbertWAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen MondMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tua TagovailoaMIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
