Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh AllenBUF,35.1,22.7,267.0,2.1,0.8,8.2,45.0,0.4,0.2,24.6
Kyler MurrayARI,36.4,24.4,280.3,1.7,0.6,7.5,35.1,0.2,0.2,22.0
Patrick Mahomes IIKC,36.5,23.5,276.3,1.9,0.6,3.8,21.0,0.1,0.1,20.7
Justin HerbertLAC,35.7,23.8,269.5,1.9,0.8,3.8,18.9,0.1,0.1,20.3
Taysom HillNO,30.5,19.1,216.0,1.1,0.9,9.6,51.4,0.5,0.3,19.9
Matthew StaffordLAR,33.6,22.4,273.0,1.9,0.8,1.5,5.1,0.1,0.2,18.4
Derek CarrLV,35.1,23.5,269.4,1.7,0.8,2.3,8.4,0.1,0.2,17.7
Kirk CousinsMIN,34.0,22.5,254.4,1.8,0.7,2.6,8.6,0.0,0.2,17.4
Ryan TannehillTEN,30.7,20.2,233.2,1.4,0.5,3.9,19.9,0.2,0.2,17.2
Carson WentzWAS,30.9,19.6,222.7,1.7,0.6,3.8,17.3,0.1,0.2,17.1
Russell WilsonDEN,30.1,19.8,233.4,1.6,0.6,2.9,15.5,0.1,0.2,16.9
Dak PrescottDAL,27.3,18.4,221.9,1.6,0.4,3.2,13.0,0.1,0.1,16.4
Justin FieldsCHI,0.0,0.0,181.5,1.0,0.8,0.0,44.1,0.2,0.1,15.9
Jimmy GaroppoloSF,34.0,22.7,270.4,1.3,0.9,2.0,6.3,0.1,0.2,15.7
Gardner Minshew IIPHI,33.1,20.7,237.2,1.1,0.4,4.2,22.8,0.1,0.4,15.6
Tyler HuntleyBAL,32.5,21.4,193.8,0.9,0.6,7.6,37.6,0.2,0.2,15.3
Mac JonesNE,32.0,21.5,228.6,1.3,0.7,2.7,12.2,0.1,0.1,15.0
Taylor HeinickeWAS,33.2,21.9,229.2,1.2,1.0,3.7,17.4,0.1,0.2,14.9
Tua TagovailoaMIA,34.9,22.6,234.9,1.1,0.7,3.0,11.5,0.1,0.2,14.5
Case KeenumCLE,32.4,20.2,223.0,1.2,0.7,2.7,10.7,0.1,0.2,14.3
Tim BoyleDET,33.3,21.2,219.4,1.3,1.0,1.6,8.6,0.1,0.1,14.0
Brandon AllenCIN,34.9,21.1,235.9,1.1,1.0,2.7,10.9,0.1,0.2,13.8
Matt RyanATL,32.8,21.4,231.2,1.1,0.6,2.4,8.5,0.1,0.2,13.6
Sam DarnoldCAR,34.7,20.9,225.6,0.9,0.8,2.8,13.2,0.1,0.3,13.2
Davis MillsHOU,34.5,22.2,232.2,1.1,0.9,1.3,5.7,0.0,0.2,13.1
Jared GoffDET,32.5,20.4,220.8,1.2,0.8,0.6,2.6,0.0,0.2,13.1
Sean MannionMIN,0.0,0.0,189.2,1.1,1.1,0.0,12.4,0.1,0.1,12.6
Zach WilsonNYJ,33.6,19.9,205.9,0.9,1.0,2.8,14.9,0.1,0.2,12.4
Aaron RodgersGB,17.5,11.6,176.7,1.2,0.2,1.0,5.5,0.0,0.1,12.4
Trevor LawrenceJAC,32.8,20.2,210.8,0.7,1.2,3.8,19.3,0.1,0.1,12.4
Andy DaltonCHI,33.4,20.7,189.6,0.9,0.8,2.9,10.6,0.1,0.1,11.8
Jake FrommNYG,30.2,18.3,207.8,0.8,0.9,2.3,11.7,0.1,0.2,11.8
Drew LockSEA,33.6,20.9,194.7,0.8,0.8,2.6,9.2,0.1,0.2,11.3
Jordan LoveGB,17.1,10.8,125.6,0.6,0.4,1.9,9.4,0.1,0.1,8.3
Cam NewtonCAR,1.1,0.6,49.4,0.2,0.2,2.3,19.4,0.1,0.0,5.2
Cooper RushDAL,11.6,7.2,62.7,0.4,0.2,1.2,3.8,0.0,0.0,4.5
Bryce PerkinsLAR,0.0,0.0,24.3,0.1,0.1,0.0,0.8,0.0,0.0,1.6
Colt McCoyARI,0.0,0.0,24.3,0.0,0.1,0.0,0.1,0.0,0.0,1.1
Trevor SiemianNO,0.0,0.0,21.9,0.1,0.1,0.0,0.0,0.0,0.0,1.1
Jacob EasonSEA,0.0,0.0,17.0,0.1,0.1,0.0,0.3,0.0,0.0,1.0
Logan WoodsideTEN,0.0,0.0,17.9,0.1,0.1,0.0,0.3,0.0,0.0,0.9
Sam EhlingerIND,0.0,0.0,13.4,0.1,0.1,0.0,0.1,0.0,0.0,0.9
Chase DanielLAC,0.0,0.0,13.8,0.1,0.0,0.0,0.0,0.0,0.0,0.8
Blaine GabbertTB,0.0,0.0,14.4,0.0,0.1,0.0,0.3,0.0,0.0,0.8
Marcus MariotaLV,0.0,0.0,7.6,0.0,0.0,0.2,0.7,0.0,0.0,0.5
Jacoby BrissettMIA,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
