,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,ARI,@DET,@IND,vsDAL,vsSF,@PHI,vsTB,@LAR,BYE,@SF,vsSEA,@HOU,vsJAC,vsLAR,vsTEN,@WAS,vsNYG,@SEA
1,ATL,@CHI,vsGB,@DET,vsBUF,BYE,vsMIA,@NE,@NYJ,@CAR,vsDAL,@SEA,vsTB,vsMIN,vsNO,@TB,@NO,vsCAR
2,BAL,@CIN,vsCLE,@JAC,vsPIT,@LV,vsCHI,@MIN,vsMIA,@TEN,BYE,@GB,vsHOU,vsDET,@PIT,@CLE,vsIND,vsCIN
3,BUF,vsNYJ,@CAR,vsDEN,@ATL,@CIN,BYE,vsTB,vsLV,@NYJ,vsNO,@LAC,@KC,vsNE,vsIND,vsMIA,@NE,@MIA
4,CAR,@SF,vsBUF,vsNO,@NE,@DET,vsPHI,@CHI,@TB,vsATL,vsMIA,BYE,@NYJ,@NO,vsMIN,vsGB,vsTB,@ATL
5,CHI,vsATL,@TB,vsPIT,@GB,vsMIN,@BAL,vsCAR,@NO,BYE,vsGB,vsDET,@PHI,vsSF,@CIN,@DET,vsCLE,@MIN
6,CIN,vsBAL,vsHOU,@GB,@CLE,vsBUF,BYE,@PIT,vsIND,@JAC,@TEN,@DEN,vsCLE,vsPIT,vsCHI,@MIN,vsDET,@BAL
7,CLE,vsPIT,@BAL,@IND,vsCIN,vsNYJ,@HOU,vsTEN,vsMIN,BYE,@DET,vsJAC,@CIN,@LAC,vsGB,vsBAL,@CHI,@PIT
8,DAL,vsNYG,@DEN,@ARI,vsLAR,vsGB,BYE,@SF,@WAS,vsKC,@ATL,vsPHI,vsLAC,vsWAS,@NYG,@LV,vsSEA,@PHI
9,DEN,vsLAC,vsDAL,@BUF,vsLV,BYE,vsNYG,@LAC,@KC,@PHI,vsNE,vsCIN,@LV,@MIA,vsNYJ,@IND,@WAS,vsKC
10,DET,vsARI,@NYG,vsATL,@MIN,vsCAR,@NO,BYE,vsPIT,@GB,vsCLE,@CHI,vsMIN,@BAL,@TB,vsCHI,@CIN,vsGB
11,GB,vsSEA,@ATL,vsCIN,vsCHI,@DAL,@MIN,vsNO,BYE,vsDET,@CHI,vsBAL,@PIT,vsTB,@CLE,@CAR,vsMIN,@DET
12,HOU,vsJAC,@CIN,@NE,vsTEN,vsKC,vsCLE,BYE,@SEA,vsIND,@LAR,vsARI,@BAL,@TEN,vsSF,@JAC,vsPIT,@IND
13,IND,@LAR,vsARI,vsCLE,@SEA,vsSF,@TEN,vsJAC,@CIN,@HOU,vsPIT,BYE,vsTEN,@JAC,@BUF,vsDEN,@BAL,vsHOU
14,JAC,@HOU,vsTEN,vsBAL,@NYJ,@PIT,vsLAR,@IND,BYE,vsCIN,vsLAC,@CLE,@ARI,vsIND,vsSEA,vsHOU,@SF,@TEN
