rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Chicago Bears,4,2,1,2,2,0,0,1,26.0,26.0,35.9,CHI,DST,16,2012
2,Cincinnati Bengals,4,2,1,1,1,0,0,1,20.0,20.0,14.7,CIN,DST,16,2012
3,Indianapolis Colts,1,2,1,1,1,0,0,1,17.0,17.0,66.4,IND,DST,16,2012
4,Seattle Seahawks,1,1,1,2,0,0,1,1,16.0,16.0,39.4,SEA,DST,16,2012
5,Pittsburgh Steelers,6,2,1,1,0,0,0,1,16.0,16.0,44.6,PIT,DST,16,2012
6,Minnesota Vikings,4,0,2,2,0,0,0,1,15.0,15.0,28.0,MIN,DST,16,2012
7,Green Bay Packers,7,2,0,0,0,0,0,1,15.0,15.0,60.6,GB,DST,16,2012
8,Miami Dolphins,2,1,3,3,0,0,0,1,14.0,14.0,60.2,MIA,DST,16,2012
9,Denver Broncos,6,0,1,0,0,0,0,1,12.0,12.0,48.5,DEN,DST,16,2012
10,Arizona Cardinals,1,0,1,0,0,0,1,1,11.0,11.0,60.9,ARI,DST,16,2012
11,Washington Commanders,5,1,1,1,0,0,0,1,10.0,10.0,27.5,WAS,DST,16,2012
12,Carolina Panthers,1,1,0,0,0,0,0,1,10.0,10.0,27.8,CAR,DST,16,2012
13,New England Patriots,1,3,0,0,0,0,0,1,8.0,8.0,93.2,NE,DST,16,2012
14,Atlanta Falcons,0,1,2,2,0,0,0,1,7.0,7.0,5.8,ATL,DST,16,2012
15,Jacksonville Jaguars,3,2,0,0,0,0,0,1,7.0,7.0,6.9,JAC,DST,16,2012
16,Baltimore Ravens,3,0,0,0,0,0,0,1,4.0,4.0,51.9,BAL,DST,16,2012
17,New York Jets,4,0,0,0,0,0,0,1,4.0,4.0,3.3,NYJ,DST,16,2012
18,Kansas City Chiefs,3,0,0,1,0,0,0,1,4.0,4.0,45.7,KC,DST,16,2012
19,New Orleans Saints,2,0,1,1,0,0,0,1,3.0,3.0,79.3,NO,DST,16,2012
20,Philadelphia Eagles,1,1,0,1,0,0,0,1,3.0,3.0,52.5,PHI,DST,16,2012
21,Buffalo Bills,2,0,0,1,0,0,0,1,3.0,3.0,95.9,BUF,DST,16,2012
22,Houston Texans,1,0,1,1,0,0,0,1,3.0,3.0,6.4,HOU,DST,16,2012
23,Tampa Bay Buccaneers,0,1,1,1,0,0,0,1,3.0,3.0,98.0,TB,DST,16,2012
24,Detroit Lions,1,0,0,0,0,1,0,1,2.0,2.0,1.1,DET,DST,16,2012
25,Cleveland Browns,0,1,0,0,0,0,0,1,1.0,1.0,40.8,CLE,DST,16,2012
26,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,16,2012
27,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,16,2012
28,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,16,2012
29,New York Giants,0,0,0,0,0,0,0,1,-1.0,-1.0,4.5,NYG,DST,16,2012
30,Dallas Cowboys,0,0,0,2,0,0,0,1,-1.0,-1.0,82.9,DAL,DST,16,2012
31,San Francisco 49ers,1,1,0,0,0,0,0,1,-1.0,-1.0,79.5,SF,DST,16,2012
32,Tennessee Titans,1,0,0,0,0,0,0,1,-3.0,-3.0,48.4,TEN,DST,16,2012
