rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Arizona Cardinals,5,0,3,2,1,0,0,1,24.0,24.0,60.9,ARI,DST,3,2012
2,Chicago Bears,6,2,0,0,1,0,0,1,23.0,23.0,35.9,CHI,DST,3,2012
3,New York Giants,2,3,2,0,0,0,0,1,16.0,16.0,4.5,NYG,DST,3,2012
4,Atlanta Falcons,1,2,2,2,0,0,0,1,16.0,16.0,5.8,ATL,DST,3,2012
5,Minnesota Vikings,3,1,2,2,0,0,0,1,14.0,14.0,28.0,MIN,DST,3,2012
6,Seattle Seahawks,8,0,0,1,0,0,0,1,12.0,12.0,39.4,SEA,DST,3,2012
7,Tampa Bay Buccaneers,4,1,2,2,0,0,0,1,11.0,11.0,98.0,TB,DST,3,2012
8,New York Jets,0,1,1,1,1,0,0,1,11.0,11.0,3.3,NYJ,DST,3,2012
9,Dallas Cowboys,2,1,1,2,0,0,0,1,10.0,10.0,82.9,DAL,DST,3,2012
10,Buffalo Bills,4,2,0,1,0,0,0,1,9.0,9.0,95.9,BUF,DST,3,2012
11,New Orleans Saints,3,1,2,1,0,0,0,1,9.0,9.0,79.3,NO,DST,3,2012
12,Kansas City Chiefs,4,1,0,0,0,1,0,1,8.0,8.0,45.7,KC,DST,3,2012
13,Washington Commanders,2,1,1,1,1,0,0,1,8.0,8.0,27.5,WAS,DST,3,2012
14,Cincinnati Bengals,5,0,1,1,0,0,0,1,7.0,7.0,14.7,CIN,DST,3,2012
15,Miami Dolphins,2,2,0,0,0,0,0,1,7.0,7.0,60.2,MIA,DST,3,2012
16,Denver Broncos,1,1,1,1,0,1,0,1,6.0,6.0,48.5,DEN,DST,3,2012
17,Houston Texans,3,0,1,0,0,0,0,1,5.0,5.0,6.4,HOU,DST,3,2012
18,Tennessee Titans,1,0,1,1,1,0,2,1,5.0,5.0,48.4,TEN,DST,3,2012
19,San Francisco 49ers,0,0,2,2,0,0,0,1,4.0,4.0,79.5,SF,DST,3,2012
20,Cleveland Browns,1,0,1,0,0,0,0,1,3.0,3.0,40.8,CLE,DST,3,2012
21,Jacksonville Jaguars,0,1,0,0,0,0,0,1,3.0,3.0,6.9,JAC,DST,3,2012
22,Philadelphia Eagles,3,0,0,0,0,0,0,1,3.0,3.0,52.5,PHI,DST,3,2012
23,Green Bay Packers,1,0,0,0,0,0,0,1,2.0,2.0,60.6,GB,DST,3,2012
24,Pittsburgh Steelers,1,1,0,0,0,0,0,1,2.0,2.0,44.6,PIT,DST,3,2012
25,Baltimore Ravens,2,0,0,0,0,0,0,1,1.0,1.0,51.9,BAL,DST,3,2012
26,Indianapolis Colts,1,0,0,1,0,0,0,1,1.0,1.0,66.4,IND,DST,3,2012
27,New England Patriots,0,1,0,0,0,0,0,1,1.0,1.0,93.2,NE,DST,3,2012
28,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,3,2012
29,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,3,2012
30,Detroit Lions,0,0,2,1,0,0,0,1,0.0,0.0,1.1,DET,DST,3,2012
31,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,3,2012
32,Carolina Panthers,2,0,0,1,0,0,0,1,-2.0,-2.0,27.8,CAR,DST,3,2012
