rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Chicago Bears,2,1,4,5,1,0,1,1,26.0,26.0,35.9,CHI,DST,9,2012
2,New Orleans Saints,7,1,1,2,1,0,0,1,21.0,21.0,79.3,NO,DST,9,2012
3,New York Giants,4,1,1,2,1,0,0,1,14.0,14.0,4.5,NYG,DST,9,2012
4,Houston Texans,4,0,1,1,0,0,0,1,10.0,10.0,6.4,HOU,DST,9,2012
5,Seattle Seahawks,4,1,1,1,0,0,0,1,9.0,9.0,39.4,SEA,DST,9,2012
6,Carolina Panthers,4,0,0,0,0,0,0,1,8.0,8.0,27.8,CAR,DST,9,2012
7,Denver Broncos,5,1,0,0,0,0,1,1,7.0,7.0,48.5,DEN,DST,9,2012
8,Tampa Bay Buccaneers,2,3,0,2,0,0,0,1,7.0,7.0,98.0,TB,DST,9,2012
9,Green Bay Packers,2,1,1,1,0,0,0,1,7.0,7.0,60.6,GB,DST,9,2012
10,Detroit Lions,1,2,0,0,0,0,0,1,6.0,6.0,1.1,DET,DST,9,2012
11,Philadelphia Eagles,2,0,2,2,0,0,0,1,6.0,6.0,52.5,PHI,DST,9,2012
12,Baltimore Ravens,1,2,0,0,0,0,0,1,6.0,6.0,51.9,BAL,DST,9,2012
13,Atlanta Falcons,1,0,0,0,0,0,0,1,5.0,5.0,5.8,ATL,DST,9,2012
14,Pittsburgh Steelers,2,1,0,1,0,0,0,1,5.0,5.0,44.6,PIT,DST,9,2012
15,Dallas Cowboys,3,0,0,1,0,0,0,1,4.0,4.0,82.9,DAL,DST,9,2012
16,Kansas City Chiefs,1,1,1,0,0,0,0,1,4.0,4.0,45.7,KC,DST,9,2012
17,Tennessee Titans,3,0,1,1,0,1,0,1,3.0,3.0,48.4,TEN,DST,9,2012
18,Indianapolis Colts,2,0,0,1,0,0,0,1,3.0,3.0,66.4,IND,DST,9,2012
19,Cincinnati Bengals,0,2,0,0,0,0,0,1,3.0,3.0,14.7,CIN,DST,9,2012
20,Buffalo Bills,2,0,0,0,0,0,0,1,3.0,3.0,95.9,BUF,DST,9,2012
21,Arizona Cardinals,1,1,0,1,0,0,0,1,2.0,2.0,60.9,ARI,DST,9,2012
22,Miami Dolphins,1,0,0,2,0,0,0,1,2.0,2.0,60.2,MIA,DST,9,2012
23,Cleveland Browns,1,0,0,0,0,0,0,1,1.0,1.0,40.8,CLE,DST,9,2012
24,Minnesota Vikings,1,0,0,0,0,0,0,1,1.0,1.0,28.0,MIN,DST,9,2012
25,Washington Commanders,0,0,0,0,0,0,0,1,1.0,1.0,27.5,WAS,DST,9,2012
26,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,9,2012
27,New York Jets,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NYJ,DST,9,2012
28,New England Patriots,0,0,0,0,0,0,0,0,0.0,0.0,93.2,NE,DST,9,2012
29,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,9,2012
30,San Francisco 49ers,0,0,0,0,0,0,0,0,0.0,0.0,79.5,SF,DST,9,2012
31,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,9,2012
32,Jacksonville Jaguars,1,0,0,0,0,0,0,1,0.0,0.0,6.9,JAC,DST,9,2012
