rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Tennessee Titans,7,3,0,1,2,0,2,1,26.0,26.0,48.4,TEN,DST,17,2012
2,New England Patriots,7,1,1,0,0,0,0,1,21.0,21.0,93.2,NE,DST,17,2012
3,Buffalo Bills,1,1,1,1,1,0,0,1,16.0,16.0,95.9,BUF,DST,17,2012
4,Pittsburgh Steelers,4,1,3,3,0,0,0,1,16.0,16.0,44.6,PIT,DST,17,2012
5,Cincinnati Bengals,4,1,0,0,1,0,0,1,13.0,13.0,14.7,CIN,DST,17,2012
6,Denver Broncos,4,0,0,0,0,0,0,1,11.0,11.0,48.5,DEN,DST,17,2012
7,San Francisco 49ers,2,1,1,1,0,0,0,1,10.0,10.0,79.5,SF,DST,17,2012
8,Washington Commanders,2,3,0,0,0,0,0,1,9.0,9.0,27.5,WAS,DST,17,2012
9,Chicago Bears,1,1,3,1,0,0,0,1,9.0,9.0,35.9,CHI,DST,17,2012
10,Indianapolis Colts,4,2,0,0,0,0,1,1,9.0,9.0,66.4,IND,DST,17,2012
11,Jacksonville Jaguars,2,0,0,0,0,0,1,1,9.0,9.0,6.9,JAC,DST,17,2012
12,New York Giants,1,1,0,0,0,0,0,1,7.0,7.0,4.5,NYG,DST,17,2012
13,Seattle Seahawks,0,1,0,0,0,0,0,1,6.0,6.0,39.4,SEA,DST,17,2012
14,Minnesota Vikings,5,0,1,1,0,0,0,1,6.0,6.0,28.0,MIN,DST,17,2012
15,New Orleans Saints,1,1,0,0,1,0,0,1,5.0,5.0,79.3,NO,DST,17,2012
16,Tampa Bay Buccaneers,2,0,0,0,0,0,0,1,4.0,4.0,98.0,TB,DST,17,2012
17,Carolina Panthers,2,1,0,0,0,0,0,1,3.0,3.0,27.8,CAR,DST,17,2012
18,Baltimore Ravens,2,0,0,0,0,0,0,1,3.0,3.0,51.9,BAL,DST,17,2012
19,Atlanta Falcons,0,1,0,0,0,0,0,1,2.0,2.0,5.8,ATL,DST,17,2012
20,Detroit Lions,2,0,0,1,0,0,0,1,2.0,2.0,1.1,DET,DST,17,2012
21,Cleveland Browns,2,0,0,0,0,0,0,1,2.0,2.0,40.8,CLE,DST,17,2012
22,New York Jets,0,0,1,1,0,0,0,1,2.0,2.0,3.3,NYJ,DST,17,2012
23,Arizona Cardinals,1,0,0,1,0,0,0,1,1.0,1.0,60.9,ARI,DST,17,2012
24,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,17,2012
25,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,17,2012
26,Houston Texans,1,0,0,0,0,0,0,1,0.0,0.0,6.4,HOU,DST,17,2012
27,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,17,2012
28,Dallas Cowboys,1,0,0,0,0,0,0,1,0.0,0.0,82.9,DAL,DST,17,2012
29,Miami Dolphins,1,0,0,0,0,0,0,1,0.0,0.0,60.2,MIA,DST,17,2012
30,Kansas City Chiefs,0,0,1,1,0,0,0,1,-2.0,-2.0,45.7,KC,DST,17,2012
31,Philadelphia Eagles,1,0,0,0,0,0,0,1,-3.0,-3.0,52.5,PHI,DST,17,2012
32,Green Bay Packers,1,0,0,0,0,0,0,1,-3.0,-3.0,60.6,GB,DST,17,2012
