,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
339,David Moore,WR,SEA,1,9,9,16,0,0,0,0,0.0,0.0
340,Taquan Mizzell,RB,CHI,3,2,1,1,0,0,0,0,0.0,0.0
341,JoJo Natson,WR,NYJ,7,21,3,4,5,24,14,29,3.3,15.7
342,Keelan Cole Sr.,WR,JAC,16,749,47,66,0,11,6,11,90.8,12.1
343,Evan Baylis,TE,HOU,1,16,16,24,0,0,0,0,0.0,0.0
344,Dare Ogunbowale,RB,WAS,2,1,1,1,0,0,0,0,0.0,0.0
345,Sean Culkin,TE,LAC,1,11,11,19,0,0,0,0,0.0,0.0
346,Marcus Kemp,WR,KC,1,8,8,15,0,0,0,0,0.0,0.0
347,Isaac Whitney,WR,OAK,2,16,8,12,0,6,0,6,0.0,0.0
348,Pharaoh Brown,TE,OAK,2,39,20,32,0,0,0,0,0.0,0.0
349,Matt Breida,RB,SF,16,310,19,28,34,12,41,45,82.5,26.6
350,Victor Bolden Jr.,WR,SF,9,27,3,4,0,0,0,0,0.0,0.0
351,Kendrick Bourne,WR,SF,11,283,26,38,0,12,6,12,25.7,9.1
352,Tyrone Swoopes,TE,SEA,1,2,2,3,0,0,0,0,0.0,0.0
353,Patrick Ricard,RB,BAL,16,187,12,17,0,2,2,2,0.0,0.0
354,Trey Edmunds,RB,NO,16,13,1,1,69,0,69,69,10.8,83.1
