Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.5,79.0,0.6,0.1,11.5
Darren WallerLV,6.6,81.1,0.6,0.1,11.4
Kyle PittsATL,5.4,71.8,0.5,0.0,9.8
Mark AndrewsBAL,4.8,61.2,0.6,0.0,9.5
George KittleSF,5.1,60.9,0.4,0.1,8.6
T.J. HockensonDET,5.2,56.9,0.4,0.0,7.8
Dallas GoedertPHI,4.3,51.9,0.4,0.0,7.7
Mike GesickiMIA,4.9,58.5,0.3,0.1,7.3
Dan ArnoldJAC,4.1,50.2,0.4,0.0,7.0
Jared CookLAC,3.2,41.0,0.4,0.0,6.7
Dalton SchultzDAL,4.4,47.8,0.3,0.0,6.6
Pat FreiermuthPIT,3.4,38.5,0.4,0.0,6.5
Hunter HenryNE,3.3,35.9,0.5,0.0,6.3
Dawson KnoxBUF,3.0,38.5,0.3,0.0,5.8
Tyler HigbeeLAR,4.0,42.8,0.2,0.0,5.7
Noah FantSEA,4.2,42.6,0.2,0.0,5.7
Zach ErtzARI,3.8,38.1,0.2,0.0,5.3
Tyler ConklinMIN,3.8,39.2,0.2,0.0,5.1
Ricky Seals-JonesWAS,3.4,35.9,0.2,0.0,4.9
O.J. HowardTB,2.4,29.4,0.2,0.0,4.1
Austin HooperCLE,2.8,29.1,0.2,0.0,3.9
Adam TrautmanNO,3.0,32.5,0.1,0.1,3.9
David NjokuCLE,2.3,29.8,0.1,0.0,3.8
Hayden HurstATL,2.5,26.7,0.2,0.0,3.5
Cameron BrateTB,2.1,22.6,0.2,0.0,3.5
Mo Alie-CoxIND,1.8,22.6,0.2,0.0,3.4
Donald Parham Jr.LAC,1.5,17.4,0.2,0.0,2.7
Albert OkwuegbunamDEN,2.0,19.4,0.1,0.0,2.7
Tommy SweeneyBUF,1.8,17.0,0.2,0.0,2.6
Anthony FirkserTEN,1.9,19.1,0.1,0.0,2.4
Geoff SwaimTEN,1.6,15.7,0.1,0.0,2.3
Josiah DeguaraGB,1.5,14.6,0.1,0.0,2.2
Ryan GriffinNYJ,1.8,16.2,0.1,0.0,2.1
Tommy TrembleCAR,1.5,15.8,0.1,0.0,2.0
Dominique DafneyGB,1.2,14.0,0.1,0.0,2.0
Will DisslySEA,1.3,14.6,0.1,0.0,2.0
Harrison BryantCLE,1.2,14.1,0.1,0.0,2.0
Marcedes LewisGB,1.4,14.6,0.1,0.0,2.0
Durham SmytheMIA,1.3,13.6,0.1,0.0,1.9
MyCole PruittTEN,1.1,12.8,0.1,0.0,1.8
Foster MoreauLV,0.9,11.6,0.1,0.0,1.8
Ian ThomasCAR,1.2,12.6,0.0,0.0,1.5
Jonnu SmithNE,1.0,15.0,0.0,0.0,1.5
Adam ShaheenMIA,1.1,10.9,0.1,0.0,1.5
Chris Herndon IVMIN,0.8,6.6,0.2,0.1,1.5
Daniel HelmATL,0.8,8.5,0.1,0.0,1.5
Charlie WoernerSF,1.2,11.2,0.1,0.0,1.4
Stephen AndersonLAC,0.9,9.6,0.1,0.0,1.4
Juwan JohnsonNO,0.9,9.3,0.1,0.0,1.4
Sean McKeonDAL,0.7,7.8,0.1,0.0,1.4
Brycen HopkinsLAR,0.7,7.1,0.1,0.0,1.3
John BatesWAS,1.0,8.9,0.1,0.0,1.2
Devin AsiasiNE,0.7,7.6,0.1,0.0,1.1
Garrett GriffinNO,0.8,8.0,0.0,0.0,1.0
Blake BellKC,0.7,6.7,0.1,0.0,1.0
Chris ManhertzJAC,0.6,6.6,0.1,0.0,1.0
Zach GentryPIT,0.8,7.8,0.0,0.0,1.0
Josh OliverBAL,0.7,7.4,0.0,0.0,0.9
Kylen GransonIND,0.5,5.9,0.1,0.0,0.9
Luke FarrellJAC,0.7,7.5,0.0,0.0,0.9
Jack StollPHI,0.7,6.9,0.0,0.0,0.9
Ross DwelleySF,0.6,5.5,0.1,0.0,0.8
Tre' McKittyLAC,0.5,5.2,0.1,0.0,0.8
Brock WrightDET,0.6,8.0,0.0,0.0,0.8
Andrew BeckDEN,0.3,3.2,0.1,0.0,0.6
Eric SaubertDEN,0.7,6.0,0.0,0.0,0.6
Colby ParkinsonSEA,0.6,5.2,0.0,0.0,0.5
Tyree JacksonPHI,0.4,5.0,0.0,0.0,0.5
Trevon WescoNYJ,0.5,4.5,0.0,0.0,0.4
Noah GrayKC,0.4,3.9,0.0,0.0,0.4
Darrell DanielsARI,0.4,3.6,0.0,0.0,0.4
Reggie GilliamBUF,0.4,3.3,0.0,0.0,0.3
Sammis ReyesWAS,0.3,3.0,0.0,0.0,0.3
Kendall BlantonLAR,0.2,3.0,0.0,0.0,0.3
David WellsARI,0.3,3.0,0.0,0.0,0.3
Kevin RaderPIT,0.2,2.0,0.0,0.0,0.2
Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
Demetrius HarrisARI,0.2,2.0,0.0,0.0,0.2
Luke StockerMIN,0.2,2.0,0.0,0.0,0.2
Cethan CarterMIA,0.2,1.6,0.0,0.0,0.2
Jeremy SprinkleDAL,0.1,1.0,0.0,0.0,0.1
Colin ThompsonCAR,0.1,1.0,0.0,0.0,0.1
Giovanni RicciCAR,0.1,0.5,0.0,0.0,0.1
