Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.3,76.7,0.6,0.1,11.1
George KittleSF,5.6,72.4,0.5,0.1,10.3
Mark AndrewsBAL,5.3,64.8,0.5,0.0,9.4
Rob GronkowskiTB,4.4,53.0,0.6,0.0,8.6
Dawson KnoxBUF,3.9,44.5,0.5,0.0,7.3
Dalton SchultzDAL,4.2,45.5,0.4,0.0,7.1
Kyle PittsATL,4.6,56.9,0.2,0.0,6.9
Pat FreiermuthPIT,3.9,41.3,0.4,0.0,6.6
Tyler ConklinMIN,3.9,41.1,0.4,0.0,6.4
Jared CookLAC,3.3,39.2,0.4,0.0,6.4
Foster MoreauLV,3.2,37.3,0.4,0.0,6.3
Austin HooperCLE,3.8,42.2,0.3,0.0,5.7
Zach ErtzARI,3.8,40.4,0.3,0.0,5.7
Noah FantSEA,3.9,42.1,0.2,0.0,5.5
Tyler HigbeeLAR,3.8,38.0,0.2,0.0,5.0
Ricky Seals-JonesWAS,3.4,37.9,0.2,0.0,5.0
Evan EngramNYG,3.5,35.3,0.2,0.0,4.4
Cole KmetCHI,3.4,35.0,0.1,0.0,4.3
C.J. UzomahCIN,2.8,27.3,0.2,0.0,4.0
James O'ShaughnessyJAC,3.0,30.4,0.1,0.0,3.6
Brock WrightDET,2.4,25.1,0.1,0.0,3.2
Albert OkwuegbunamDEN,2.2,22.5,0.1,0.0,3.0
Geoff SwaimTEN,1.9,19.5,0.2,0.0,2.9
Donald Parham Jr.LAC,1.9,19.1,0.2,0.0,2.8
Brevin JordanHOU,2.2,21.6,0.1,0.0,2.8
Ryan GriffinNYJ,2.0,20.6,0.1,0.0,2.7
Josiah DeguaraGB,1.8,18.2,0.2,0.0,2.7
Pharaoh BrownHOU,2.1,21.9,0.1,0.0,2.7
Nick VannettNO,1.7,19.7,0.1,0.0,2.6
Miller ForristallCLE,1.5,18.0,0.1,0.0,2.4
Hayden HurstATL,1.9,18.3,0.1,0.0,2.4
Tommy TrembleCAR,1.6,16.3,0.1,0.0,2.3
Jordan AkinsHOU,2.1,20.0,0.1,0.1,2.3
Cameron BrateTB,1.6,14.9,0.1,0.0,2.2
MyCole PruittTEN,1.1,11.6,0.2,0.0,2.1
Juwan JohnsonNO,1.4,16.3,0.1,0.0,2.1
Anthony FirkserTEN,1.6,16.1,0.1,0.0,2.1
Will DisslySEA,1.4,14.9,0.1,0.0,2.1
John BatesWAS,1.5,15.0,0.1,0.0,1.9
Ian ThomasCAR,1.4,13.4,0.1,0.0,1.9
Daniel HelmATL,1.2,13.2,0.1,0.0,1.8
Marcedes LewisGB,1.1,11.9,0.1,0.0,1.7
Jimmy GrahamCHI,0.9,11.2,0.1,0.0,1.5
O.J. HowardTB,1.0,11.4,0.0,0.0,1.4
Jesse JamesCHI,0.8,7.3,0.1,0.0,1.3
Tommy HudsonTEN,0.8,7.8,0.1,0.0,1.3
Chris ManhertzJAC,0.9,9.8,0.0,0.0,1.3
Chris Herndon IVMIN,0.7,7.1,0.1,0.0,1.2
Zach GentryPIT,0.9,8.5,0.0,0.0,1.1
Luke FarrellJAC,0.8,7.7,0.0,0.0,1.1
T.J. HockensonDET,1.0,10.0,0.0,0.0,1.0
Ian BuntingDAL,0.6,6.5,0.1,0.0,1.0
Garrett GriffinNO,0.7,6.4,0.1,0.0,0.9
Dominique DafneyGB,0.6,6.2,0.1,0.0,0.9
Stephen AndersonLAC,0.6,6.1,0.1,0.0,0.9
Kenny YeboahNYJ,0.7,7.0,0.0,0.0,0.9
Tre' McKittyLAC,0.6,5.5,0.1,0.0,0.9
Blake BellKC,0.6,5.5,0.1,0.0,0.8
Sean McKeonDAL,0.7,5.5,0.1,0.0,0.8
Antony AuclairHOU,0.6,5.2,0.1,0.0,0.8
Noah GrayKC,0.5,4.7,0.1,0.0,0.8
Brycen HopkinsLAR,0.5,4.7,0.1,0.0,0.8
Eric SaubertDEN,0.5,4.3,0.1,0.0,0.7
Ross DwelleySF,0.4,4.3,0.1,0.0,0.7
Josh OliverBAL,0.6,5.9,0.0,0.0,0.7
Andrew BeckDEN,0.3,3.5,0.1,0.0,0.6
Jeremy SprinkleDAL,0.4,4.1,0.0,0.0,0.6
Colin ThompsonCAR,0.4,3.1,0.1,0.0,0.6
Drew SampleCIN,0.6,5.1,0.0,0.0,0.6
Ben EllefsonMIN,0.5,5.6,0.0,0.0,0.6
Kendall BlantonLAR,0.5,4.2,0.0,0.0,0.5
Chris MyarickNYG,0.5,5.0,0.0,0.0,0.5
Charlie WoernerSF,0.4,4.3,0.0,0.0,0.4
Colby ParkinsonSEA,0.4,3.5,0.0,0.0,0.4
Demetrius HarrisARI,0.4,3.4,0.0,0.0,0.3
Kevin RaderPIT,0.2,3.0,0.0,0.0,0.3
Eric TomlinsonBAL,0.3,3.0,0.0,0.0,0.3
Reggie GilliamBUF,0.4,2.7,0.0,0.0,0.3
Darrell DanielsARI,0.3,2.7,0.0,0.0,0.3
J.P. HoltzCHI,0.2,2.2,0.0,0.0,0.2
Sammis ReyesWAS,0.2,2.0,0.0,0.0,0.2
Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
Jesper HorstedCHI,0.1,1.0,0.0,0.0,0.1
Daniel BrownNYJ,0.1,1.0,0.0,0.0,0.1
Luke StockerMIN,0.1,1.0,0.0,0.0,0.1
Giovanni RicciCAR,0.1,0.4,0.0,0.0,0.0
