Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.9,88.7,0.8,0.1,13.3
George KittleSF,5.5,72.0,0.6,0.0,10.7
Darren WallerLV,6.5,76.0,0.5,0.1,10.3
Mark AndrewsBAL,4.8,56.2,0.6,0.0,9.4
T.J. HockensonDET,4.6,50.9,0.3,0.0,7.1
Kyle PittsATL,3.8,46.3,0.4,0.0,6.9
Robert TonyanGB,3.2,35.1,0.5,0.0,6.8
Logan ThomasWAS,4.2,43.7,0.4,0.0,6.7
Mike GesickiMIA,3.8,45.0,0.3,0.0,6.5
Dallas GoedertPHI,3.7,42.7,0.3,0.0,6.3
Rob GronkowskiTB,2.5,30.8,0.5,0.0,6.1
Noah FantSEA,4.1,45.8,0.2,0.0,5.6
Tyler HigbeeLAR,3.6,38.9,0.2,0.0,5.2
Austin HooperCLE,3.6,38.2,0.2,0.0,5.1
Jared CookLAC,3.2,38.3,0.2,0.0,5.0
Anthony FirkserTEN,3.2,35.6,0.2,0.0,4.6
Hunter HenryNE,3.0,34.1,0.2,0.0,4.4
Jonnu SmithNE,3.0,32.0,0.2,0.0,4.3
Zach ErtzARI,3.1,34.4,0.1,0.0,4.2
Jordan AkinsHOU,2.9,32.4,0.1,0.0,4.0
Hayden HurstATL,2.5,26.4,0.2,0.0,3.5
Dawson KnoxBUF,2.2,25.6,0.2,0.0,3.4
Blake JarwinDAL,2.5,27.3,0.1,0.0,3.4
O.J. HowardTB,1.9,25.0,0.2,0.0,3.4
Tyler ConklinMIN,2.4,26.3,0.1,0.0,3.4
Cole KmetCHI,2.8,26.6,0.1,0.0,3.3
Dan ArnoldJAC,1.9,23.4,0.1,0.0,3.1
Juwan JohnsonNO,2.3,26.5,0.1,0.0,2.9
C.J. UzomahCIN,2.1,21.9,0.1,0.0,2.9
Mo Alie-CoxIND,1.8,21.0,0.1,0.0,2.6
James O'ShaughnessyJAC,2.0,20.0,0.1,0.0,2.5
Pharaoh BrownHOU,1.5,16.6,0.1,0.0,2.5
David NjokuCLE,1.5,17.6,0.1,0.0,2.5
Tyler KroftNYJ,1.9,17.3,0.1,0.0,2.4
Chris Herndon IVMIN,1.5,17.2,0.1,0.0,2.4
Dalton SchultzDAL,1.8,18.8,0.1,0.0,2.4
Jimmy GrahamCHI,1.8,18.2,0.1,0.0,2.4
Donald Parham Jr.LAC,1.5,17.3,0.1,0.0,2.3
Will DisslySEA,1.6,16.4,0.1,0.0,2.2
Albert OkwuegbunamDEN,1.5,17.0,0.1,0.0,2.2
Adam TrautmanNO,1.4,16.3,0.1,0.0,2.2
Harrison BryantCLE,1.5,16.1,0.1,0.1,2.1
Drew SampleCIN,1.7,16.1,0.1,0.0,2.0
Maxx WilliamsARI,1.2,13.2,0.1,0.0,1.8
Garrett GriffinNO,0.9,12.3,0.1,0.0,1.8
