Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.3,76.2,0.6,0.1,11.0
George KittleSF,5.9,79.2,0.5,0.1,10.8
Mark AndrewsBAL,5.2,64.6,0.5,0.0,9.6
Rob GronkowskiTB,4.3,52.2,0.6,0.0,8.6
Kyle PittsATL,5.0,61.8,0.4,0.0,8.6
Dallas GoedertPHI,4.4,50.8,0.5,0.0,8.0
T.J. HockensonDET,4.9,53.4,0.4,0.0,8.0
Dalton SchultzDAL,4.1,45.4,0.4,0.0,7.1
Mike GesickiMIA,4.2,46.1,0.4,0.0,7.0
Zach ErtzARI,3.9,41.5,0.5,0.0,6.8
Logan ThomasWAS,4.1,41.3,0.4,0.0,6.8
Dawson KnoxBUF,3.5,41.6,0.4,0.0,6.7
Noah FantSEA,4.3,44.5,0.4,0.0,6.7
Pat FreiermuthPIT,3.9,41.0,0.4,0.0,6.6
Foster MoreauLV,3.2,36.5,0.5,0.0,6.4
Tyler HigbeeLAR,3.8,38.8,0.3,0.0,5.4
Tyler ConklinMIN,3.6,36.8,0.2,0.0,5.0
Cole KmetCHI,3.9,39.4,0.2,0.0,4.9
Jared CookLAC,2.8,34.1,0.2,0.0,4.7
Evan EngramNYG,4.1,38.1,0.2,0.0,4.7
Hunter HenryNE,3.2,33.4,0.2,0.0,4.3
C.J. UzomahCIN,2.7,28.2,0.2,0.0,4.1
James O'ShaughnessyJAC,2.9,30.6,0.1,0.0,3.6
Jordan AkinsHOU,3.0,29.0,0.1,0.2,3.1
Albert OkwuegbunamDEN,2.3,23.2,0.1,0.0,3.0
Jonnu SmithNE,2.2,22.9,0.1,0.0,3.0
Brevin JordanHOU,2.1,21.4,0.1,0.0,2.9
Ryan GriffinNYJ,1.9,19.2,0.1,0.0,2.6
Durham SmytheMIA,2.1,21.1,0.1,0.0,2.5
Pharaoh BrownHOU,1.9,19.8,0.1,0.0,2.5
Cameron BrateTB,1.7,16.8,0.1,0.0,2.4
Donald Parham Jr.LAC,1.4,15.8,0.1,0.0,2.4
Hayden HurstATL,2.0,18.2,0.1,0.1,2.4
Mo Alie-CoxIND,1.4,16.6,0.1,0.0,2.3
Nick VannettNO,1.8,17.9,0.1,0.0,2.3
Ricky Seals-JonesWAS,1.4,15.3,0.1,0.0,2.3
Daniel HelmATL,1.4,15.7,0.1,0.0,2.2
John BatesWAS,1.7,18.3,0.1,0.0,2.2
Will DisslySEA,1.3,14.4,0.1,0.0,2.1
Tyler KroftNYJ,1.3,14.0,0.1,0.0,2.0
Brock WrightDET,1.3,13.1,0.1,0.0,1.9
Juwan JohnsonNO,1.3,14.2,0.1,0.0,1.9
Jimmy GrahamCHI,1.2,14.3,0.1,0.0,1.9
Parker HesseATL,1.2,12.3,0.1,0.0,1.7
O.J. HowardTB,1.1,12.7,0.1,0.0,1.7
Chris ManhertzJAC,1.0,10.9,0.1,0.0,1.6
Richard RodgersPHI,0.8,8.9,0.1,0.0,1.4
Nick BoyleBAL,0.8,7.7,0.1,0.0,1.4
Luke FarrellJAC,1.1,10.0,0.1,0.0,1.3
David WellsARI,0.7,6.5,0.1,0.0,1.3
Sean McKeonDAL,0.8,8.5,0.1,0.0,1.2
Stephen AndersonLAC,0.7,7.7,0.1,0.0,1.2
Chris Herndon IVMIN,0.7,7.0,0.1,0.0,1.2
Jacob HollisterJAC,0.7,5.2,0.1,0.0,1.1
Kylen GransonIND,0.7,8.0,0.1,0.0,1.1
Jesse JamesCHI,0.8,7.6,0.1,0.0,1.1
Tommy SweeneyBUF,0.8,9.5,0.0,0.0,1.1
Zach GentryPIT,0.8,8.4,0.0,0.0,1.1
Garrett GriffinNO,0.7,6.8,0.1,0.0,1.0
Noah GrayKC,0.6,5.9,0.1,0.0,0.9
Tre' McKittyLAC,0.6,6.0,0.1,0.0,0.9
Blake BellKC,0.6,5.5,0.1,0.0,0.8
Eric SaubertDEN,0.6,5.3,0.1,0.0,0.8
Ross DwelleySF,0.4,5.3,0.1,0.0,0.8
Antony AuclairHOU,0.6,5.2,0.1,0.0,0.8
Hunter LongMIA,0.6,6.5,0.0,0.0,0.8
Brycen HopkinsLAR,0.5,4.7,0.1,0.0,0.8
Chris MyarickNYG,0.8,7.0,0.0,0.0,0.7
Drew SampleCIN,0.8,6.0,0.0,0.0,0.7
Andrew BeckDEN,0.3,3.5,0.1,0.0,0.6
Colby ParkinsonSEA,0.5,5.0,0.0,0.0,0.6
Jesper HorstedCHI,0.4,3.4,0.1,0.0,0.6
