Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.4,79.4,0.6,0.1,11.4
Darren WallerLV,6.3,75.7,0.5,0.1,10.6
George KittleSF,5.5,68.5,0.5,0.1,9.6
Kyle PittsATL,5.2,68.9,0.4,0.0,9.3
Mark AndrewsBAL,4.8,59.5,0.5,0.0,8.8
Mike GesickiMIA,4.7,55.4,0.5,0.0,8.2
Dalton SchultzDAL,4.5,48.5,0.4,0.0,7.5
T.J. HockensonDET,4.5,49.7,0.4,0.0,7.0
Dan ArnoldJAC,4.1,49.0,0.4,0.0,7.0
Hunter HenryNE,3.2,36.1,0.5,0.0,6.7
Dawson KnoxBUF,3.1,37.8,0.4,0.0,6.4
Dallas GoedertPHI,4.0,49.0,0.2,0.0,6.4
Rob GronkowskiTB,3.1,37.6,0.3,0.0,5.8
C.J. UzomahCIN,2.9,31.4,0.4,0.0,5.7
Zach ErtzARI,3.9,41.4,0.2,0.0,5.4
Pat FreiermuthPIT,3.7,37.9,0.3,0.0,5.2
Cole KmetCHI,3.7,40.7,0.2,0.0,5.2
Tyler ConklinMIN,3.7,38.8,0.2,0.0,5.2
Jared CookLAC,2.9,37.5,0.2,0.0,5.2
Austin HooperCLE,3.1,33.6,0.2,0.0,4.8
David NjokuCLE,2.4,33.5,0.2,0.0,4.6
Evan EngramNYG,3.7,33.9,0.2,0.0,4.3
Adam TrautmanNO,3.2,33.5,0.2,0.1,4.2
Anthony FirkserTEN,2.5,25.6,0.1,0.0,3.4
Jonnu SmithNE,2.0,20.7,0.2,0.0,3.1
John BatesWAS,2.4,23.3,0.1,0.0,2.9
Pharaoh BrownHOU,2.0,20.3,0.1,0.0,2.8
Donald Parham Jr.LAC,1.5,18.0,0.1,0.0,2.7
Mo Alie-CoxIND,1.6,18.5,0.1,0.0,2.6
Harrison BryantCLE,1.4,18.1,0.1,0.0,2.6
MyCole PruittTEN,1.2,13.9,0.2,0.0,2.5
O.J. HowardTB,1.6,19.8,0.1,0.0,2.5
Cameron BrateTB,1.5,15.3,0.1,0.0,2.4
Tommy SweeneyBUF,1.4,13.9,0.2,0.0,2.3
Sean McKeonDAL,1.4,15.3,0.1,0.0,2.3
Brevin JordanHOU,1.5,15.9,0.1,0.0,2.2
Josiah DeguaraGB,1.6,15.5,0.1,0.0,2.2
Ryan GriffinNYJ,1.6,15.4,0.1,0.0,2.1
Tommy TrembleCAR,1.4,14.8,0.1,0.0,2.1
Durham SmytheMIA,1.4,14.6,0.1,0.0,2.1
Will DisslySEA,1.3,14.6,0.1,0.0,2.0
Parker HesseATL,1.2,14.0,0.1,0.0,2.0
Marcedes LewisGB,1.3,13.8,0.1,0.0,1.8
James O'ShaughnessyJAC,1.2,11.3,0.1,0.0,1.7
Adam ShaheenMIA,1.2,12.1,0.1,0.0,1.7
Tyree JacksonPHI,0.9,11.0,0.1,0.0,1.7
Jimmy GrahamCHI,1.0,11.8,0.1,0.0,1.7
Jordan AkinsHOU,1.5,16.5,0.0,0.0,1.7
Ian ThomasCAR,1.1,12.4,0.1,0.0,1.6
Foster MoreauLV,0.9,9.5,0.1,0.0,1.5
Jesse JamesCHI,1.0,9.6,0.1,0.0,1.5
Daniel HelmATL,0.8,8.1,0.1,0.0,1.4
Sammis ReyesWAS,0.9,9.6,0.1,0.0,1.4
Dominique DafneyGB,0.7,8.2,0.1,0.0,1.3
Nick BoyleBAL,1.0,10.0,0.1,0.0,1.3
Chris Herndon IVMIN,0.9,8.6,0.1,0.0,1.3
Tommy HudsonTEN,0.7,6.8,0.1,0.0,1.1
Nick VannettNO,1.1,9.3,0.0,0.0,1.1
Stephen AndersonLAC,0.7,7.3,0.1,0.0,1.1
Antony AuclairHOU,0.7,7.3,0.1,0.0,1.0
Jack StollPHI,0.7,8.0,0.0,0.0,1.0
Blake BellKC,0.6,6.4,0.1,0.0,0.9
Noah GrayKC,0.6,5.8,0.1,0.0,0.9
Brock WrightDET,0.8,7.9,0.0,0.0,0.9
Tre' McKittyLAC,0.5,5.9,0.1,0.0,0.9
Ross DwelleySF,0.5,5.5,0.1,0.0,0.9
Drew SampleCIN,0.7,6.5,0.0,0.0,0.8
Chris ManhertzJAC,0.5,4.3,0.1,0.0,0.7
Garrett GriffinNO,0.5,5.0,0.0,0.0,0.7
Josh OliverBAL,0.6,5.3,0.0,0.0,0.7
