Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.6,84.2,0.7,0.1,12.6
Darren WallerLV,6.4,77.1,0.7,0.1,11.6
T.J. HockensonDET,5.1,61.5,0.5,0.1,9.0
Mark AndrewsBAL,4.6,56.7,0.5,0.0,8.6
Mike GesickiMIA,4.4,50.2,0.4,0.0,7.6
Kyle PittsATL,5.0,58.8,0.3,0.0,7.5
Dalton SchultzDAL,4.0,41.2,0.5,0.0,7.3
Noah FantSEA,4.7,49.8,0.4,0.0,7.2
Tyler HigbeeLAR,3.9,43.6,0.4,0.0,6.9
Dallas GoedertPHI,3.7,40.9,0.4,0.0,6.7
Hunter HenryNE,3.4,37.9,0.4,0.0,6.3
Jared CookLAC,3.4,42.0,0.3,0.0,6.0
Dawson KnoxBUF,3.3,37.4,0.3,0.0,5.5
Robert TonyanGB,3.2,35.1,0.3,0.0,5.3
Tyler ConklinMIN,3.3,37.4,0.2,0.0,5.2
Austin HooperCLE,3.2,33.8,0.3,0.0,4.9
Cameron BrateTB,3.0,32.2,0.3,0.0,4.8
Anthony FirkserTEN,3.0,34.9,0.2,0.0,4.6
Evan EngramNYG,3.5,35.7,0.2,0.1,4.4
George KittleSF,3.0,32.4,0.2,0.0,4.2
Hayden HurstATL,2.8,29.9,0.2,0.0,4.2
Zach ErtzARI,3.0,31.0,0.2,0.0,4.2
Dan ArnoldJAC,2.4,31.3,0.2,0.0,4.1
C.J. UzomahCIN,2.6,27.3,0.2,0.0,4.1
Maxx WilliamsARI,2.7,29.3,0.2,0.0,4.1
Jonnu SmithNE,2.8,28.1,0.2,0.0,4.0
Cole KmetCHI,2.8,28.5,0.2,0.0,3.9
Ricky Seals-JonesWAS,2.3,27.3,0.2,0.0,3.7
Blake JarwinDAL,2.3,25.5,0.2,0.0,3.7
Mo Alie-CoxIND,2.1,24.7,0.2,0.0,3.4
Will DisslySEA,2.2,24.9,0.1,0.0,3.4
Ross DwelleySF,2.3,23.9,0.1,0.0,3.3
O.J. HowardTB,1.7,22.6,0.2,0.0,3.2
Albert OkwuegbunamDEN,2.3,23.9,0.1,0.0,3.2
David NjokuCLE,1.9,22.9,0.1,0.0,3.0
Juwan JohnsonNO,1.9,20.0,0.2,0.0,3.0
Pat FreiermuthPIT,2.2,22.9,0.1,0.0,3.0
Ryan GriffinNYJ,1.9,19.4,0.1,0.0,2.7
Adam TrautmanNO,1.6,19.0,0.1,0.0,2.6
Jordan AkinsHOU,2.0,21.3,0.1,0.0,2.6
Colby ParkinsonSEA,1.6,17.1,0.1,0.0,2.6
Pharaoh BrownHOU,1.7,19.5,0.1,0.0,2.5
Ian ThomasCAR,1.8,16.4,0.1,0.0,2.3
