Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.4,80.2,0.6,0.0,11.6
Mark AndrewsBAL,6.3,72.8,0.5,0.1,10.4
George KittleSF,4.9,62.7,0.6,0.0,9.6
Dallas GoedertPHI,4.6,57.6,0.5,0.0,8.8
Rob GronkowskiTB,4.3,51.3,0.6,0.0,8.5
Zach ErtzARI,5.2,54.2,0.5,0.0,8.1
Kyle PittsATL,5.4,67.7,0.2,0.0,8.0
Dawson KnoxBUF,3.6,43.7,0.5,0.0,7.5
Hunter HenryNE,3.2,35.2,0.5,0.0,6.3
Dalton SchultzDAL,4.2,43.7,0.3,0.0,6.1
Mike GesickiMIA,4.1,43.2,0.2,0.0,5.4
Noah FantSEA,3.9,41.7,0.2,0.0,5.3
Foster MoreauLV,3.4,39.9,0.2,0.0,5.2
Tyler HigbeeLAR,3.4,37.1,0.2,0.0,5.0
Pat FreiermuthPIT,3.3,35.6,0.2,0.0,4.8
Cole KmetCHI,3.7,37.6,0.2,0.0,4.7
C.J. UzomahCIN,3.2,33.2,0.2,0.0,4.4
Tyler ConklinMIN,3.4,32.8,0.1,0.0,3.9
Evan EngramNYG,3.2,31.6,0.1,0.0,3.9
Austin HooperCLE,2.8,29.4,0.2,0.0,3.9
Ricky Seals-JonesWAS,2.6,26.6,0.2,0.0,3.6
Albert OkwuegbunamDEN,2.5,26.3,0.1,0.0,3.5
Adam TrautmanNO,2.3,27.8,0.1,0.0,3.4
Jared PinkneyDET,2.5,26.6,0.1,0.0,3.4
Brevin JordanHOU,2.4,24.8,0.1,0.0,3.2
Stephen AndersonLAC,2.2,24.4,0.1,0.0,3.2
Tyler KroftNYJ,2.1,23.4,0.1,0.0,3.2
David NjokuCLE,1.9,24.1,0.1,0.0,3.1
Josiah DeguaraGB,2.1,20.5,0.2,0.0,3.0
Jonnu SmithNE,1.7,19.3,0.2,0.0,2.9
Mo Alie-CoxIND,1.7,20.4,0.1,0.0,2.8
John BatesWAS,2.0,20.7,0.1,0.0,2.6
Stephen SullivanCAR,2.1,20.0,0.1,0.0,2.6
Daniel BrownNYJ,1.9,18.4,0.1,0.0,2.5
Geoff SwaimTEN,1.9,18.7,0.1,0.0,2.4
Tommy TrembleCAR,1.8,21.0,0.0,0.0,2.3
Marcedes LewisGB,1.5,16.1,0.1,0.0,2.3
Cameron BrateTB,1.6,15.1,0.1,0.0,2.3
Tre' McKittyLAC,1.5,15.4,0.1,0.0,2.2
Pharaoh BrownHOU,1.7,16.1,0.1,0.0,2.1
Kenny YeboahNYJ,1.6,15.7,0.1,0.0,2.1
Anthony FirkserTEN,1.6,16.1,0.1,0.0,2.0
Juwan JohnsonNO,1.3,13.8,0.1,0.0,2.0
Durham SmytheMIA,1.6,14.6,0.1,0.0,1.9
Parker HesseATL,1.2,13.0,0.1,0.0,1.9
Nick BowersLV,1.1,12.0,0.1,0.0,1.8
Noah GrayKC,1.0,12.0,0.1,0.0,1.8
Will DisslySEA,1.1,12.1,0.1,0.0,1.8
Kahale WarringJAC,1.5,15.1,0.0,0.0,1.7
Jacob HollisterJAC,1.5,13.5,0.1,0.0,1.7
Brock WrightDET,1.3,14.1,0.0,0.0,1.6
Jordan AkinsHOU,1.2,13.7,0.0,0.0,1.6
Zach GentryPIT,1.1,10.7,0.1,0.0,1.6
Luke FarrellJAC,1.4,15.3,0.0,0.0,1.6
Garrett GriffinNO,1.2,11.6,0.1,0.0,1.6
Ian ThomasCAR,1.4,13.1,0.0,0.0,1.6
Jimmy GrahamCHI,1.0,11.7,0.1,0.0,1.5
Kendall BlantonLAR,0.6,8.0,0.1,0.0,1.4
Chris ManhertzJAC,1.2,12.4,0.0,0.0,1.3
Harrison BryantCLE,0.9,10.2,0.0,0.0,1.3
O.J. HowardTB,1.2,12.0,0.0,0.0,1.2
Adam ShaheenMIA,0.8,9.1,0.0,0.0,1.1
Drew SampleCIN,0.8,7.7,0.1,0.0,1.1
Kylen GransonIND,0.6,6.7,0.1,0.0,1.0
MyCole PruittTEN,0.7,7.1,0.0,0.0,0.8
Tyree JacksonPHI,0.6,8.0,0.0,0.0,0.8
Chris MyarickNYG,0.6,6.2,0.0,0.0,0.8
Darrell DanielsARI,0.6,6.1,0.0,0.0,0.8
Jack StollPHI,0.5,6.0,0.0,0.0,0.6
Blake BellKC,0.4,4.1,0.0,0.0,0.5
Kevin RaderPIT,0.4,5.0,0.0,0.0,0.5
David WellsARI,0.4,5.0,0.0,0.0,0.5
Sean McKeonDAL,0.3,4.0,0.0,0.0,0.4
Nick BoyleBAL,0.4,3.0,0.0,0.0,0.3
Dominique DafneyGB,0.3,3.0,0.0,0.0,0.3
Brycen HopkinsLAR,0.2,3.0,0.0,0.0,0.3
Jesse JamesCHI,0.3,3.0,0.0,0.0,0.3
Sammis ReyesWAS,0.2,2.0,0.0,0.0,0.2
Hunter KampmoyerLAC,0.2,2.0,0.0,0.0,0.2
Chris Herndon IVMIN,0.2,2.0,0.0,0.0,0.2
Colby ParkinsonSEA,0.2,2.0,0.0,0.0,0.2
Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
Eric SaubertDEN,0.2,2.0,0.0,0.0,0.2
Colin ThompsonCAR,0.1,1.0,0.0,0.0,0.1
Luke StockerMIN,0.1,1.0,0.0,0.0,0.1
Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
Charlie WoernerSF,0.1,1.0,0.0,0.0,0.1
Jeremy SprinkleDAL,0.1,1.0,0.0,0.0,0.1
Cethan CarterMIA,0.0,0.0,0.0,0.0,0.0
Ross DwelleySF,0.0,0.0,0.0,0.0,0.0
