Player,REC,YDS,TDS,FL,FPTS
Darren WallerLV,6.4,80.6,0.5,0.1,10.9
Kyle PittsATL,5.2,68.4,0.5,0.1,9.4
George KittleSF,5.1,63.7,0.5,0.0,9.3
Mark AndrewsBAL,4.8,58.7,0.6,0.0,9.1
Dalton SchultzDAL,4.9,52.9,0.5,0.0,8.1
Rob GronkowskiTB,3.6,46.0,0.5,0.0,7.6
T.J. HockensonDET,4.7,50.7,0.4,0.0,7.3
Mike GesickiMIA,4.5,50.1,0.4,0.0,7.2
Pat FreiermuthPIT,4.3,44.5,0.5,0.0,7.1
Dawson KnoxBUF,3.6,43.8,0.5,0.0,7.1
Dallas GoedertPHI,4.3,51.2,0.3,0.0,6.7
Dan ArnoldJAC,3.8,45.9,0.4,0.0,6.6
Hunter HenryNE,2.9,32.5,0.4,0.0,5.8
Noah FantSEA,4.0,41.3,0.2,0.0,5.5
Tyler HigbeeLAR,4.0,41.5,0.2,0.0,5.4
Cole KmetCHI,3.9,41.2,0.2,0.0,5.2
Evan EngramNYG,4.0,38.4,0.2,0.0,5.0
Tyler ConklinMIN,3.6,37.2,0.2,0.0,4.9
Jared CookLAC,2.7,34.8,0.2,0.0,4.8
Austin HooperCLE,2.9,32.0,0.2,0.0,4.4
C.J. UzomahCIN,2.7,29.9,0.2,0.0,4.3
Logan ThomasWAS,3.0,28.7,0.2,0.1,4.0
David NjokuCLE,2.3,29.1,0.1,0.0,3.7
Pharaoh BrownHOU,2.2,23.9,0.1,0.0,3.2
John BatesWAS,2.5,25.7,0.1,0.0,3.2
Geoff SwaimTEN,2.4,22.4,0.1,0.0,3.0
Jonnu SmithNE,1.9,20.4,0.1,0.0,2.9
Albert OkwuegbunamDEN,2.1,21.4,0.1,0.0,2.8
Hayden HurstATL,1.8,17.9,0.2,0.0,2.8
Juwan JohnsonNO,1.8,18.9,0.1,0.0,2.7
Anthony FirkserTEN,2.0,21.4,0.1,0.0,2.6
Mo Alie-CoxIND,1.6,17.2,0.1,0.0,2.6
Cameron BrateTB,1.7,17.5,0.1,0.0,2.6
Parker HesseATL,1.6,19.0,0.1,0.0,2.5
Ryan GriffinNYJ,1.7,18.4,0.1,0.0,2.5
Donald Parham Jr.LAC,1.4,16.5,0.1,0.0,2.5
Brevin JordanHOU,1.6,16.7,0.1,0.0,2.4
Durham SmytheMIA,1.7,17.0,0.1,0.0,2.3
Will DisslySEA,1.5,15.9,0.1,0.0,2.3
Josiah DeguaraGB,1.6,14.9,0.1,0.0,2.2
Nick VannettNO,1.7,17.4,0.1,0.0,2.2
James O'ShaughnessyJAC,1.7,17.7,0.1,0.0,2.2
Sean McKeonDAL,1.4,13.9,0.1,0.0,2.2
Ricky Seals-JonesWAS,1.5,15.3,0.1,0.0,2.0
Adam ShaheenMIA,1.2,13.6,0.1,0.0,1.9
Jimmy GrahamCHI,1.3,14.5,0.1,0.0,1.9
Tommy TrembleCAR,1.4,14.3,0.1,0.0,1.9
Harrison BryantCLE,1.1,13.6,0.1,0.0,1.9
O.J. HowardTB,1.2,14.5,0.1,0.0,1.9
MyCole PruittTEN,1.2,12.9,0.1,0.0,1.8
Jesse JamesCHI,1.1,12.0,0.1,0.0,1.8
Foster MoreauLV,1.0,11.2,0.1,0.0,1.7
Marcedes LewisGB,1.1,12.4,0.1,0.0,1.7
Tommy SweeneyBUF,1.1,10.2,0.1,0.0,1.6
Ian ThomasCAR,1.2,11.5,0.1,0.0,1.5
Daniel HelmATL,0.7,8.0,0.1,0.0,1.4
