Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.5,77.8,0.6,0.1,11.3
Darren WallerLV,6.3,77.5,0.6,0.1,11.0
Mark AndrewsBAL,5.0,64.2,0.6,0.0,9.8
Mike GesickiMIA,4.9,59.7,0.5,0.0,8.8
Dallas GoedertPHI,4.3,51.8,0.5,0.0,7.9
Kyle PittsATL,5.0,62.9,0.2,0.0,7.7
Dalton SchultzDAL,4.4,47.8,0.3,0.0,6.6
Hunter HenryNE,3.3,37.0,0.4,0.0,6.2
Dan ArnoldJAC,3.7,40.6,0.3,0.0,5.8
Jared CookLAC,3.4,41.9,0.3,0.0,5.8
George KittleSF,3.7,45.5,0.2,0.0,5.7
Zach ErtzARI,4.0,41.2,0.2,0.0,5.6
Tyler HigbeeLAR,3.5,37.9,0.3,0.0,5.4
Albert OkwuegbunamDEN,4.0,39.4,0.2,0.1,5.1
Pat FreiermuthPIT,3.4,37.3,0.2,0.0,5.0
Tyler ConklinMIN,3.5,38.4,0.2,0.0,4.9
C.J. UzomahCIN,2.5,28.9,0.3,0.0,4.5
Evan EngramNYG,3.7,34.8,0.1,0.0,4.3
Austin HooperCLE,3.0,31.7,0.2,0.0,4.3
Cole KmetCHI,3.2,32.8,0.1,0.0,4.0
Tommy SweeneyBUF,2.5,27.4,0.2,0.0,4.0
Mo Alie-CoxIND,2.1,25.5,0.2,0.0,3.9
David NjokuCLE,2.2,29.4,0.1,0.0,3.7
Jordan AkinsHOU,2.7,28.1,0.1,0.0,3.4
Nick BoyleBAL,2.0,22.3,0.2,0.0,3.4
Adam TrautmanNO,2.2,24.3,0.1,0.0,3.2
Jonnu SmithNE,2.3,23.5,0.1,0.0,3.2
Hayden HurstATL,2.4,25.1,0.1,0.0,3.2
Donald Parham Jr.LAC,1.3,14.2,0.2,0.0,2.4
Anthony FirkserTEN,1.8,18.2,0.1,0.0,2.3
Blake JarwinDAL,2.0,23.0,0.0,0.0,2.3
Durham SmytheMIA,1.6,16.7,0.1,0.0,2.2
Tommy TrembleCAR,1.6,17.5,0.1,0.0,2.2
Brevin JordanHOU,1.4,15.3,0.1,0.0,2.2
Tyler KroftNYJ,1.4,13.7,0.1,0.0,2.1
MyCole PruittTEN,1.3,14.3,0.1,0.0,2.1
Charlie WoernerSF,1.5,15.2,0.1,0.0,2.1
Foster MoreauLV,1.4,14.6,0.1,0.0,2.1
Marcedes LewisGB,1.5,16.4,0.1,0.0,2.1
Geoff SwaimTEN,1.6,14.8,0.1,0.0,2.0
Harrison BryantCLE,1.1,12.8,0.1,0.0,1.8
Josiah DeguaraGB,1.4,13.4,0.1,0.0,1.8
Adam ShaheenMIA,1.2,12.8,0.1,0.0,1.8
Jack StollPHI,1.1,12.1,0.1,0.0,1.7
Ryan GriffinNYJ,1.2,12.9,0.1,0.0,1.7
Juwan JohnsonNO,0.9,11.7,0.1,0.0,1.6
Ian ThomasCAR,1.1,13.0,0.0,0.0,1.6
Zach GentryPIT,1.1,11.3,0.1,0.0,1.6
Eric SaubertDEN,1.2,11.3,0.1,0.0,1.6
Richard RodgersPHI,0.7,9.0,0.1,0.0,1.5
Dominique DafneyGB,0.8,8.3,0.1,0.0,1.4
Brycen HopkinsLAR,0.7,8.2,0.1,0.0,1.4
Chris Herndon IVMIN,0.9,9.0,0.1,0.1,1.4
Daniel HelmATL,0.7,7.8,0.1,0.0,1.4
Jimmy GrahamCHI,0.9,10.4,0.1,0.0,1.3
Jesse JamesCHI,1.0,9.4,0.1,0.0,1.3
Ross DwelleySF,0.9,9.1,0.1,0.0,1.3
Garrett GriffinNO,0.8,8.9,0.1,0.0,1.3
Sean McKeonDAL,0.7,6.8,0.1,0.0,1.1
Josh OliverBAL,0.8,8.1,0.0,0.0,1.1
Kylen GransonIND,0.7,6.6,0.1,0.0,1.1
Luke FarrellJAC,0.9,8.2,0.0,0.0,1.0
Reggie GilliamBUF,0.4,3.6,0.1,0.0,1.0
Blake BellKC,0.7,6.1,0.1,0.0,0.9
Antony AuclairHOU,0.6,6.1,0.1,0.0,0.9
Tre' McKittyLAC,0.6,5.4,0.1,0.0,0.8
Noah GrayKC,0.6,6.2,0.0,0.0,0.8
Jacob HarrisLAR,0.4,4.6,0.1,0.0,0.8
Drew SampleCIN,0.5,4.6,0.1,0.0,0.8
Stephen AndersonLAC,0.7,6.4,0.0,0.0,0.8
Chris ManhertzJAC,0.5,4.5,0.1,0.0,0.7
Andrew BeckDEN,0.4,3.8,0.1,0.0,0.7
Colin ThompsonCAR,0.4,3.4,0.1,0.0,0.6
Jesper HorstedCHI,0.4,3.2,0.1,0.0,0.6
Demetrius HarrisARI,0.5,6.0,0.0,0.0,0.6
David WellsARI,0.6,5.7,0.0,0.0,0.6
Kendall BlantonLAR,0.4,5.0,0.0,0.0,0.5
Kaden SmithNYG,0.5,3.7,0.0,0.0,0.4
Darrell DanielsARI,0.3,2.8,0.0,0.0,0.3
Trevon WescoNYJ,0.2,2.5,0.0,0.0,0.3
Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
Luke StockerMIN,0.2,2.0,0.0,0.0,0.2
Jeremy SprinkleDAL,0.2,2.0,0.0,0.0,0.2
Cethan CarterMIA,0.2,1.9,0.0,0.0,0.2
Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
Daniel BrownNYJ,0.1,1.0,0.0,0.0,0.1
Tyree JacksonPHI,0.1,1.0,0.0,0.0,0.1
Giovanni RicciCAR,0.1,0.5,0.0,0.0,0.1
