Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,7.0,87.1,0.8,0.1,13.3
Mark AndrewsBAL,5.5,68.0,0.7,0.1,10.6
Darren WallerLV,6.2,72.3,0.5,0.1,10.3
Mike GesickiMIA,4.6,57.8,0.5,0.0,8.7
T.J. HockensonDET,4.8,55.4,0.4,0.0,8.1
Dawson KnoxBUF,3.5,43.6,0.5,0.0,7.5
Zach ErtzARI,4.7,46.9,0.5,0.0,7.4
Dalton SchultzDAL,4.1,46.5,0.4,0.0,7.2
Hunter HenryNE,4.0,43.8,0.4,0.0,6.9
Noah FantSEA,4.7,48.9,0.3,0.0,6.8
Jared CookLAC,3.5,44.3,0.3,0.0,6.3
Ricky Seals-JonesWAS,3.3,40.3,0.4,0.0,6.3
Tyler HigbeeLAR,3.5,37.8,0.3,0.0,5.5
Dan ArnoldJAC,3.2,40.3,0.2,0.1,5.2
Robert TonyanGB,2.8,31.4,0.3,0.0,4.7
Evan EngramNYG,3.4,36.2,0.2,0.1,4.6
David NjokuCLE,2.6,32.7,0.2,0.0,4.3
Mo Alie-CoxIND,2.3,27.1,0.2,0.0,4.1
Tyler ConklinMIN,3.1,31.3,0.2,0.0,4.1
Cameron BrateTB,2.7,26.9,0.2,0.0,4.0
Austin HooperCLE,2.9,29.1,0.2,0.0,4.0
C.J. UzomahCIN,2.4,28.3,0.2,0.0,4.0
Jonnu SmithNE,2.5,25.7,0.2,0.0,3.7
O.J. HowardTB,1.9,24.2,0.2,0.0,3.6
Cole KmetCHI,2.5,24.8,0.2,0.0,3.6
Anthony FirkserTEN,2.6,27.5,0.1,0.0,3.6
Pat FreiermuthPIT,2.3,24.7,0.2,0.0,3.5
Pharaoh BrownHOU,1.8,20.8,0.1,0.0,2.8
Blake JarwinDAL,1.7,19.1,0.1,0.0,2.7
Ian ThomasCAR,2.1,20.8,0.1,0.0,2.7
Jordan AkinsHOU,1.8,20.3,0.1,0.0,2.5
Donald Parham Jr.LAC,1.4,16.7,0.1,0.0,2.5
Tommy TrembleCAR,1.6,17.1,0.1,0.0,2.3
Albert OkwuegbunamDEN,1.6,15.1,0.1,0.0,2.2
Will DisslySEA,1.4,15.3,0.1,0.0,2.1
Durham SmytheMIA,1.4,14.0,0.1,0.0,1.9
Jason CroomPHI,1.1,12.0,0.1,0.0,1.9
MyCole PruittTEN,0.9,9.4,0.2,0.0,1.8
Demetrius HarrisARI,1.1,11.0,0.1,0.0,1.8
Harrison BryantCLE,1.1,13.2,0.1,0.0,1.8
John BatesWAS,1.1,11.1,0.1,0.1,1.6
Blake BellKC,1.0,10.0,0.1,0.0,1.6
Marcedes LewisGB,1.0,11.2,0.1,0.0,1.6
Darrell DanielsARI,1.2,12.5,0.1,0.0,1.6
Geoff SwaimTEN,1.2,11.5,0.1,0.0,1.6
Jacob HollisterJAC,1.0,10.1,0.1,0.0,1.5
Colby ParkinsonSEA,1.2,11.8,0.1,0.0,1.5
Tommy SweeneyBUF,1.1,10.6,0.1,0.0,1.5
Kylen GransonIND,0.8,8.2,0.1,0.0,1.3
Jimmy GrahamCHI,0.9,9.5,0.1,0.0,1.3
Noah GrayKC,0.9,9.6,0.1,0.0,1.3
Antony AuclairHOU,0.6,6.4,0.1,0.0,1.2
Chris Herndon IVMIN,0.7,7.1,0.1,0.1,1.2
Chris ManhertzJAC,0.6,8.0,0.1,0.0,1.2
Adam ShaheenMIA,0.7,8.4,0.1,0.0,1.1
Jack StollPHI,0.8,8.4,0.0,0.0,1.1
Luke FarrellJAC,0.8,7.8,0.1,0.0,1.1
Jody FortsonKC,0.7,7.0,0.1,0.0,1.1
Jesper HorstedCHI,0.7,7.0,0.1,0.0,1.1
Reggie GilliamBUF,0.5,4.3,0.1,0.0,1.0
Josh OliverBAL,0.8,7.9,0.0,0.0,1.0
Stephen AndersonLAC,0.7,7.9,0.0,0.0,1.0
Hunter LongMIA,0.5,5.7,0.1,0.0,0.9
Eric SaubertDEN,0.8,7.2,0.0,0.0,0.8
Drew SampleCIN,0.6,6.4,0.0,0.0,0.8
Jacob HarrisLAR,0.5,4.7,0.1,0.0,0.8
Colin ThompsonCAR,0.5,4.5,0.1,0.0,0.7
Giovanni RicciCAR,0.7,7.1,0.0,0.0,0.7
Foster MoreauLV,0.4,4.0,0.1,0.0,0.7
Andrew BeckDEN,0.4,3.6,0.1,0.0,0.7
Zach GentryPIT,0.6,5.4,0.0,0.0,0.5
Josiah DeguaraGB,0.5,5.2,0.0,0.0,0.5
Johnny MundtLAR,0.4,5.0,0.0,0.0,0.5
Luke StockerMIN,0.5,4.4,0.0,0.0,0.4
Kaden SmithNYG,0.5,4.1,0.0,0.0,0.4
Codey McElroyTB,0.4,4.0,0.0,0.0,0.4
Shane ZylstraDET,0.3,3.0,0.0,0.0,0.3
Deon YelderARI,0.2,3.0,0.0,0.0,0.3
Sammis ReyesWAS,0.3,3.0,0.0,0.0,0.3
Jesse JamesCHI,0.4,2.6,0.0,0.0,0.3
Cethan CarterMIA,0.2,2.3,0.0,0.0,0.2
Nick BowersLV,0.2,2.0,0.0,0.0,0.2
Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
Nick RalstonDAL,0.2,1.3,0.0,0.0,0.1
Tyler MabrySEA,0.1,1.0,0.0,0.0,0.1
Jeremy SprinkleDAL,0.0,1.0,0.0,0.0,0.1
Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
