Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.7,82.7,0.7,0.1,12.3
Kyle PittsATL,5.1,63.9,0.5,0.0,9.1
T.J. HockensonDET,5.0,54.7,0.5,0.0,8.7
Dallas GoedertPHI,4.3,53.4,0.5,0.0,8.1
Mike GesickiMIA,4.7,53.7,0.4,0.0,7.8
Robert TonyanGB,4.1,42.9,0.5,0.0,7.5
Noah FantSEA,4.4,47.4,0.4,0.0,7.2
Ricky Seals-JonesWAS,3.9,44.0,0.5,0.0,7.2
George KittleSF,4.9,59.2,0.3,0.1,7.2
Dalton SchultzDAL,4.1,46.2,0.4,0.0,7.0
Tyler HigbeeLAR,3.7,41.8,0.4,0.0,6.5
Hunter HenryNE,3.4,40.5,0.4,0.0,6.5
Jared CookLAC,3.5,42.8,0.3,0.0,5.9
Rob GronkowskiTB,3.5,40.0,0.3,0.0,5.7
Zach ErtzARI,3.6,37.4,0.3,0.0,5.5
Evan EngramNYG,3.7,39.4,0.2,0.0,5.1
Tyler ConklinMIN,3.5,39.2,0.2,0.0,5.0
C.J. UzomahCIN,2.7,31.1,0.3,0.0,4.9
Dan ArnoldJAC,3.5,39.0,0.2,0.0,4.8
Pat FreiermuthPIT,3.2,32.2,0.2,0.0,4.5
Cole KmetCHI,3.4,33.6,0.2,0.0,4.3
Tommy SweeneyBUF,2.6,28.5,0.2,0.0,4.2
Mo Alie-CoxIND,2.3,26.9,0.3,0.0,4.2
Austin HooperCLE,2.8,30.0,0.2,0.0,4.0
David NjokuCLE,2.2,27.3,0.1,0.0,3.5
Adam TrautmanNO,2.0,23.3,0.1,0.0,3.2
Albert OkwuegbunamDEN,2.4,22.3,0.2,0.0,3.2
Hayden HurstATL,2.2,23.0,0.1,0.0,2.8
Jonnu SmithNE,1.9,20.1,0.1,0.0,2.7
Jordan AkinsHOU,2.2,23.1,0.1,0.0,2.7
Josiah DeguaraGB,2.0,20.3,0.1,0.0,2.6
Donald Parham Jr.LAC,1.5,15.7,0.2,0.0,2.5
Durham SmytheMIA,1.8,18.1,0.1,0.0,2.5
Anthony FirkserTEN,1.7,18.8,0.1,0.0,2.4
Ian ThomasCAR,1.6,17.5,0.1,0.0,2.4
Pharaoh BrownHOU,1.9,19.8,0.1,0.0,2.4
Blake JarwinDAL,1.7,18.5,0.1,0.0,2.4
MyCole PruittTEN,1.2,13.9,0.2,0.0,2.4
Tommy TrembleCAR,1.5,16.6,0.1,0.0,2.3
Will DisslySEA,1.4,16.8,0.1,0.0,2.3
O.J. HowardTB,1.4,17.3,0.1,0.0,2.3
Tyler KroftNYJ,1.6,15.2,0.1,0.0,2.3
Charlie WoernerSF,1.4,14.1,0.1,0.0,2.1
Ross DwelleySF,1.4,14.6,0.1,0.0,2.0
Cameron BrateTB,1.4,14.7,0.1,0.0,2.0
Marcedes LewisGB,1.3,14.4,0.1,0.0,1.9
Harrison BryantCLE,1.1,13.1,0.1,0.0,1.8
Ryan GriffinNYJ,1.6,15.1,0.1,0.0,1.8
Brevin JordanHOU,1.2,12.8,0.1,0.0,1.8
Jack StollPHI,1.1,12.2,0.1,0.0,1.7
Dominique DafneyGB,1.0,11.2,0.1,0.0,1.7
Geoff SwaimTEN,1.3,12.7,0.1,0.0,1.7
Juwan JohnsonNO,1.0,10.5,0.1,0.0,1.6
Adam ShaheenMIA,1.2,11.8,0.1,0.0,1.6
Richard RodgersPHI,0.7,9.0,0.1,0.0,1.5
Jimmy GrahamCHI,0.8,8.8,0.1,0.0,1.5
Brycen HopkinsLAR,0.7,8.2,0.1,0.0,1.4
Chris Herndon IVMIN,0.9,9.1,0.1,0.0,1.4
Devin AsiasiNE,0.7,7.9,0.1,0.0,1.4
Daniel HelmATL,0.7,7.8,0.1,0.0,1.4
Hunter LongMIA,0.8,7.6,0.1,0.0,1.4
Zach GentryPIT,0.9,9.2,0.1,0.0,1.3
Jesse JamesCHI,1.0,9.5,0.1,0.0,1.3
James O'ShaughnessyJAC,1.3,11.6,0.0,0.0,1.2
Eric SaubertDEN,0.9,8.1,0.1,0.0,1.1
Jacob HollisterJAC,0.7,5.0,0.1,0.0,1.1
Kylen GransonIND,0.7,6.2,0.1,0.0,1.0
Antony AuclairHOU,0.7,7.0,0.1,0.0,1.0
Darrell DanielsARI,0.8,6.8,0.1,0.0,1.0
Reggie GilliamBUF,0.4,3.6,0.1,0.0,1.0
Blake BellKC,0.6,6.1,0.1,0.0,0.9
Luke FarrellJAC,0.8,7.4,0.0,0.0,0.9
Stephen AndersonLAC,0.7,7.4,0.0,0.0,0.9
Noah GrayKC,0.6,6.5,0.0,0.0,0.8
Tre' McKittyLAC,0.6,5.4,0.1,0.0,0.8
Daniel BrownNYJ,0.5,5.3,0.1,0.0,0.8
Chris ManhertzJAC,0.6,6.3,0.0,0.0,0.8
Jacob HarrisLAR,0.4,4.6,0.1,0.0,0.8
Drew SampleCIN,0.5,4.6,0.1,0.0,0.8
Andrew BeckDEN,0.4,4.3,0.1,0.0,0.7
Jesper HorstedCHI,0.4,3.7,0.1,0.0,0.7
Colin ThompsonCAR,0.4,3.4,0.1,0.0,0.6
Kendall BlantonLAR,0.4,5.0,0.0,0.0,0.5
Garrett GriffinNO,0.5,5.0,0.0,0.0,0.5
Matt BushmanKC,0.4,5.0,0.0,0.0,0.5
Trevon WescoNYJ,0.3,3.5,0.0,0.0,0.4
Demetrius HarrisARI,0.4,4.0,0.0,0.0,0.4
Kaden SmithNYG,0.5,3.7,0.0,0.0,0.4
J.P. HoltzCHI,0.3,3.2,0.0,0.0,0.3
Cethan CarterMIA,0.2,2.0,0.0,0.0,0.2
Luke StockerMIN,0.2,2.0,0.0,0.0,0.2
Mitchell WilcoxCIN,0.1,1.0,0.0,0.0,0.1
Giovanni RicciCAR,0.1,0.5,0.0,0.0,0.1
Jeremy SprinkleDAL,0.0,0.0,0.0,0.0,0.0
