Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,7.0,89.9,0.8,0.1,13.5
Darren WallerLV,6.7,79.3,0.6,0.1,11.7
George KittleSF,5.5,70.8,0.6,0.1,10.4
Rob GronkowskiTB,4.0,48.0,0.8,0.0,9.6
Mark AndrewsBAL,4.6,55.7,0.5,0.0,8.4
T.J. HockensonDET,5.1,57.4,0.4,0.0,8.3
Noah FantSEA,4.6,50.9,0.4,0.0,7.5
Tyler HigbeeLAR,3.7,40.2,0.4,0.0,6.6
Logan ThomasWAS,4.3,44.6,0.3,0.0,6.3
Kyle PittsATL,4.3,48.9,0.2,0.0,6.1
Jared CookLAC,3.4,42.6,0.3,0.0,6.0
Dallas GoedertPHI,3.5,41.9,0.3,0.0,5.9
Austin HooperCLE,3.5,38.5,0.3,0.0,5.5
Dawson KnoxBUF,3.0,35.6,0.3,0.0,5.4
Dalton SchultzDAL,3.5,35.4,0.3,0.0,5.3
Mike GesickiMIA,3.4,38.5,0.2,0.0,5.3
Robert TonyanGB,3.0,34.1,0.3,0.0,5.3
Hunter HenryNE,3.5,38.6,0.2,0.0,5.1
Tyler ConklinMIN,3.1,33.4,0.2,0.0,4.7
Cameron BrateTB,3.2,31.4,0.2,0.0,4.3
Jonnu SmithNE,3.0,31.3,0.2,0.0,4.3
Zach ErtzARI,2.6,29.8,0.2,0.0,4.1
Anthony FirkserTEN,2.6,30.6,0.2,0.0,4.0
Adam TrautmanNO,2.3,26.3,0.2,0.0,3.9
Evan EngramNYG,2.9,31.2,0.1,0.1,3.8
Cole KmetCHI,2.6,28.8,0.2,0.0,3.8
Will DisslySEA,2.5,27.4,0.2,0.0,3.7
Pat FreiermuthPIT,2.6,27.2,0.2,0.0,3.6
O.J. HowardTB,1.9,25.6,0.2,0.0,3.6
David NjokuCLE,2.1,28.0,0.1,0.0,3.6
C.J. UzomahCIN,2.3,23.5,0.2,0.0,3.3
Albert OkwuegbunamDEN,2.3,23.6,0.2,0.1,3.2
Blake JarwinDAL,2.2,23.4,0.1,0.0,3.2
Pharaoh BrownHOU,2.1,24.7,0.1,0.0,3.1
Dan ArnoldJAC,1.8,22.6,0.1,0.0,3.0
Maxx WilliamsARI,2.1,24.3,0.1,0.0,2.9
Jordan AkinsHOU,2.2,23.6,0.1,0.0,2.9
Hayden HurstATL,1.9,19.6,0.1,0.0,2.7
Harrison BryantCLE,1.6,18.4,0.1,0.0,2.6
Juwan JohnsonNO,1.7,19.8,0.1,0.0,2.6
Tommy TrembleCAR,1.8,19.8,0.1,0.0,2.5
Geoff SwaimTEN,1.7,17.1,0.1,0.0,2.5
Ian ThomasCAR,1.7,16.1,0.1,0.0,2.2
Mo Alie-CoxIND,1.3,16.4,0.1,0.0,2.2
Tyler KroftNYJ,1.6,15.2,0.1,0.0,2.2
Donald Parham Jr.LAC,1.2,14.7,0.1,0.0,2.1
Ryan GriffinNYJ,1.5,15.2,0.1,0.0,2.1
Jimmy GrahamCHI,1.1,13.0,0.1,0.0,1.7
Jacob HollisterJAC,1.4,12.9,0.1,0.0,1.6
Colby ParkinsonSEA,0.9,9.2,0.1,0.0,1.6
Tre' McKittyLAC,0.9,9.1,0.1,0.0,1.5
Tommy HudsonTEN,0.8,9.8,0.1,0.0,1.5
Foster MoreauLV,0.9,9.6,0.1,0.0,1.4
Garrett GriffinNO,0.6,8.0,0.1,0.0,1.4
Ricky Seals-JonesWAS,0.8,11.9,0.1,0.1,1.4
Durham SmytheMIA,1.2,10.7,0.1,0.0,1.4
Marcedes LewisGB,0.9,10.4,0.1,0.0,1.3
Giovanni RicciCAR,0.7,7.3,0.1,0.0,1.3
Drew SampleCIN,1.1,10.3,0.1,0.0,1.3
Chris ManhertzJAC,0.9,10.3,0.0,0.0,1.2
Chris Herndon IVMIN,0.8,7.3,0.1,0.1,1.2
Tommy SweeneyBUF,0.9,8.7,0.1,0.0,1.2
MyCole PruittTEN,0.6,7.5,0.1,0.0,1.2
Noah GrayKC,0.8,8.6,0.1,0.0,1.2
Jody FortsonKC,0.7,6.9,0.1,0.0,1.1
Luke FarrellJAC,0.8,7.6,0.1,0.0,1.1
Adam ShaheenMIA,0.8,8.4,0.1,0.1,1.0
Reggie GilliamBUF,0.5,4.8,0.1,0.0,1.0
Ross DwelleySF,0.6,7.7,0.0,0.0,1.0
Blake BellKC,0.8,6.8,0.0,0.0,0.9
Stephen AndersonLAC,0.7,6.3,0.1,0.0,0.9
Josiah DeguaraGB,0.7,6.9,0.0,0.0,0.9
Ben EllefsonMIN,0.5,6.1,0.1,0.0,0.9
Colin ThompsonCAR,0.6,5.6,0.1,0.0,0.9
Josh OliverBAL,0.7,7.2,0.0,0.0,0.8
Tyler MabrySEA,0.7,8.0,0.0,0.0,0.8
John BatesWAS,0.7,6.8,0.0,0.1,0.8
Jacob HarrisLAR,0.5,4.3,0.1,0.0,0.7
Andrew BeckDEN,0.4,4.0,0.1,0.0,0.7
Kaden SmithNYG,0.6,5.7,0.0,0.0,0.7
Eric SaubertDEN,0.7,6.2,0.0,0.0,0.6
Cethan CarterMIA,0.3,2.4,0.1,0.0,0.5
Zach GentryPIT,0.7,5.2,0.0,0.0,0.5
