rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Lamar Jackson,15,20,75.0,169,8.5,5,0,2,8,95,0,0,1,36.3,36.3,94.0,BAL,QB,12,2019
2,Ryan Tannehill,14,18,77.8,259,14.4,2,0,1,7,40,2,1,1,32.4,32.4,62.7,TEN,QB,12,2019
3,Sam Darnold,20,29,69.0,315,10.9,2,0,1,4,16,1,0,1,28.2,28.2,5.5,CAR,QB,12,2019
4,Jameis Winston,18,28,64.3,313,11.2,3,2,0,8,38,0,0,1,26.3,26.3,5.2,NO,QB,12,2019
5,Ryan Fitzpatrick,21,39,53.8,214,5.5,2,2,4,5,45,1,0,1,25.1,25.1,6.1,WAS,QB,12,2019
6,Baker Mayfield,24,34,70.6,327,9.6,3,1,1,2,5,0,0,1,24.6,24.6,26.4,CLE,QB,12,2019
7,Drew Brees,30,39,76.9,311,8.0,3,1,2,0,0,0,0,1,23.4,23.4,35.7,FA,QB,12,2019
8,Kyle Allen,23,36,63.9,256,7.1,3,0,4,1,9,0,0,1,23.1,23.1,0.1,WAS,QB,12,2019
9,Mitchell Trubisky,25,41,61.0,278,6.8,1,2,2,7,18,1,0,1,20.9,20.9,0.4,BUF,QB,12,2019
10,Josh Allen,15,25,60.0,185,7.4,2,1,1,9,56,0,0,1,20.0,20.0,100.0,BUF,QB,12,2019
11,Deshaun Watson,19,30,63.3,298,9.9,2,1,1,3,10,0,0,1,19.9,19.9,5.0,HOU,QB,12,2019
12,Jimmy Garoppolo,14,20,70.0,253,12.7,2,0,3,2,1,0,0,1,18.2,18.2,23.3,SF,QB,12,2019
13,Jeff Driskel,20,33,60.6,207,6.3,1,3,6,9,63,0,0,1,15.6,15.6,0.0,HOU,QB,12,2019
14,Nick Foles,32,48,66.7,272,5.7,0,0,3,3,20,0,0,1,14.9,14.9,0.7,CHI,QB,12,2019
15,Daniel Jones,21,36,58.3,150,4.2,2,0,1,2,27,0,1,1,14.7,14.7,13.6,NYG,QB,12,2019
16,Jacoby Brissett,16,25,64.0,129,5.2,0,0,1,4,20,1,0,1,13.2,13.2,0.6,MIA,QB,12,2019
17,Tom Brady,17,37,45.9,190,5.1,1,0,2,2,-3,0,0,1,11.3,11.3,99.1,FA,QB,12,2019
18,Carson Wentz,33,45,73.3,256,5.7,1,2,3,5,27,0,2,1,10.9,10.9,44.0,IND,QB,12,2019
19,Russell Wilson,13,25,52.0,200,8.0,1,1,6,3,15,0,1,1,10.5,10.5,90.4,SEA,QB,12,2019
20,Ryan Finley,12,26,46.2,192,7.4,1,0,4,2,8,0,1,1,10.5,10.5,0.0,FA,QB,12,2019
21,Aaron Rodgers,20,33,60.6,104,3.2,1,0,5,3,13,0,1,1,9.5,9.5,97.4,GB,QB,12,2019
22,Devlin Hodges,5,11,45.5,118,10.7,1,0,2,3,1,0,0,1,8.8,8.8,0.0,FA,QB,12,2019
23,Matt Ryan,23,46,50.0,271,5.9,0,1,6,1,8,0,1,1,8.6,8.6,36.3,ATL,QB,12,2019
24,Dak Prescott,19,33,57.6,212,6.4,0,1,0,1,4,0,0,1,7.9,7.9,98.2,DAL,QB,12,2019
25,Jared Goff,26,37,70.3,212,5.7,0,2,2,1,-1,0,0,1,6.4,6.4,5.3,DET,QB,12,2019
