rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Daniel Jones,28.0,41.0,68.3,322.0,7.9,4.0,0.0,3.0,4.0,13.0,0.0,1.0,1.0,28.2,28.2,13.6,QB,8,2019,NYG
2.0,Deshaun Watson,27.0,39.0,69.2,279.0,7.2,3.0,0.0,3.0,10.0,46.0,0.0,0.0,1.0,27.8,27.8,5.0,QB,8,2019,HOU
3.0,Aaron Rodgers,23.0,33.0,69.7,305.0,9.2,3.0,0.0,5.0,6.0,29.0,0.0,0.0,1.0,27.1,27.1,97.4,QB,8,2019,GB
4.0,Drew Brees,34.0,43.0,79.1,373.0,8.7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.9,25.9,35.7,QB,8,2019,NO
5.0,Matthew Stafford,25.0,32.0,78.1,342.0,10.7,3.0,1.0,4.0,2.0,-3.0,0.0,0.0,1.0,24.4,24.4,97.2,QB,8,2019,DET
7.0,Derek Carr,18.0,30.0,60.0,285.0,9.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.4,23.4,58.1,QB,8,2019,LV
8.0,Jared Goff,17.0,31.0,54.8,372.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.9,22.9,5.3,QB,8,2019,LAR
9.0,Matt Schaub,39.0,52.0,75.0,460.0,8.8,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,21.4,21.4,0.0,QB,8,2019,ATL
10.0,Jameis Winston,21.0,43.0,48.8,301.0,7.0,2.0,2.0,3.0,8.0,53.0,0.0,2.0,1.0,21.3,21.3,5.2,QB,8,2019,TB
11.0,Ryan Tannehill,21.0,33.0,63.6,193.0,5.8,3.0,0.0,3.0,4.0,-3.0,0.0,0.0,1.0,19.4,19.4,62.7,QB,8,2019,TEN
12.0,Matt Moore,24.0,36.0,66.7,267.0,7.4,2.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,19.0,19.0,0.0,QB,8,2019,KC
13.0,Tom Brady,20.0,36.0,55.6,259.0,7.2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,18.4,18.4,99.1,QB,8,2019,NE
14.0,Josh Allen,16.0,34.0,47.1,169.0,5.0,2.0,0.0,4.0,8.0,45.0,0.0,1.0,1.0,17.3,17.3,100.0,QB,8,2019,BUF
15.0,Andy Dalton,32.0,52.0,61.5,329.0,6.3,1.0,0.0,5.0,1.0,4.0,0.0,0.0,1.0,17.2,17.2,1.6,QB,8,2019,CIN
16.0,Mason Rudolph,20.0,36.0,55.6,251.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,0.3,QB,8,2019,PIT
17.0,Russell Wilson,14.0,20.0,70.0,182.0,9.1,2.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,15.7,15.7,90.4,QB,8,2019,SEA
18.0,Sam Darnold,21.0,30.0,70.0,218.0,7.3,2.0,3.0,8.0,1.0,-1.0,0.0,0.0,1.0,15.6,15.6,5.5,QB,8,2019,NYJ
19.0,Carson Wentz,17.0,24.0,70.8,172.0,7.2,1.0,0.0,3.0,8.0,35.0,0.0,0.0,1.0,14.4,14.4,44.0,QB,8,2019,PHI
20.0,Jimmy Garoppolo,18.0,22.0,81.8,175.0,8.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,23.3,QB,8,2019,SF
21.0,Ryan Fitzpatrick,21.0,34.0,61.8,190.0,5.6,2.0,2.0,4.0,5.0,17.0,0.0,1.0,1.0,13.3,13.3,6.1,QB,8,2019,MIA
22.0,Baker Mayfield,20.0,31.0,64.5,194.0,6.3,1.0,1.0,5.0,1.0,18.0,0.0,0.0,1.0,12.6,12.6,26.4,QB,8,2019,CLE
23.0,Taysom Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,53.2,QB,8,2019,NO
24.0,Kirk Cousins,23.0,26.0,88.5,285.0,11.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,11.6,11.6,70.7,QB,8,2019,MIN
25.0,Philip Rivers,19.0,29.0,65.5,201.0,6.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,20.6,QB,8,2019,LAC
26.0,Kyler Murray,19.0,33.0,57.6,220.0,6.7,0.0,0.0,3.0,2.0,13.0,0.0,0.0,1.0,10.1,10.1,99.3,QB,8,2019,ARI
27.0,Jacoby Brissett,15.0,25.0,60.0,202.0,8.1,0.0,0.0,4.0,6.0,34.0,0.0,1.0,1.0,9.5,9.5,0.6,QB,8,2019,IND
28.0,Mitchell Trubisky,23.0,35.0,65.7,253.0,7.2,0.0,1.0,4.0,4.0,10.0,0.0,1.0,1.0,8.1,8.1,0.4,QB,8,2019,CHI
29.0,Joe Flacco,20.0,32.0,62.5,174.0,5.4,0.0,0.0,3.0,1.0,9.0,0.0,0.0,1.0,7.9,7.9,0.3,QB,8,2019,DEN
30.0,Kyle Allen,19.0,37.0,51.4,158.0,4.3,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,3.3,3.3,0.1,QB,8,2019,CAR
31.0,Case Keenum,12.0,16.0,75.0,130.0,8.1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.2,3.2,0.9,QB,8,2019,WAS
32.0,Dwayne Haskins,3.0,5.0,60.0,33.0,6.6,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.1,QB,8,2019,WAS
120.0,Brett Hundley,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB,8,2019,ARI
123.0,Teddy Bridgewater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,-0.2,-0.2,15.6,QB,8,2019,NO
124.0,Nick Mullens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,1.0,-0.3,-0.3,0.3,QB,8,2019,SF
