,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Davante AdamsGB,8.1,102.4,0.8,0.0,0.0,0.0,0.1,15.0
1,Tyreek HillKC,6.5,89.6,0.8,0.8,5.2,0.0,0.1,14.2
2,Cooper KuppLAR,7.3,92.9,0.8,0.3,1.2,0.0,0.1,14.1
3,Justin JeffersonMIN,5.9,94.2,0.8,0.2,0.8,0.0,0.1,14.0
4,Stefon DiggsBUF,7.0,88.8,0.7,0.1,0.4,0.0,0.1,12.9
5,DJ MooreCAR,6.3,88.5,0.6,0.5,3.1,0.0,0.1,12.9
6,Cordarrelle PattersonATL,3.9,46.7,0.7,6.6,23.1,0.3,0.1,12.8
7,Deebo SamuelSF,6.4,85.4,0.5,1.1,7.2,0.0,0.1,12.5
8,A.J. BrownTEN,5.1,79.9,0.7,0.2,1.3,0.0,0.0,12.3
9,Terry McLaurinWAS,6.0,85.1,0.6,0.0,0.3,0.0,0.1,12.0
10,Mike EvansTB,5.1,76.4,0.7,0.0,0.0,0.0,0.0,11.6
11,CeeDee LambDAL,5.8,75.1,0.6,0.7,3.9,0.0,0.1,11.5
12,Tyler LockettSEA,6.0,76.9,0.6,0.1,0.2,0.0,0.1,11.3
13,Keenan AllenLAC,6.9,77.5,0.6,0.0,0.4,0.0,0.1,11.2
14,D.K. MetcalfSEA,5.4,77.6,0.5,0.0,0.2,0.0,0.1,10.8
15,Marvin Jones Jr.JAC,5.0,69.1,0.6,0.0,0.0,0.0,0.0,10.5
16,Mike WilliamsLAC,4.9,69.1,0.6,0.0,0.1,0.0,0.0,10.5
17,Ja'Marr ChaseCIN,4.9,68.0,0.6,0.2,0.9,0.0,0.0,10.4
18,Marquise BrownBAL,4.5,65.0,0.6,0.3,1.4,0.0,0.0,10.4
19,Kenny GolladayNYG,4.9,75.6,0.5,0.0,0.0,0.0,0.0,10.4
20,Diontae JohnsonPIT,6.3,68.6,0.5,0.2,1.1,0.0,0.1,10.0
21,Amari CooperDAL,5.4,69.4,0.5,0.1,0.6,0.0,0.1,9.8
22,Brandin CooksHOU,6.0,79.9,0.3,0.2,1.2,0.0,0.1,9.6
