,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
69,Terrace Marshall Jr.CAR,2.9,37.1,0.2,0.0,0.2,0.0,0.0,4.9
70,Braxton BerriosNYJ,3.5,38.1,0.2,0.1,0.7,0.0,0.1,4.8
71,Juwan JohnsonNO,2.7,28.4,0.3,0.0,0.0,0.0,0.0,4.6
72,KJ HamlerDEN,2.8,33.0,0.2,0.6,3.3,0.0,0.0,4.6
73,Dyami BrownWAS,2.9,35.9,0.2,0.0,0.0,0.0,0.0,4.6
74,Adam HumphriesWAS,3.7,36.0,0.2,0.0,0.1,0.0,0.0,4.5
75,James WashingtonPIT,2.6,35.1,0.2,0.0,0.0,0.0,0.0,4.5
76,Allen LazardGB,2.5,33.1,0.2,0.1,0.7,0.0,0.0,4.4
77,Chris ConleyHOU,2.8,35.2,0.1,0.0,0.2,0.0,0.0,4.3
78,Freddie SwainSEA,2.2,28.3,0.2,0.2,1.3,0.0,0.0,4.1
79,Donovan Peoples-JonesCLE,2.1,30.4,0.2,0.0,0.1,0.0,0.0,4.0
80,Olamide ZaccheausATL,2.3,31.2,0.1,0.1,0.5,0.0,0.0,4.0
81,Cedrick Wilson Jr.DAL,2.3,30.0,0.1,0.1,0.6,0.0,0.0,3.9
82,Kalif RaymondDET,2.2,30.6,0.1,0.1,0.5,0.0,0.0,3.8
83,Gabriel DavisBUF,1.6,25.7,0.2,0.0,0.0,0.0,0.0,3.8
84,Quez WatkinsPHI,2.1,30.3,0.1,0.0,0.2,0.0,0.0,3.8
85,Demarcus RobinsonKC,2.2,25.9,0.2,0.0,0.0,0.0,0.0,3.7
86,Josh ReynoldsDET,2.0,23.0,0.2,0.0,0.0,0.0,0.0,3.5
87,Rashard HigginsCLE,1.7,26.6,0.1,0.0,0.0,0.0,0.0,3.4
88,Jalen GuytonLAC,1.9,27.0,0.1,0.2,1.0,0.0,0.0,3.4
89,Randall CobbGB,2.1,25.0,0.1,0.1,0.4,0.0,0.0,3.3
90,Scotty MillerTB,2.0,25.6,0.1,0.1,1.0,0.0,0.0,3.3
91,Trent SherfieldSF,1.9,22.9,0.2,0.0,0.1,0.0,0.0,3.3
92,Chester RogersTEN,2.2,24.0,0.2,0.0,0.2,0.0,0.0,3.3
93,Kendrick BourneNE,2.0,24.7,0.1,0.0,0.5,0.0,0.0,3.2
94,Parris CampbellIND,1.8,22.6,0.1,0.1,0.9,0.0,0.0,3.1
95,Lil'Jordan HumphreyNO,1.5,19.5,0.1,0.5,4.0,0.0,0.0,3.0
96,Marquise GoodwinCHI,1.6,23.7,0.1,0.1,0.7,0.0,0.0,2.9
97,Trinity BensonDET,1.9,22.3,0.1,0.0,0.0,0.0,0.0,2.9
98,Damiere ByrdCHI,2.0,23.4,0.1,0.0,0.2,0.0,0.0,2.8
99,DeSean JacksonLV,1.3,21.1,0.1,0.1,0.6,0.0,0.0,2.8
100,Anthony SchwartzCLE,1.6,21.0,0.1,0.1,0.5,0.0,0.0,2.7
101,Anthony MillerPIT,1.7,18.7,0.1,0.0,0.3,0.0,0.0,2.6
102,Mike ThomasCIN,1.5,17.2,0.1,0.0,0.0,0.0,0.0,2.2
103,Kenny StillsNO,1.1,15.4,0.1,0.0,0.0,0.0,0.0,2.2
104,Jakeem Grant Sr.CHI,1.5,14.2,0.1,0.6,2.2,0.0,0.0,2.1
105,Ty MontgomeryNO,1.4,13.5,0.1,0.5,2.2,0.0,0.0,2.1
106,Byron PringleKC,1.2,16.2,0.1,0.0,0.0,0.0,0.0,2.1
107,Auden TateCIN,1.4,16.6,0.1,0.0,0.0,0.0,0.0,2.1
108,Mohamed Sanu Sr.SF,1.5,16.3,0.1,0.1,0.2,0.0,0.0,2.0
109,Keelan Cole Sr.NYJ,1.3,15.8,0.1,0.0,0.1,0.0,0.0,2.0
110,Andre RobertsLAC,1.2,14.7,0.1,0.0,0.2,0.0,0.0,2.0
111,Tyron JohnsonLV,1.0,14.1,0.1,0.0,0.2,0.0,0.0,1.9
112,Devin DuvernayBAL,1.1,13.3,0.1,0.1,0.6,0.0,0.0,1.9
113,Tyler JohnsonTB,1.0,11.7,0.1,0.0,0.1,0.0,0.0,1.7
114,Brandon ZylstraCAR,0.8,10.6,0.1,0.0,0.2,0.0,0.0,1.6
115,Tajae SharpeATL,0.9,11.5,0.1,0.0,0.0,0.0,0.0,1.6
116,Joshua PalmerLAC,1.0,11.8,0.1,0.1,0.3,0.0,0.0,1.6
117,Cody ThompsonSEA,0.8,9.6,0.1,0.0,0.4,0.0,0.0,1.5
118,Christian BlakeATL,1.0,11.4,0.1,0.0,0.0,0.0,0.0,1.4
119,Isaiah McKenzieBUF,0.7,7.8,0.1,0.5,2.3,0.0,0.0,1.4
120,Ray-Ray McCloudPIT,1.1,10.8,0.1,0.1,0.5,0.0,0.0,1.4
121,Jeff SmithNYJ,0.9,11.4,0.0,0.0,0.0,0.0,0.0,1.4
122,Zay JonesLV,0.7,8.7,0.1,0.0,0.0,0.0,0.0,1.3
123,Greg WardPHI,0.9,9.3,0.1,0.0,0.0,0.0,0.0,1.3
124,Kadarius ToneyNYG,0.8,9.6,0.0,0.2,1.2,0.0,0.0,1.3
