,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Davante AdamsGB,7.9,105.5,0.9,0.0,0.0,0.0,0.1,15.9
1,Tyreek HillKC,7.0,97.9,0.8,0.8,5.1,0.0,0.1,15.2
2,Cooper KuppLAR,7.0,97.0,0.9,0.3,1.3,0.0,0.1,15.0
3,Deebo SamuelSF,5.9,84.2,0.5,1.2,8.1,0.0,0.1,12.5
4,Calvin RidleyATL,6.1,85.1,0.7,0.1,0.6,0.0,0.1,12.5
5,DJ MooreCAR,6.3,83.9,0.6,0.6,3.6,0.0,0.1,12.4
6,A.J. BrownTEN,5.2,78.9,0.7,0.3,1.9,0.0,0.0,12.2
7,Mike EvansTB,5.3,78.0,0.7,0.0,0.0,0.0,0.0,11.9
8,Ja'Marr ChaseCIN,5.2,78.7,0.6,0.0,0.2,0.0,0.1,11.2
9,Marquise BrownBAL,5.3,72.1,0.6,0.1,0.6,0.0,0.0,11.1
10,D.K. MetcalfSEA,5.2,74.6,0.6,0.0,0.2,0.0,0.1,10.8
11,Cordarrelle PattersonATL,3.7,44.3,0.2,8.4,35.3,0.3,0.1,10.8
12,Terry McLaurinWAS,5.7,74.3,0.5,0.0,0.3,0.0,0.1,10.6
13,Brandin CooksHOU,6.2,79.4,0.4,0.1,0.6,0.0,0.0,10.5
14,Courtland SuttonDEN,5.2,74.8,0.5,0.0,0.1,0.0,0.0,10.5
15,Jaylen WaddleMIA,5.9,64.8,0.5,0.3,2.0,0.0,0.1,9.7
16,DeVonta SmithPHI,5.2,70.2,0.4,0.2,0.9,0.0,0.1,9.7
17,Michael Pittman Jr.IND,5.0,62.3,0.5,0.3,1.8,0.0,0.1,9.1
18,Jakobi MeyersNE,6.0,66.7,0.3,0.0,0.3,0.0,0.1,8.4
19,Tim PatrickDEN,4.1,55.0,0.4,0.1,0.9,0.0,0.0,8.2
20,Tyler LockettSEA,5.0,63.4,0.3,0.1,0.2,0.0,0.0,8.2
21,A.J. GreenARI,3.5,52.2,0.5,0.0,0.0,0.0,0.0,8.2
22,Marquez CallawayNO,4.0,58.3,0.4,0.1,0.7,0.0,0.0,8.1
23,Jarvis LandryCLE,4.1,47.5,0.4,0.4,2.7,0.0,0.0,7.9
24,Hunter RenfrowLV,5.0,58.6,0.3,0.0,0.0,0.0,0.1,7.6
25,Julio JonesTEN,4.1,59.2,0.3,0.0,0.0,0.0,0.0,7.6
26,T.Y. HiltonIND,3.9,51.0,0.4,0.0,0.0,0.0,0.0,7.5
27,Allen Robinson IICHI,4.7,58.5,0.2,0.0,0.0,0.0,0.0,7.2
28,Mecole HardmanKC,3.6,47.6,0.3,0.6,4.0,0.0,0.1,7.0
29,Robby AndersonCAR,4.3,50.5,0.3,0.2,0.9,0.0,0.0,6.8
30,Darius SlaytonNYG,3.6,53.1,0.2,0.0,0.1,0.0,0.0,6.7
