,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
0,Davante AdamsGB,7.9,105.2,0.8,0.0,0.0,0.0,0.1,15.1
1,Tyreek HillKC,6.5,91.7,0.8,1.0,6.1,0.0,0.1,14.7
2,Cooper KuppLAR,7.1,88.6,0.8,0.3,1.2,0.0,0.1,13.6
3,Stefon DiggsBUF,6.4,87.9,0.7,0.0,0.2,0.0,0.1,12.8
4,Terry McLaurinWAS,6.1,86.0,0.7,0.0,0.3,0.0,0.1,12.6
5,DJ MooreCAR,6.3,87.4,0.6,0.5,3.1,0.0,0.1,12.5
6,Ja'Marr ChaseCIN,5.1,78.7,0.7,0.3,1.2,0.0,0.0,12.0
7,Justin JeffersonMIN,5.7,84.1,0.6,0.0,0.2,0.0,0.1,11.7
8,Diontae JohnsonPIT,6.8,79.5,0.6,0.1,0.6,0.0,0.1,11.7
9,Marquise BrownBAL,5.4,72.7,0.7,0.2,1.2,0.0,0.0,11.3
10,Mike EvansTB,5.1,73.1,0.7,0.0,0.0,0.0,0.0,11.2
11,Mike WilliamsLAC,5.1,73.5,0.6,0.0,0.1,0.0,0.0,11.0
12,D.K. MetcalfSEA,5.2,77.7,0.6,0.0,0.2,0.0,0.1,11.0
13,DeVonta SmithPHI,5.5,75.8,0.6,0.1,0.3,0.0,0.1,10.8
14,Brandin CooksHOU,5.8,78.4,0.5,0.3,1.3,0.0,0.0,10.8
15,Keenan AllenLAC,6.7,75.5,0.5,0.0,0.3,0.0,0.1,10.7
16,Courtland SuttonDEN,5.4,73.1,0.5,0.0,0.1,0.0,0.1,10.3
17,Amari CooperDAL,4.9,66.5,0.6,0.1,0.7,0.0,0.1,10.2
18,CeeDee LambDAL,5.3,71.4,0.5,0.7,3.9,0.0,0.1,10.2
19,Chase ClaypoolPIT,4.8,69.5,0.4,0.5,2.7,0.0,0.0,9.9
20,A.J. BrownTEN,4.7,64.4,0.6,0.3,1.5,0.0,0.0,9.9
21,Michael Pittman Jr.IND,5.1,65.4,0.5,0.2,1.1,0.0,0.0,9.5
22,Preston WilliamsMIA,4.0,63.0,0.5,0.0,0.0,0.0,0.0,9.3
23,Marvin Jones Jr.JAC,4.7,66.8,0.4,0.0,0.0,0.0,0.0,9.2
24,Tyler LockettSEA,5.7,72.5,0.3,0.1,0.2,0.0,0.1,9.1
25,Tyler BoydCIN,5.1,61.7,0.5,0.1,0.9,0.0,0.1,8.9
26,Jaylen WaddleMIA,5.6,65.8,0.4,0.4,2.5,0.0,0.1,8.9
27,Tim PatrickDEN,4.6,58.7,0.5,0.1,0.7,0.0,0.0,8.7
28,Jakobi MeyersNE,6.0,71.9,0.2,0.1,0.1,0.0,0.0,8.4
29,Laviska Shenault Jr.JAC,4.4,54.3,0.4,1.0,4.9,0.0,0.0,8.3
30,Odell Beckham Jr.LAR,4.1,61.0,0.3,0.4,2.9,0.0,0.0,8.3
