rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Evan McPherson,4,4,100.0,54,0,0,0,1,3,2,3,1,21.0,21.0,34.2,CIN,K,11,2021
2,Jake Elliott,4,4,100.0,50,0,0,2,1,1,4,4,1,19.0,19.0,22.5,PHI,K,11,2021
3,Nick Folk,4,4,100.0,53,0,0,2,1,1,1,2,1,16.0,16.0,81.8,NE,K,11,2021
4,Robbie Gould,3,3,100.0,48,0,1,0,2,0,3,3,1,14.0,14.0,22.5,SF,K,11,2021
5,Chris Boswell,3,3,100.0,45,0,0,2,1,0,4,4,1,14.0,14.0,51.0,PIT,K,11,2021
6,Ryan Succop,3,3,100.0,40,0,1,1,1,0,3,3,1,13.0,13.0,57.4,TB,K,11,2021
7,Dustin Hopkins,2,2,100.0,41,0,0,1,1,0,5,5,1,12.0,12.0,14.5,LAC,K,11,2021
8,Justin Tucker,3,3,100.0,46,0,1,1,1,0,1,1,1,11.0,11.0,98.0,BAL,K,11,2021
9,Ka'imi Fairbairn,3,3,100.0,43,0,1,1,1,0,1,2,1,11.0,11.0,0.8,HOU,K,11,2021
10,Michael Badgley,2,2,100.0,36,0,0,2,0,0,5,5,1,11.0,11.0,19.9,IND,K,11,2021
11,Greg Joseph,2,2,100.0,51,0,1,0,0,1,2,3,1,10.0,10.0,69.1,MIN,K,11,2021
12,Greg Zuerlein,3,3,100.0,48,0,0,2,1,0,0,0,1,10.0,10.0,74.2,DAL,K,11,2021
13,Harrison Butker,2,3,66.7,53,0,0,1,0,1,1,2,1,9.0,9.0,76.6,KC,K,11,2021
14,Joey Slye,2,2,100.0,36,0,1,1,0,0,3,3,1,9.0,9.0,1.6,WAS,K,11,2021
15,Mason Crosby,1,2,50.0,54,0,0,0,0,1,4,4,1,9.0,9.0,40.7,GB,K,11,2021
16,Daniel Carlson,2,2,100.0,47,0,1,0,1,0,1,1,1,8.0,8.0,74.3,LV,K,11,2021
17,Matt Prater,1,3,33.3,53,0,0,0,0,1,2,3,1,7.0,7.0,52.8,ARI,K,11,2021
18,Jason Myers,2,2,100.0,27,0,2,0,0,0,1,1,1,7.0,7.0,22.1,SEA,K,11,2021
19,Jason Sanders,1,2,50.0,24,0,1,0,0,0,3,3,1,6.0,6.0,22.6,MIA,K,11,2021
20,Aldrick Rosas,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,1.8,FA,K,11,2021
21,Brett Maher,1,1,100.0,28,0,1,0,0,0,2,3,1,5.0,5.0,1.9,FA,K,11,2021
22,Matt Ammendola,1,3,33.3,35,0,0,1,0,0,2,2,1,5.0,5.0,0.1,NYJ,K,11,2021
23,Matthew Wright,1,1,100.0,30,0,0,1,0,0,1,1,1,4.0,4.0,0.2,JAC,K,11,2021
24,Graham Gano,1,1,100.0,37,0,0,1,0,0,1,1,1,4.0,4.0,31.4,NYG,K,11,2021
25,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,2.6,CAR,K,11,2021
26,Tyler Bass,0,2,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,84.8,BUF,K,11,2021
27,Cairo Santos,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,2.1,CHI,K,11,2021
28,Randy Bullock,0,0,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,10.8,TEN,K,11,2021
29,Chase McLaughlin,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,7.1,CLE,K,11,2021
30,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NO,K,11,2021
31,Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.8,LAR,K,11,2021
32,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,K,11,2021
