rank,player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Ka'imi Fairbairn,3,3,100.0,52,0,1,0,0,2,3,3,1,16.0,16.0,0.8,HOU,15,K
2,Chris Boswell,4,5,80.0,48,0,1,1,2,0,1,1,1,15.0,15.0,51.0,PIT,15,K
3,Riley Patterson,3,3,100.0,47,0,0,1,2,0,3,3,1,14.0,14.0,0.2,DET,15,K
4,Evan McPherson,3,3,100.0,58,0,1,0,0,2,0,0,1,13.0,13.0,34.2,CIN,15,K
5,Daniel Carlson,3,3,100.0,48,0,1,0,2,0,1,1,1,12.0,12.0,74.3,LV,15,K
6,Matt Gay,2,2,100.0,55,0,0,1,0,1,2,2,1,10.0,10.0,89.8,LAR,15,K
7,Michael Badgley,2,3,66.7,41,0,1,0,1,0,3,3,1,10.0,10.0,19.9,IND,15,K
8,Greg Zuerlein,3,3,100.0,42,0,2,0,1,0,0,2,1,10.0,10.0,74.2,DAL,15,K
9,Brett Maher,3,3,100.0,42,0,0,2,1,0,0,0,1,10.0,10.0,1.9,NO,15,K
10,Matthew Wright,3,3,100.0,38,0,1,2,0,0,1,1,1,10.0,10.0,0.2,JAC,15,K
11,Jake Elliott,2,2,100.0,37,0,1,1,0,0,3,3,1,9.0,9.0,22.5,PHI,15,K
12,Younghoe Koo,2,2,100.0,48,0,1,0,1,0,1,1,1,8.0,8.0,40.9,ATL,15,K
13,Harrison Butker,2,2,100.0,33,0,0,2,0,0,2,2,1,8.0,8.0,76.6,KC,15,K
14,Tyler Bass,1,1,100.0,26,0,1,0,0,0,4,4,1,7.0,7.0,84.8,BUF,15,K
15,Randy Bullock,2,2,100.0,32,0,1,1,0,0,1,1,1,7.0,7.0,10.8,TEN,15,K
16,Graham Gano,2,2,100.0,42,0,0,1,1,0,0,0,1,7.0,7.0,31.4,NYG,15,K
17,Jason Sanders,1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,7.0,22.6,MIA,15,K
18,Mason Crosby,1,1,100.0,29,0,1,0,0,0,4,4,1,7.0,7.0,40.7,GB,15,K
19,Robbie Gould,1,1,100.0,30,0,0,1,0,0,4,4,1,7.0,7.0,22.5,SF,15,K
20,Justin Tucker,1,1,100.0,38,0,0,1,0,0,3,3,1,6.0,6.0,98.0,BAL,15,K
21,Matt Prater,2,2,100.0,29,0,2,0,0,0,0,0,1,6.0,6.0,52.8,ARI,15,K
22,Brandon McManus,1,2,50.0,54,0,0,0,0,1,1,1,1,6.0,6.0,44.3,DEN,15,K
23,Eddy Pineiro,1,1,100.0,27,0,1,0,0,0,3,3,1,6.0,6.0,0.2,NYJ,15,K
24,Brian Johnson,1,1,100.0,22,0,1,0,0,0,2,2,1,5.0,5.0,6.6,WAS,15,K
25,Greg Joseph,1,1,100.0,37,0,0,1,0,0,2,2,1,5.0,5.0,69.1,MIN,15,K
26,Nick Folk,1,1,100.0,25,0,1,0,0,0,2,2,1,5.0,5.0,81.8,NE,15,K
27,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,14.5,LAC,15,K
28,Jason Myers,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,22.1,SEA,15,K
29,Cairo Santos,1,2,50.0,34,0,0,1,0,0,0,0,1,3.0,3.0,2.1,CHI,15,K
30,Chase McLaughlin,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,7.1,CLE,15,K
31,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,15,K
32,Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,CLE,15,K
33,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DET,15,K
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7,LAC,15,K
35,Wil Lutz,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NO,15,K
36,Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TEN,15,K
37,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.6,CAR,15,K
38,Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,15,K
39,Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,15,K
40,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NE,15,K
41,Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,15,K
42,Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6,WAS,15,K
43,Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,15,K
44,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,15,K
45,Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.1,IND,15,K
46,Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,15,K
47,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,15,K
48,Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,15,K
49,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NYJ,15,K
50,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,CAR,15,K
51,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3,MIA,15,K
52,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,15,K
53,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,15,K
54,Ryan Succop,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,57.4,TB,15,K
55,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,15,K
56,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,15,K
57,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,15,K
58,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,15,K
59,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,15,K
60,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,15,K
61,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CLE,15,K
62,MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,15,K
63,Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,15,K
