,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
220,DJ Moore,WR,CAR,1,67,67,93,0,15,10,15,10.1,15.1
221,Trey Quinn,WR,WAS,1,30,30,60,0,10,3,10,0.9,3.0
222,Christian Kirk,WR,ARI,1,54,54,96,2,9,6,11,1.6,3.0
223,Mark Andrews,TE,BAL,1,23,23,34,0,13,9,13,2.1,9.1
224,Dallas Goedert,TE,PHI,1,66,66,79,0,8,6,8,3.9,5.9
225,Jaylen Samuels,RB,PIT,1,40,40,63,20,33,53,53,6.3,15.8
226,Mike Gesicki,TE,MIA,1,42,42,61,0,14,14,14,9.5,22.6
227,Troy Fumagalli,TE,DEN,1,8,8,17,0,13,13,13,0.9,11.3
228,Hayden Hurst,TE,BAL,1,27,27,40,0,7,7,7,1.5,5.6
229,Antonio Callaway,WR,CLE,1,36,36,48,0,14,11,14,5.6,15.6
230,D.J. Chark Jr.,WR,JAC,1,63,63,95,0,14,6,14,3.2,5.1
231,Nyheim Hines,RB,IND,1,20,20,29,5,15,10,20,2.8,14.0
232,Josh Allen,QB,BUF,1,62,62,100,13,0,45,45,17.6,28.4
233,Justin Jackson,RB,LAC,1,5,5,7,40,20,60,60,1.4,28.0
234,Allen Lazard,WR,GB,1,25,25,50,0,16,12,16,4.4,17.6
235,Richie James Jr.,WR,SF,1,11,11,15,0,0,0,0,0.0,0.0
236,Rashaad Penny,RB,SEA,1,11,11,15,36,9,36,45,1.2,10.9
237,Sony Michel,RB,NE,1,15,15,22,27,13,33,40,3.0,20.0
238,Dalton Schultz,TE,DAL,1,1,1,1,0,0,0,0,0.0,0.0
239,Ian Thomas,TE,CAR,1,5,5,7,0,0,0,0,0.0,0.0
240,Javon Wims,WR,CHI,1,5,5,11,0,0,0,0,0.0,0.0
241,Jordan Akins,TE,HOU,1,47,47,69,0,6,6,6,2.4,5.1
242,Robert Foster,WR,BUF,1,7,7,11,0,14,0,14,0.0,0.0
243,DaeSean Hamilton,WR,DEN,1,31,31,65,0,0,0,0,0.0,0.0
244,Jordan Wilkins,RB,IND,1,13,13,19,8,15,15,23,1.2,9.2
245,Phillip Lindsay,RB,DEN,1,23,23,48,39,0,39,39,15.2,66.1
246,Durham Smythe,TE,MIA,1,25,25,36,0,0,0,0,0.0,0.0
247,Darrel Williams,RB,KC,1,10,10,17,10,10,10,20,0.1,1.0
248,Noah Fant,TE,DEN,1,41,41,85,0,10,7,10,17.5,42.7
249,Marquez Valdes-Scantling,WR,GB,1,33,33,66,0,6,0,6,0.0,0.0
250,Nick Bawden,RB,DET,1,9,9,13,0,0,0,0,0.0,0.0
251,Tyler Conklin,TE,MIN,1,14,14,20,0,0,0,0,0.0,0.0
252,Gus Edwards,RB,BAL,1,28,28,42,25,0,25,25,8.7,31.1
253,Vyncint Smith,WR,NYJ,1,17,17,25,0,18,6,18,2.0,11.8
254,Tanner Hudson,TE,TB,1,46,46,60,0,4,2,4,1.2,2.6
255,Reggie Bonnafon,RB,CAR,1,8,8,11,38,13,50,50,1.3,16.3
256,Kyle Allen,QB,CAR,1,71,71,99,4,0,49,49,15.9,22.4
257,Ross Dwelley,TE,SF,1,49,49,69,0,8,8,8,2.9,5.9
258,Trent Sherfield,WR,ARI,1,3,3,5,0,0,0,0,0.0,0.0
259,Steven Mitchell Jr.,WR,HOU,1,11,11,16,0,9,0,9,0.0,0.0
260,Jeff Wilson Jr.,RB,SF,1,2,2,3,0,50,50,50,0.2,10.0
261,Dontrell Hilliard,RB,CLE,1,30,30,40,17,7,23,23,1.4,4.7
262,KhaDarel Hodge,WR,CLE,1,8,8,11,0,13,13,13,1.0,12.5
263,Malik Turner,WR,SEA,1,7,7,9,0,0,0,0,0.0,0.0
264,Dwayne Haskins,QB,WAS,1,50,50,100,6,0,50,50,7.2,14.4
265,A.J. Brown,WR,TEN,1,50,50,69,0,14,8,14,8.1,16.2
266,D.K. Metcalf,WR,SEA,1,70,70,95,1,13,10,14,21.0,30.0
267,Marquise Brown,WR,BAL,1,39,39,58,0,10,8,10,4.8,12.3
268,Kelvin Harmon,WR,WAS,1,25,25,50,0,8,4,8,0.6,2.4
269,Daniel Jones,QB,NYG,1,71,71,100,8,0,66,66,12.8,18.0
270,J.J. Arcega-Whiteside,WR,PHI,1,14,14,17,0,0,0,0,0.0,0.0
271,David Montgomery,RB,CHI,1,32,32,73,44,13,53,56,19.6,61.3
272,Deebo Samuel,WR,SF,1,45,45,63,0,16,9,16,4.0,8.9
273,Justice Hill,RB,BAL,1,10,10,15,30,10,30,40,0.7,7.0
274,Josh Jacobs,RB,OAK,1,42,42,60,67,5,67,71,24.0,57.1
275,Devin Singletary,RB,BUF,1,41,41,66,49,10,56,59,20.0,48.8
276,Miles Sanders,RB,PHI,1,32,32,38,31,9,41,41,7.3,22.8
277,T.J. Hockenson,TE,DET,1,45,45,65,0,16,7,16,5.6,12.4
278,Kaden Smith,TE,NYG,1,3,3,4,0,0,0,0,0.0,0.0
279,Hunter Renfrow,WR,OAK,1,37,37,53,0,19,16,19,11.4,30.8
280,Foster Moreau,TE,OAK,1,37,37,53,0,5,3,5,6.3,17.0
281,Ty Johnson,RB,DET,1,42,42,61,21,7,29,29,3.6,8.6
282,Andy Isabella,WR,ARI,1,12,12,21,0,8,8,8,14.8,123.3
283,Parris Campbell,WR,IND,1,43,43,61,7,12,19,19,8.0,18.6
284,Terry McLaurin,WR,WAS,1,50,50,100,0,12,8,12,3.9,7.8
285,Josh Oliver,TE,JAC,1,30,30,45,0,7,3,7,0.4,1.3
286,Ryquell Armstead,RB,JAC,1,9,9,14,0,56,56,56,6.5,72.2
287,Gardner Minshew II,QB,JAC,1,66,66,100,6,0,77,77,9.8,14.8
288,Trevon Wesco,TE,NYJ,1,8,8,12,0,0,0,0,0.0,0.0
289,Alec Ingold,RB,OAK,1,14,14,20,7,0,7,7,0.2,1.4
290,Mecole Hardman,WR,KC,1,11,11,19,9,0,9,9,-1.3,-11.8
291,Jakobi Meyers,WR,NE,1,1,1,1,0,0,0,0,0.0,0.0
292,Kyler Murray,QB,ARI,1,56,56,100,9,0,52,52,23.0,41.1
293,Jordan Scarlett,RB,CAR,1,3,3,4,0,0,0,0,0.0,0.0
294,Irv Smith Jr.,TE,MIN,1,43,43,61,0,14,9,14,3.3,7.7
295,Preston Williams,WR,MIA,1,51,51,74,0,18,10,18,19.2,37.6
296,Jace Sternberger,TE,GB,1,1,1,2,0,0,0,0,0.0,0.0
297,Diontae Johnson,WR,PIT,1,42,42,67,2,5,5,7,0.5,1.2
298,KeeSean Johnson,WR,ARI,1,25,25,45,0,12,8,12,8.2,32.8
299,Alexander Mattison,RB,MIN,1,6,6,9,50,17,50,67,0.6,10.0
300,Devine Ozigbo,RB,JAC,1,2,2,3,0,0,0,0,0.0,0.0
301,Dawson Knox,TE,BUF,1,47,47,76,0,4,4,4,1.4,3.0
302,Miles Boykin,WR,BAL,1,26,26,39,0,4,0,4,0.0,0.0
303,Chandler Cox,RB,MIA,1,12,12,17,0,0,0,0,0.0,0.0
304,Juwann Winfree,WR,DEN,1,1,1,2,0,0,0,0,0.0,0.0
305,Tony Pollard,RB,DAL,1,13,13,19,23,23,31,46,3.0,23.1
306,Darius Slayton,WR,NYG,1,66,66,93,0,6,2,6,0.6,0.9
307,Bisi Johnson,WR,MIN,1,58,58,83,0,3,2,3,6.4,11.0
308,Scotty Miller,WR,TB,1,12,12,16,0,17,0,17,0.0,0.0
309,Andrew Beck,TE,DEN,1,10,10,21,0,0,0,0,0.0,0.0
310,Stephen Carlson,TE,CLE,1,23,23,31,0,4,0,4,0.0,0.0
311,Hale Hentges,TE,WAS,1,9,9,18,0,0,0,0,0.0,0.0
312,Jason Moore Jr.,WR,LAC,1,5,5,7,0,0,0,0,0.0,0.0
313,Steven Sims Jr.,WR,WAS,1,3,3,6,0,33,33,33,1.2,40.0
314,Ventell Bryant,WR,DAL,1,2,2,3,0,0,0,0,0.0,0.0
315,Tony Brooks-James,RB,PIT,1,3,3,5,33,0,33,33,0.0,0.0
