,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,54,54,100,2,0,56,56,13.3,24.6
1,Adrian Peterson,RB,WAS,1,36,36,47,33,8,36,42,3.4,9.4
2,Danny Amendola,WR,DET,1,22,22,36,0,23,18,23,3.7,16.8
3,Darren Sproles,RB,PHI,1,27,27,36,7,4,7,11,0.4,1.5
4,Frank Gore,RB,BUF,1,47,47,61,30,4,34,34,14.9,31.7
5,Greg Olsen,TE,CAR,1,48,48,80,0,15,13,15,19.5,40.6
6,Jared Cook,TE,NO,1,42,42,75,0,5,2,5,0.7,1.7
7,Jason Witten,TE,DAL,1,37,37,51,0,11,8,11,5.4,14.6
8,Joe Flacco,QB,DEN,1,73,73,100,3,0,42,42,6.0,8.2
9,Julian Edelman,WR,NE,1,39,39,51,0,26,18,26,12.2,31.3
10,Larry Fitzgerald,WR,ARI,1,69,69,92,0,10,7,10,9.6,13.9
11,LeSean McCoy,RB,KC,1,26,26,37,31,12,42,42,20.0,76.9
12,Marcedes Lewis,TE,GB,1,30,30,56,0,7,3,7,1.9,6.3
13,Matt Ryan,QB,ATL,1,60,60,100,3,0,60,60,23.5,39.2
14,Matthew Slater,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0
15,Matthew Stafford,QB,DET,1,61,61,100,5,0,57,57,12.1,19.8
16,Michael Crabtree,WR,ARI,1,13,13,17,0,15,15,15,0.9,6.9
17,Philip Rivers,QB,LAC,1,74,74,100,3,0,65,65,19.6,26.5
18,Ryan Fitzpatrick,QB,MIA,1,5,5,7,0,0,40,40,1.2,24.0
19,Ted Ginn Jr.,WR,NO,1,38,38,68,0,13,5,13,1.5,3.9
20,Tom Brady,QB,NE,1,72,72,95,3,0,61,61,20.1,27.9
21,Vernon Davis,TE,WAS,1,54,54,70,0,7,4,7,3.0,5.6
22,Andre Roberts,WR,BUF,1,2,2,3,0,0,0,0,0.0,0.0
23,Emmanuel Sanders,WR,DEN,1,58,58,79,0,9,3,9,1.0,1.7
24,Jimmy Graham,TE,GB,1,22,22,41,0,5,0,5,0.0,0.0
25,Julio Jones,WR,ATL,1,45,45,75,0,20,18,20,18.8,41.8
26,Mark Ingram II,RB,BAL,1,50,50,61,32,8,40,40,31.5,63.0
27,Randall Cobb,WR,DAL,1,53,53,74,0,8,4,8,2.3,4.3
28,Kyle Rudolph,TE,MIN,1,54,54,87,0,2,2,2,1.1,2.0
29,Andy Dalton,QB,CIN,1,60,60,97,2,0,62,62,18.1,30.2
30,Lance Kendricks,TE,LAC,1,11,11,15,0,18,9,18,1.3,11.8
31,Luke Stocker,TE,ATL,1,23,23,38,0,17,13,17,1.2,5.2
32,Anthony Sherman,RB,KC,1,3,3,4,0,0,0,0,0.0,0.0
33,Dion Lewis,RB,TEN,1,42,42,53,7,2,10,10,2.0,4.8
34,Lee Smith,TE,BUF,1,40,40,52,0,3,0,3,0.0,0.0
35,Virgil Green,TE,LAC,1,27,27,36,0,0,0,0,0.0,0.0
36,Kirk Cousins,QB,MIN,1,60,60,97,7,0,42,42,12.6,21.0
37,Russell Wilson,QB,SEA,1,83,83,99,8,0,69,69,41.3,49.8
38,Mohamed Sanu Sr.,WR,ATL,1,49,49,82,2,12,14,14,7.7,15.7
39,T.Y. Hilton,WR,IND,1,35,35,52,0,29,23,29,12.5,35.7
40,Travis Benjamin,WR,LAC,1,42,42,57,0,12,5,12,0.5,1.2
41,Marvin Jones Jr.,WR,DET,1,50,50,82,0,18,12,18,16.1,32.2
42,Rhett Ellison,TE,NYG,1,22,22,35,0,5,5,5,0.3,1.4
43,Brandon Bolden,RB,NE,1,21,21,28,10,14,19,24,1.9,9.0
44,Derek Carrier,TE,OAK,1,10,10,17,0,0,0,0,0.0,0.0
45,Case Keenum,QB,WAS,1,77,77,100,3,0,58,58,14.6,19.0
46,Josh Gordon,WR,NE,1,67,67,88,1,16,10,18,8.4,12.5
47,Cole Beasley,WR,BUF,1,45,45,58,0,22,18,22,6.8,15.1
48,Chris Hogan,WR,CAR,1,17,17,28,0,12,6,12,0.6,3.5
49,Travis Kelce,TE,KC,1,63,63,89,0,13,11,13,8.9,14.1
50,Marquise Goodwin,WR,SF,1,53,53,67,0,4,4,4,4.1,7.7
51,Russell Shepard,WR,NYG,1,26,26,42,0,19,4,19,0.6,2.3
52,DeAndre Hopkins,WR,HOU,1,57,57,97,0,12,11,12,6.7,11.8
53,Robert Woods,WR,LAR,1,62,62,97,3,13,8,16,5.8,9.4
54,Kenny Stills,WR,HOU,1,32,32,54,0,19,13,19,8.9,27.8
55,Cordarrelle Patterson,RB,CHI,1,9,9,14,44,11,56,56,2.0,22.2
56,Keenan Allen,WR,LAC,1,67,67,91,1,25,21,27,30.6,45.7
57,Giovani Bernard,RB,CIN,1,25,25,40,12,8,20,20,1.2,4.8
58,Le'Veon Bell,RB,NYJ,1,50,50,100,36,8,44,44,6.3,12.6
59,Chris Thompson,RB,WAS,1,40,40,52,18,13,28,30,10.8,27.0
60,Rex Burkhead,RB,NE,1,56,56,74,20,13,30,32,12.9,23.0
61,Kenjon Barner,RB,ATL,1,3,3,5,0,33,33,33,0.4,13.3
62,Zach Ertz,TE,PHI,1,74,74,100,0,9,5,9,6.4,8.6
63,Tyler Eifert,TE,CIN,1,28,28,45,0,4,4,4,1.8,6.4
64,Levine Toilolo,TE,SF,1,10,10,13,0,0,0,0,0.0,0.0
65,Vance McDonald,TE,PIT,1,15,15,28,0,13,7,13,1.0,6.7
66,Kyle Juszczyk,RB,SF,1,50,50,63,0,6,6,6,5.1,10.2
67,Latavius Murray,RB,NO,1,12,12,21,17,0,17,17,0.2,1.7
68,Ryan Griffin,TE,NYJ,1,46,46,92,0,2,2,2,0.5,1.1
69,Demetrius Harris,TE,CLE,1,61,61,90,0,3,2,3,6.2,10.2
70,Zach Line,RB,NO,1,11,11,20,9,0,9,9,0.0,0.0
71,Jack Doyle,TE,IND,1,46,46,69,0,9,9,9,4.6,10.0
72,Patrick DiMarco,RB,BUF,1,9,9,12,0,0,0,0,0.0,0.0
73,Teddy Bridgewater,QB,NO,1,55,55,98,5,0,55,55,16.3,29.6
74,Derek Carr,QB,OAK,1,59,59,100,2,0,59,59,16.7,28.3
75,Logan Thomas,TE,DET,1,17,17,28,0,6,6,6,1.5,8.8
76,Carlos Hyde,RB,HOU,1,31,31,53,32,0,32,32,7.9,25.5
77,Devonta Freeman,RB,ATL,1,54,54,90,30,7,35,37,9.5,17.6
78,Sammy Watkins,WR,KC,1,65,65,92,0,12,8,12,6.4,9.8
79,Mike Evans,WR,TB,1,67,67,88,0,22,12,22,37.0,55.2
80,Brandin Cooks,WR,LAR,1,57,57,89,2,21,16,23,12.0,21.1
81,Davante Adams,WR,GB,1,49,49,91,0,8,8,8,5.6,11.4
82,Allen Robinson II,WR,CHI,1,56,56,86,0,13,11,13,6.0,10.7
83,Odell Beckham Jr.,WR,CLE,1,67,67,99,0,13,9,13,5.6,8.4
84,Jarvis Landry,WR,CLE,1,67,67,99,0,13,4,13,6.2,9.3
85,Paul Richardson Jr.,WR,WAS,1,65,65,84,0,14,12,14,14.3,22.0
86,Eric Ebron,TE,IND,1,35,35,52,0,11,9,11,4.7,13.4
87,Trey Burton,TE,CHI,1,38,38,58,0,11,11,11,2.0,5.3
88,Jimmy Garoppolo,QB,SF,1,79,79,100,8,0,48,48,11.4,14.4
89,John Brown,WR,BUF,1,68,68,88,1,7,7,9,5.5,8.1
90,Taylor Gabriel,WR,CHI,1,46,46,71,2,15,15,17,26.2,57.0
91,Willie Snead IV,WR,BAL,1,58,58,71,0,9,5,9,4.7,8.1
92,Allen Hurns,WR,MIA,1,5,5,7,0,40,20,40,0.6,12.0
93,Bennie Fowler III,WR,NYG,1,38,38,61,0,8,3,8,0.5,1.3
94,Dontrelle Inman,WR,LAC,1,24,24,32,0,13,4,13,2.3,9.6
95,Keith Smith,RB,ATL,1,11,11,18,0,0,0,0,0.0,0.0
96,Adam Thielen,WR,MIN,1,54,54,87,2,9,7,11,17.6,32.6
97,Cameron Brate,TE,TB,1,31,31,41,0,6,6,6,0.7,2.3
98,Josh Hill,TE,NO,1,33,33,59,0,6,3,6,0.4,1.2
99,Darren Fells,TE,HOU,1,38,38,64,0,16,13,16,10.9,28.7
100,Seth Roberts,WR,BAL,1,51,51,62,0,4,4,4,3.7,7.3
101,Marcus Mariota,QB,TEN,1,79,79,100,8,0,58,58,15.6,19.7
102,Jameis Winston,QB,TB,1,75,75,99,5,0,55,55,26.5,35.3
103,Amari Cooper,WR,DAL,1,61,61,85,0,11,10,11,20.8,34.1
104,DeVante Parker,WR,MIA,1,67,67,96,0,9,4,9,5.6,8.4
105,Todd Gurley II,RB,LAR,1,47,47,73,30,2,30,32,4.3,9.1
106,Maxx Williams,TE,ARI,1,13,13,17,0,0,0,0,0.0,0.0
107,Ameer Abdullah,RB,MIN,1,1,1,2,0,100,0,100,0.0,0.0
108,Sean Mannion,QB,MIN,1,2,2,3,100,0,100,100,-0.2,-10.0
109,Duke Johnson Jr.,RB,HOU,1,28,28,47,7,11,14,18,2.4,8.6
110,T.J. Yeldon,RB,BUF,1,29,29,38,28,10,34,38,2.9,10.0
111,Mike Davis,RB,CHI,1,1,1,2,100,0,100,100,0.2,20.0
112,David Johnson,RB,ARI,1,65,65,87,17,14,26,31,12.5,19.2
113,Malcolm Brown,RB,LAR,1,17,17,27,18,6,18,24,0.7,4.1
114,Nick O'Leary,TE,MIA,1,27,27,39,0,4,4,4,1.9,7.0
115,Jesse James,TE,DET,1,35,35,57,0,3,3,3,1.3,3.7
116,Nick Boyle,TE,BAL,1,43,43,52,0,12,9,12,5.8,13.5
117,MyCole Pruitt,TE,TEN,1,26,26,33,0,0,0,0,0.0,0.0
118,Blake Bell,TE,KC,1,31,31,44,0,3,3,3,0.1,0.3
119,Nelson Agholor,WR,PHI,1,73,73,99,0,16,11,16,15.0,20.5
120,Justin Hardy,WR,ATL,1,5,5,8,0,20,20,20,0.6,12.0
121,Tyler Lockett,WR,SEA,1,81,81,96,0,17,14,17,21.4,26.4
122,Devin Smith,WR,DAL,1,66,66,92,0,8,3,8,3.9,5.9
123,Breshad Perriman,WR,TB,1,51,51,67,2,4,4,6,1.9,3.7
124,Jamison Crowder,WR,NYJ,1,45,45,90,0,11,4,11,2.5,5.6
125,Ty Montgomery,RB,NYJ,1,8,8,16,25,13,25,38,0.1,1.3
126,Phillip Dorsett II,WR,NE,1,70,70,92,3,10,11,13,12.5,17.9
127,Stefon Diggs,WR,MIN,1,44,44,71,0,7,7,7,1.5,3.4
128,Chris Manhertz,TE,CAR,1,30,30,50,0,0,0,0,0.0,0.0
129,C.J. Uzomah,TE,CIN,1,28,28,45,0,4,0,4,0.0,0.0
130,DeAndre Carter,WR,HOU,1,1,1,2,0,0,0,0,0.0,0.0
131,Darren Waller,TE,OAK,1,53,53,90,2,26,26,28,14.1,26.6
132,James O'Shaughnessy,TE,JAC,1,42,42,78,0,7,5,7,7.8,18.6
133,Chris Conley,WR,JAC,1,38,38,70,0,8,5,8,3.0,7.9
134,Geoff Swaim,TE,JAC,1,21,21,39,0,10,5,10,0.8,3.8
135,Damiere Byrd,WR,ARI,1,72,72,96,0,6,3,6,0.9,1.3
136,J.J. Nelson,WR,OAK,1,46,46,78,0,11,9,11,9.6,20.9
137,Tyrell Williams,WR,OAK,1,57,57,97,0,5,5,5,8.9,15.6
138,Raheem Mostert,RB,SF,1,24,24,30,50,4,50,54,5.9,24.6
139,Eric Tomlinson,TE,NYG,1,1,1,2,0,0,0,0,0.0,0.0
140,Darius Jennings,WR,TEN,1,6,6,8,0,33,0,33,0.0,0.0
141,Daniel Brown,TE,NYJ,1,9,9,18,0,0,0,0,0.0,0.0
142,Adam Humphries,WR,TEN,1,54,54,68,0,17,11,17,9.3,17.2
143,Ezekiel Elliott,RB,DAL,1,48,48,67,40,6,44,46,13.9,29.0
144,Jared Goff,QB,LAR,1,64,64,100,6,0,66,66,16.1,25.2
145,Derrick Henry,RB,TEN,1,37,37,47,46,5,49,51,10.6,28.6
146,Carson Wentz,QB,PHI,1,74,74,100,5,0,54,54,21.7,29.3
147,Michael Thomas,WR,NO,1,49,49,88,0,14,10,14,11.4,23.3
148,Tyler Boyd,WR,CIN,1,54,54,87,0,20,11,20,6.8,12.6
149,Sterling Shepard,WR,NYG,1,59,59,95,3,15,15,19,20.1,34.1
150,Austin Hooper,TE,ATL,1,53,53,88,0,13,11,13,18.6,35.1
151,Jordan Howard,RB,PHI,1,24,24,32,46,4,46,50,9.7,40.4
152,Tajae Sharpe,WR,TEN,1,39,39,49,0,8,5,8,7.0,17.9
153,Dak Prescott,QB,DAL,1,72,72,100,3,0,47,47,23.5,32.6
154,C.J. Prosise,RB,SEA,1,45,45,54,9,11,20,20,4.3,9.6
155,Will Fuller V,WR,HOU,1,57,57,97,0,12,9,12,5.1,8.9
156,Kenyan Drake,RB,MIA,1,46,46,66,26,13,33,39,5.2,11.3
157,Jacoby Brissett,QB,IND,1,67,67,100,4,0,60,60,20.8,31.0
158,Nick Vannett,TE,SEA,1,26,26,31,0,8,4,8,0.9,3.5
159,Chris Moore,WR,BAL,1,12,12,15,0,0,0,0,0.0,0.0
160,Tyler Ervin,RB,JAC,1,1,1,2,0,0,0,0,0.0,0.0
161,Demarcus Robinson,WR,KC,1,62,62,87,0,6,5,6,10.3,16.6
162,Seth DeValve,TE,JAC,1,12,12,22,0,0,0,0,0.0,0.0
163,Wendell Smallwood,RB,WAS,1,1,1,1,0,0,0,0,0.0,0.0
164,Jakeem Grant Sr.,WR,MIA,1,44,44,63,2,16,11,18,3.1,7.0
165,Robby Anderson,WR,NYJ,1,50,50,100,0,10,6,10,1.1,2.2
166,Cody Core,WR,NYG,1,4,4,6,0,0,0,0,0.0,0.0
167,Alex Erickson,WR,CIN,1,7,7,11,0,14,14,14,1.3,18.6
168,Derek Watt,RB,LAC,1,8,8,11,13,0,13,13,-0.1,-1.3
169,Johnny Holton,WR,PIT,1,5,5,9,20,0,20,20,0.9,18.0
170,DeAndre Washington,RB,OAK,1,9,9,15,67,0,67,67,2.2,24.4
171,Ben Braunecker,TE,CHI,1,3,3,5,0,0,0,0,0.0,0.0
172,Geronimo Allison,WR,GB,1,26,26,48,0,12,4,12,-0.1,-0.4
173,Danny Vitale,RB,GB,1,18,18,33,0,6,6,6,2.7,15.0
174,Peyton Barber,RB,TB,1,26,26,34,50,8,58,58,5.5,21.2
175,J.P. Holtz,TE,CHI,1,13,13,20,0,0,0,0,0.0,0.0
176,Chester Rogers,WR,IND,1,27,27,40,0,0,0,0,0.0,0.0
177,Alex Ellis,TE,PHI,1,1,1,1,0,0,0,0,0.0,0.0
178,Marvin Hall,WR,DET,1,10,10,16,0,0,0,0,0.0,0.0
179,Jalen Richard,RB,OAK,1,29,29,49,7,10,17,17,2.9,10.0
180,C.J. Ham,RB,MIN,1,25,25,40,0,8,4,8,0.0,0.0
181,J.D. McKissic,RB,DET,1,6,6,10,17,0,17,17,4.4,73.3
182,Elijhaa Penny,RB,NYG,1,3,3,5,0,0,0,0,0.0,0.0
183,Dalvin Cook,RB,MIN,1,37,37,60,43,14,54,57,20.3,54.9
184,Mike Williams,WR,LAC,1,69,69,93,0,10,4,10,4.5,6.5
185,Leonard Fournette,RB,JAC,1,54,54,100,28,15,39,43,9.2,17.0
186,O.J. Howard,TE,TB,1,56,56,74,0,7,5,7,6.6,11.8
187,Mitchell Trubisky,QB,CHI,1,63,63,97,2,0,51,51,20.4,32.4
188,Corey Davis,WR,TEN,1,58,58,73,0,7,5,7,4.4,7.6
189,John Ross,WR,CIN,1,60,60,97,0,10,3,10,0.2,0.3
190,Christian McCaffrey,RB,CAR,1,56,56,93,43,7,48,50,24.8,44.3
191,Deshaun Watson,QB,HOU,1,59,59,100,12,0,69,69,25.8,43.7
192,Chris Godwin,WR,TB,1,73,73,96,0,7,4,7,4.0,5.5
193,Evan Engram,TE,NYG,1,54,54,87,0,15,11,15,17.3,32.0
194,Patrick Mahomes II,QB,KC,1,68,68,96,6,0,60,60,27.9,41.0
195,Joe Mixon,RB,CIN,1,35,35,56,43,6,49,49,15.4,44.0
196,Alvin Kamara,RB,NO,1,49,49,88,33,20,51,53,28.1,57.3
197,Wayne Gallman Jr.,RB,NYG,1,39,39,63,13,3,13,15,1.3,3.3
198,Jamaal Williams,RB,GB,1,33,33,61,36,6,42,42,8.6,26.1
199,Taywan Taylor,WR,CLE,1,2,2,3,0,0,0,0,0.0,0.0
200,JuJu Smith-Schuster,WR,PIT,1,53,53,100,0,13,6,13,14.1,26.6
201,Zay Jones,WR,BUF,1,39,39,51,0,8,5,8,3.3,8.5
202,Cooper Kupp,WR,LAR,1,63,63,98,0,19,17,19,22.1,35.1
203,Curtis Samuel,WR,CAR,1,47,47,78,0,15,11,15,11.3,24.0
204,Dede Westbrook,WR,JAC,1,43,43,80,2,21,14,23,5.0,11.6
205,Josh Reynolds,WR,LAR,1,16,16,25,0,13,0,13,0.0,0.0
206,Marlon Mack,RB,IND,1,41,41,61,39,7,44,46,14.8,36.1
207,James Conner,RB,PIT,1,36,36,68,36,11,47,47,3.7,10.3
208,Tarik Cohen,RB,CHI,1,32,32,49,13,13,19,25,2.4,7.5
209,Adam Shaheen,TE,CHI,1,22,22,34,0,5,5,5,0.7,3.2
210,Gerald Everett,TE,LAR,1,56,56,88,0,4,4,4,1.5,2.7
211,Jonnu Smith,TE,TEN,1,40,40,51,0,8,5,8,2.0,5.0
212,Jeremy Sprinkle,TE,WAS,1,38,38,49,0,11,5,11,1.9,5.0
213,T.J. Logan,RB,TB,1,1,1,1,0,0,0,0,0.0,0.0
214,Austin Ekeler,RB,LAC,1,48,48,65,19,15,33,33,8.1,16.9
215,Kenny Golladay,WR,DET,1,49,49,80,0,16,4,16,1.7,3.5
216,Mack Hollins,WR,PHI,1,73,73,99,0,10,5,10,6.2,8.5
217,George Kittle,TE,SF,1,79,79,100,0,10,8,10,5.7,7.2
218,Antony Auclair,TE,TB,1,20,20,26,0,5,0,5,0.0,0.0
219,Robert Tonyan,TE,GB,1,15,15,28,0,20,7,20,0.4,2.7
220,Austin Carr,WR,NO,1,25,25,45,0,0,0,0,0.0,0.0
221,Mo Alie-Cox,TE,IND,1,25,25,37,0,8,8,8,2.5,10.0
222,Isaiah McKenzie,WR,BUF,1,19,19,25,16,5,21,21,1.9,10.0
223,Blake Jarwin,TE,DAL,1,35,35,49,0,9,3,9,0.3,0.9
224,Aaron Jones,RB,GB,1,21,21,39,48,5,52,52,14.3,68.1
225,Alex Armah Jr.,RB,CAR,1,18,18,30,6,6,11,11,0.6,3.3
226,Ricky Seals-Jones,TE,CLE,1,6,6,9,0,33,17,33,1.4,23.3
227,Johnny Mundt,TE,LAR,1,2,2,3,0,0,0,0,0.0,0.0
228,Chris Carson,RB,SEA,1,37,37,44,41,3,43,43,3.0,8.1
229,David Moore,WR,SEA,1,20,20,24,0,10,5,10,2.9,14.5
230,Anthony Firkser,TE,TEN,1,3,3,4,0,0,0,0,0.0,0.0
231,Keelan Cole Sr.,WR,JAC,1,5,5,9,0,0,0,0,0.0,0.0
232,Evan Baylis,TE,GB,1,1,1,2,0,0,0,0,0.0,0.0
233,Dare Ogunbowale,RB,TB,1,18,18,24,0,17,17,17,2.3,12.8
234,Sean Culkin,TE,LAC,1,43,43,58,0,2,0,2,0.0,0.0
235,Pharaoh Brown,TE,CLE,1,16,16,24,0,0,0,0,0.0,0.0
236,Zach Pascal,WR,IND,1,30,30,45,0,10,7,10,11.3,37.7
237,Matt Breida,RB,SF,1,32,32,41,44,9,50,53,8.8,27.5
238,Kendrick Bourne,WR,SF,1,22,22,28,0,9,5,9,2.2,10.0
239,Taysom Hill,QB,NO,1,4,4,7,25,25,50,50,1.0,25.0
240,Greg Ward,WR,PHI,1,2,2,3,0,0,0,0,0.0,0.0
241,Patrick Ricard,RB,BAL,1,11,11,13,0,0,0,0,0.0,0.0
242,Lamar Jackson,QB,BAL,1,82,82,100,10,0,62,62,21.3,26.0
243,Mason Rudolph,QB,PIT,1,53,53,100,8,0,58,58,15.5,29.2
244,Josh Rosen,QB,MIA,1,65,65,93,5,0,65,65,9.3,14.3
245,Baker Mayfield,QB,CLE,1,68,68,100,1,0,54,54,10.7,15.7
