player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1.0,52.0,52.0,95.0,2.0,0.0,52.0,52.0,23.1,44.4,4,2017
Adrian Peterson,RB,NO,1.0,6.0,6.0,8.0,67.0,0.0,67.0,67.0,0.4,6.7,4,2017
Alex Smith,QB,KC,1.0,76.0,76.0,100.0,9.0,0.0,58.0,58.0,27.3,35.9,4,2017
Ben Roethlisberger,QB,PIT,1.0,76.0,76.0,100.0,1.0,0.0,41.0,41.0,10.5,13.8,4,2017
Benjamin Watson,TE,BAL,1.0,43.0,43.0,62.0,0.0,14.0,12.0,14.0,4.3,10.0,4,2017
Brian Hoyer,QB,SF,1.0,83.0,83.0,99.0,1.0,0.0,60.0,60.0,7.7,9.3,4,2017
Danny Amendola,WR,NE,1.0,36.0,36.0,51.0,0.0,19.0,17.0,19.0,10.2,28.3,4,2017
DeSean Jackson,WR,TB,1.0,45.0,45.0,70.0,0.0,13.0,4.0,13.0,2.0,4.4,4,2017
Drew Brees,QB,NO,1.0,74.0,74.0,100.0,5.0,0.0,61.0,61.0,19.0,25.7,4,2017
Eli Manning,QB,NYG,1.0,80.0,80.0,100.0,4.0,0.0,65.0,65.0,27.7,34.6,4,2017
Frank Gore,RB,IND,1.0,35.0,35.0,58.0,34.0,9.0,43.0,43.0,8.0,22.9,4,2017
Jared Cook,TE,OAK,1.0,48.0,48.0,89.0,0.0,17.0,6.0,17.0,4.6,9.6,4,2017
Jason Witten,TE,DAL,1.0,71.0,71.0,100.0,0.0,3.0,1.0,3.0,0.9,1.3,4,2017
Joe Flacco,QB,BAL,1.0,69.0,69.0,100.0,0.0,0.0,71.0,71.0,9.4,13.6,4,2017
Josh McCown,QB,NYJ,1.0,70.0,70.0,100.0,1.0,0.0,46.0,46.0,5.0,7.1,4,2017
Larry Fitzgerald,WR,ARI,1.0,82.0,82.0,95.0,0.0,9.0,5.0,9.0,9.2,11.2,4,2017
LeSean McCoy,RB,BUF,1.0,43.0,43.0,72.0,47.0,7.0,53.0,53.0,10.8,25.1,4,2017
Marcedes Lewis,TE,JAC,1.0,69.0,69.0,88.0,0.0,6.0,0.0,6.0,0.0,0.0,4,2017
Marshawn Lynch,RB,OAK,1.0,23.0,23.0,43.0,39.0,4.0,39.0,43.0,1.2,5.2,4,2017
Matt Ryan,QB,ATL,1.0,76.0,76.0,100.0,1.0,0.0,57.0,57.0,8.5,11.2,4,2017
Matthew Stafford,QB,DET,1.0,70.0,70.0,100.0,4.0,0.0,49.0,49.0,10.1,14.4,4,2017
Philip Rivers,QB,LAC,1.0,57.0,57.0,98.0,0.0,0.0,67.0,67.0,19.9,34.9,4,2017
Ted Ginn Jr.,WR,NO,1.0,45.0,45.0,61.0,2.0,4.0,7.0,7.0,3.4,7.6,4,2017
Tom Brady,QB,NE,1.0,70.0,70.0,100.0,1.0,0.0,66.0,66.0,20.5,29.3,4,2017
Vernon Davis,TE,WAS,1.0,35.0,35.0,70.0,0.0,9.0,6.0,9.0,8.9,25.4,4,2017
Dez Bryant,WR,DAL,1.0,58.0,58.0,82.0,0.0,22.0,9.0,22.0,9.8,16.9,4,2017
Golden Tate,WR,DET,1.0,52.0,52.0,74.0,2.0,10.0,8.0,12.0,3.1,6.0,4,2017
Andre Roberts,WR,ATL,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2017
Emmanuel Sanders,WR,DEN,1.0,48.0,48.0,75.0,0.0,10.0,8.0,10.0,2.7,5.6,4,2017
