player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Adrian Peterson,RB,ARI,1.0,36.0,36.0,45.0,58.0,6.0,61.0,64.0,2.2,6.1,10,2017
Ben Roethlisberger,QB,PIT,1.0,67.0,67.0,100.0,3.0,0.0,49.0,49.0,17.9,26.7,10,2017
Brian Hoyer,QB,NE,1.0,9.0,9.0,13.0,0.0,0.0,33.0,33.0,1.5,16.7,10,2017
Chase Daniel,QB,NO,1.0,5.0,5.0,6.0,60.0,0.0,60.0,60.0,-0.2,-4.0,10,2017
Danny Amendola,WR,NE,1.0,27.0,27.0,39.0,0.0,15.0,15.0,15.0,3.6,13.3,10,2017
DeSean Jackson,WR,TB,1.0,54.0,54.0,76.0,0.0,19.0,11.0,19.0,8.2,15.2,10,2017
Drew Brees,QB,NO,1.0,72.0,72.0,94.0,3.0,0.0,38.0,38.0,14.0,19.4,10,2017
Drew Stanton,QB,ARI,1.0,80.0,80.0,100.0,1.0,0.0,60.0,60.0,15.0,18.8,10,2017
Eli Manning,QB,NYG,1.0,66.0,66.0,100.0,0.0,0.0,56.0,56.0,16.9,25.6,10,2017
Frank Gore,RB,IND,1.0,34.0,34.0,57.0,50.0,3.0,53.0,53.0,6.1,17.9,10,2017
Jason Witten,TE,DAL,1.0,62.0,62.0,98.0,0.0,11.0,11.0,11.0,5.9,9.5,10,2017
Josh McCown,QB,NYJ,1.0,69.0,69.0,100.0,0.0,0.0,57.0,57.0,12.5,18.1,10,2017
Larry Fitzgerald,WR,ARI,1.0,80.0,80.0,100.0,0.0,18.0,13.0,18.0,11.3,14.1,10,2017
LeSean McCoy,RB,BUF,1.0,24.0,24.0,50.0,33.0,21.0,46.0,54.0,6.0,25.0,10,2017
Marcedes Lewis,TE,JAC,1.0,77.0,77.0,92.0,0.0,6.0,3.0,6.0,2.9,3.8,10,2017
Matt Ryan,QB,ATL,1.0,65.0,65.0,100.0,0.0,0.0,45.0,45.0,14.6,22.5,10,2017
Matthew Stafford,QB,DET,1.0,52.0,52.0,100.0,8.0,0.0,58.0,58.0,21.7,41.7,10,2017
Philip Rivers,QB,LAC,1.0,69.0,69.0,100.0,3.0,0.0,57.0,57.0,15.3,22.2,10,2017
Ryan Fitzpatrick,QB,TB,1.0,71.0,71.0,100.0,4.0,0.0,52.0,52.0,10.4,14.6,10,2017
Ted Ginn Jr.,WR,NO,1.0,50.0,50.0,65.0,0.0,2.0,2.0,2.0,0.3,0.6,10,2017
Tom Brady,QB,NE,1.0,61.0,61.0,87.0,2.0,0.0,57.0,57.0,22.6,37.0,10,2017
Vernon Davis,TE,WAS,1.0,64.0,64.0,85.0,0.0,17.0,11.0,17.0,7.6,11.9,10,2017
Dez Bryant,WR,DAL,1.0,51.0,51.0,81.0,0.0,16.0,8.0,16.0,3.9,7.6,10,2017
Golden Tate,WR,DET,1.0,36.0,36.0,69.0,0.0,19.0,17.0,19.0,15.7,43.6,10,2017
Emmanuel Sanders,WR,DEN,1.0,55.0,55.0,87.0,0.0,20.0,11.0,20.0,13.7,24.9,10,2017
Jimmy Graham,TE,SEA,1.0,44.0,44.0,70.0,0.0,20.0,14.0,20.0,14.7,33.4,10,2017
Rob Gronkowski,TE,NE,1.0,61.0,61.0,87.0,0.0,11.0,7.0,11.0,7.4,12.1,10,2017
Antonio Brown,WR,PIT,1.0,64.0,64.0,96.0,0.0,11.0,5.0,11.0,4.7,7.3,10,2017
Logan Paulsen,TE,SF,1.0,12.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2017
A.J. Green,WR,CIN,1.0,49.0,49.0,96.0,0.0,14.0,10.0,14.0,17.5,35.7,10,2017
Julio Jones,WR,ATL,1.0,43.0,43.0,66.0,0.0,19.0,14.0,19.0,5.7,13.3,10,2017
Cam Newton,QB,CAR,1.0,68.0,68.0,93.0,7.0,0.0,59.0,59.0,35.7,52.5,10,2017
Mark Ingram II,RB,NO,1.0,37.0,37.0,48.0,57.0,0.0,57.0,57.0,31.1,84.1,10,2017
Randall Cobb,WR,GB,1.0,38.0,38.0,58.0,11.0,11.0,18.0,21.0,6.0,15.8,10,2017
Kyle Rudolph,TE,MIN,1.0,53.0,53.0,87.0,0.0,13.0,9.0,13.0,3.7,7.0,10,2017
Andy Dalton,QB,CIN,1.0,51.0,51.0,100.0,2.0,0.0,71.0,71.0,14.6,28.6,10,2017
Lance Kendricks,TE,GB,1.0,46.0,46.0,70.0,0.0,4.0,2.0,4.0,0.9,2.0,10,2017
Luke Stocker,TE,TB,1.0,19.0,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2017
Dion Lewis,RB,NE,1.0,21.0,21.0,30.0,67.0,0.0,67.0,67.0,11.5,54.8,10,2017
Tyrod Taylor,QB,BUF,1.0,37.0,37.0,77.0,8.0,0.0,57.0,57.0,2.9,7.8,10,2017
Virgil Green,TE,DEN,1.0,30.0,30.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2017
Kirk Cousins,QB,WAS,1.0,75.0,75.0,100.0,5.0,0.0,65.0,65.0,27.6,36.8,10,2017
Russell Wilson,QB,SEA,1.0,62.0,62.0,98.0,8.0,0.0,60.0,60.0,19.4,31.3,10,2017
Lamar Miller,RB,HOU,1.0,41.0,41.0,59.0,27.0,2.0,29.0,29.0,7.4,18.0,10,2017
Mohamed Sanu Sr.,WR,ATL,1.0,48.0,48.0,74.0,0.0,10.0,6.0,10.0,2.9,6.0,10,2017
T.Y. Hilton,WR,IND,1.0,49.0,49.0,82.0,0.0,8.0,4.0,8.0,2.3,4.7,10,2017
Travis Benjamin,WR,LAC,1.0,41.0,41.0,59.0,2.0,7.0,2.0,10.0,1.3,3.2,10,2017
Marvin Jones Jr.,WR,DET,1.0,50.0,50.0,96.0,0.0,4.0,2.0,4.0,2.2,4.4,10,2017
Rhett Ellison,TE,NYG,1.0,26.0,26.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2017
