player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Aaron Rodgers,QB,GB,1,76,76,100,3,0,68,68,18.5,24.3,2
Adrian Peterson,RB,NO,1,15,15,23,53,0,53,53,2.6,17.3,2
Alex Smith,QB,KC,1,53,53,100,8,0,60,60,16.1,30.4,2
Ben Roethlisberger,QB,PIT,1,75,75,100,3,0,49,49,17.5,23.3,2
Benjamin Watson,TE,BAL,1,50,50,74,0,16,16,16,9.1,18.2,2
Brian Hoyer,QB,SF,1,49,49,100,0,0,55,55,2.0,4.1,2
Darren Sproles,RB,PHI,1,50,50,69,20,8,24,28,5.8,11.6,2
DeSean Jackson,WR,TB,1,36,36,51,0,19,8,19,3.9,10.8,2
Drew Brees,QB,NO,1,65,65,100,0,0,69,69,22.2,34.2,2
Eli Manning,QB,NYG,1,56,56,100,0,0,57,57,11.6,20.7,2
Frank Gore,RB,IND,1,32,32,45,44,6,44,50,10.6,33.1,2
Greg Olsen,TE,CAR,1,25,25,36,0,8,4,8,1.0,4.0,2
Jared Cook,TE,OAK,1,45,45,79,0,13,9,13,2.5,5.6,2
Jason Witten,TE,DAL,1,71,71,100,0,18,14,18,15.7,22.1,2
Joe Flacco,QB,BAL,1,68,68,100,1,0,51,51,14.6,21.5,2
Josh McCown,QB,NYJ,1,57,57,100,7,0,49,49,15.7,27.5,2
Larry Fitzgerald,WR,ARI,1,62,62,94,0,10,5,10,2.1,3.4,2
LeSean McCoy,RB,BUF,1,40,40,74,30,18,45,48,4.3,10.8,2
Marcedes Lewis,TE,JAC,1,54,54,81,0,4,0,4,0.0,0.0,2
Marshawn Lynch,RB,OAK,1,23,23,40,52,9,57,61,10.9,47.4,2
Matt Ryan,QB,ATL,1,58,58,100,2,0,50,50,14.9,25.7,2
Matthew Stafford,QB,DET,1,62,62,100,5,0,39,39,13.2,21.3,2
Michael Crabtree,WR,OAK,1,35,35,61,0,17,17,17,26.0,74.3,2
Philip Rivers,QB,LAC,1,58,58,100,2,0,69,69,17.2,29.7,2
Ryan Fitzpatrick,QB,TB,1,6,6,8,33,0,50,50,-0.2,-3.3,2
Ted Ginn Jr.,WR,NO,1,43,43,66,0,14,7,14,2.4,5.6,2
Tom Brady,QB,NE,1,76,76,100,3,0,54,54,30.8,40.5,2
Vernon Davis,TE,WAS,1,55,55,77,0,2,2,2,1.3,2.4,2
Dez Bryant,WR,DAL,1,66,66,93,0,24,11,24,11.9,18.0,2
Golden Tate,WR,DET,1,43,43,69,0,9,9,9,2.5,5.8,2
Andre Roberts,WR,ATL,1,4,4,7,0,25,0,25,0.0,0.0,2
Emmanuel Sanders,WR,DEN,1,69,69,90,0,12,9,12,18.2,26.4,2
Jimmy Graham,TE,SEA,1,54,54,66,0,4,2,4,0.1,0.2,2
