Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,69,69,100,9,0,74,74,21.9,31.7
Alex Smith,QB,KC,1,66,66,100,5,0,50,50,18.5,28.0
Ben Roethlisberger,QB,PIT,1,66,66,100,5,0,50,50,18.2,27.6
Benjamin Watson,TE,BAL,1,41,41,54,0,10,10,10,13.4,32.7
Chad Henne,QB,JAC,1,14,14,20,14,0,14,14,-0.2,-1.4
Danny Amendola,WR,NE,1,37,37,63,0,11,5,11,2.3,6.2
DeSean Jackson,WR,TB,1,22,22,37,5,5,9,9,1.8,8.2
Drew Brees,QB,NO,1,67,67,100,1,0,55,55,17.3,25.8
Eli Manning,QB,NYG,1,87,87,100,0,0,66,66,27.4,31.5
Frank Gore,RB,IND,1,28,28,52,36,14,46,50,6.8,24.3
Greg Olsen,TE,CAR,1,69,69,97,0,17,13,17,17.6,25.5
Jared Cook,TE,OAK,1,55,55,83,0,7,4,7,1.7,3.1
Jason Witten,TE,DAL,1,65,65,100,0,8,6,8,4.7,7.2
Joe Flacco,QB,BAL,1,76,76,100,5,0,61,61,21.8,28.7
Larry Fitzgerald,WR,ARI,1,81,81,99,0,12,6,12,6.0,7.4
LeSean McCoy,RB,BUF,1,40,40,65,50,13,60,63,21.6,54.0
Marcedes Lewis,TE,JAC,1,37,37,53,0,5,5,5,1.8,4.9
Marshawn Lynch,RB,OAK,1,50,50,76,32,8,38,40,9.2,18.4
Matt Ryan,QB,ATL,1,70,70,100,4,0,49,49,15.4,22.0
Matthew Slater,WR,NE,1,3,3,5,0,0,0,0,0.0,0.0
Matthew Stafford,QB,DET,1,63,63,100,2,0,54,54,17.4,27.6
Michael Crabtree,WR,OAK,1,59,59,89,0,29,12,29,15.9,26.9
Philip Rivers,QB,LAC,1,64,64,100,0,0,56,56,7.1,11.1
Tom Brady,QB,NE,1,59,59,100,3,0,63,63,15.7,26.6
Vernon Davis,TE,WAS,1,47,47,92,0,11,4,11,-0.2,-0.4
Dez Bryant,WR,DAL,1,58,58,89,2,7,5,9,5.5,9.5
Golden Tate,WR,DET,1,47,47,75,0,11,6,11,3.3,7.0
Emmanuel Sanders,WR,DEN,1,39,39,49,0,23,18,23,6.8,17.4
Jimmy Graham,TE,SEA,1,44,44,80,0,7,2,7,-0.1,-0.2
Rob Gronkowski,TE,NE,1,59,59,100,0,22,15,22,18.8,31.9
Antonio Brown,WR,PIT,1,21,21,32,0,14,10,14,2.4,11.4
Logan Paulsen,TE,SF,1,9,9,13,0,11,0,11,0.0,0.0
A.J. Green,WR,CIN,1,42,42,81,0,10,5,10,3.0,7.1
Blaine Gabbert,QB,ARI,1,82,82,100,7,0,57,57,6.4,7.8
Julio Jones,WR,ATL,1,53,53,76,0,15,6,15,5.4,10.2
Cam Newton,QB,CAR,1,71,71,100,20,0,63,63,31.5,44.4
Mark Ingram II,RB,NO,1,40,40,60,30,15,43,45,27.1,67.8
Randall Cobb,WR,GB,1,67,67,97,0,21,10,21,14.4,21.5
Kyle Rudolph,TE,MIN,1,20,20,31,0,10,10,10,7.7,38.5
Andy Dalton,QB,CIN,1,38,38,73,0,0,58,58,0.5,1.3
Lance Kendricks,TE,GB,1,22,22,32,0,9,5,9,0.5,2.3
Luke Stocker,TE,TEN,1,10,10,16,0,10,0,10,0.0,0.0
Anthony Sherman,RB,KC,1,3,3,5,0,0,0,0,0.0,0.0
Dion Lewis,RB,NE,1,34,34,58,38,6,41,44,14.0,41.2
Lee Smith,TE,OAK,1,26,26,39,0,4,4,4,0.3,1.2
Tyrod Taylor,QB,BUF,1,62,62,100,10,0,56,56,23.2,37.4
Virgil Green,TE,DEN,1,36,36,46,0,3,0,3,0.0,0.0
Nick Foles,QB,PHI,1,67,67,100,3,0,60,60,25.5,38.1
Kirk Cousins,QB,WAS,1,51,51,100,4,0,55,55,15.8,31.0
Russell Wilson,QB,SEA,1,52,52,95,10,0,67,67,11.6,22.3
Lamar Miller,RB,HOU,1,28,28,49,32,14,39,46,3.3,11.8
Alshon Jeffery,WR,PHI,1,60,60,90,0,17,7,17,10.9,18.2
Mohamed Sanu Sr.,WR,ATL,1,51,51,73,2,10,6,12,2.6,5.1
T.Y. Hilton,WR,IND,1,51,51,94,0,14,10,14,4.1,8.0
Travis Benjamin,WR,LAC,1,36,36,56,3,11,6,14,1.4,3.9
Marvin Jones Jr.,WR,DET,1,62,62,98,0,8,5,8,8.5,13.7
Rhett Ellison,TE,NYG,1,26,26,30,0,0,0,0,0.0,0.0
Alfred Morris,RB,DAL,1,27,27,42,59,7,67,67,6.1,22.6
Derek Carrier,TE,LAR,1,15,15,22,0,13,7,13,0.4,2.7
Case Keenum,QB,MIN,1,56,56,86,2,0,43,43,19.4,34.6
Josh Gordon,WR,CLE,1,54,54,86,0,19,9,19,4.7,8.7
Cole Beasley,WR,DAL,1,41,41,63,0,12,2,12,1.5,3.7
Garrett Celek,TE,SF,1,46,46,66,0,7,7,7,12.3,26.7
Jermaine Kearse,WR,NYJ,1,47,47,65,0,11,6,11,2.8,6.0
Josh Bellamy,WR,CHI,1,53,53,77,0,13,9,13,7.0,13.2
Travis Kelce,TE,KC,1,61,61,92,0,11,10,11,4.6,7.5
Marquise Goodwin,WR,SF,1,63,63,90,2,21,17,22,12.4,19.7
Russell Shepard,WR,CAR,1,22,22,31,0,0,0,0,0.0,0.0
DeAndre Hopkins,WR,HOU,1,53,53,93,0,25,8,25,14.0,26.4
Robert Woods,WR,LAR,1,51,51,75,0,14,12,14,10.5,20.6
Kenny Stills,WR,MIA,1,63,63,85,0,10,2,10,0.8,1.3
Cordarrelle Patterson,RB,OAK,1,44,44,67,2,5,5,7,0.3,0.7
Keenan Allen,WR,LAC,1,47,47,73,0,17,11,17,5.4,11.5
Tavon Austin,WR,LAR,1,14,14,21,71,0,71,71,4.4,31.4
Giovani Bernard,RB,CIN,1,46,46,88,30,11,37,41,10.3,22.4
Le'Veon Bell,RB,PIT,1,56,56,85,43,11,52,54,22.5,40.2
Theo Riddick,RB,DET,1,33,33,52,24,9,33,33,4.1,12.4
Rex Burkhead,RB,NE,1,15,15,25,27,7,33,33,7.7,51.3
Kenjon Barner,RB,PHI,1,6,6,9,33,0,33,33,2.1,35.0
Zach Ertz,TE,PHI,1,59,59,88,0,15,10,15,11.6,19.7
Levine Toilolo,TE,ATL,1,39,39,56,0,0,0,0,6.0,15.4
Kyle Juszczyk,RB,SF,1,32,32,46,0,13,6,13,1.6,5.0
Luke Willson,TE,SEA,1,19,19,35,0,11,5,11,8.6,45.3
Latavius Murray,RB,MIN,1,32,32,49,63,3,66,66,16.4,51.3
Demetrius Harris,TE,KC,1,27,27,41,0,7,4,7,0.7,2.6
Zach Line,RB,NO,1,21,21,31,10,10,14,19,1.3,6.2
James Develin,RB,NE,1,17,17,29,0,6,0,6,0.0,0.0
Jack Doyle,TE,IND,1,54,54,100,0,15,13,15,4.7,8.7
Patrick DiMarco,RB,BUF,1,23,23,37,0,9,4,9,0.6,2.6
Teddy Bridgewater,QB,MIN,1,9,9,14,33,0,56,56,-2.3,-25.6
Blake Bortles,QB,JAC,1,56,56,80,0,0,52,52,25.0,44.6
AJ McCarron,QB,CIN,1,14,14,27,0,0,43,43,0.8,5.7
Derek Carr,QB,OAK,1,66,66,100,6,0,64,64,17.5,26.5
Logan Thomas,TE,BUF,1,3,3,5,0,0,0,0,0.0,0.0
Carlos Hyde,RB,SF,1,51,51,73,31,4,35,35,3.9,7.6
Devonta Freeman,RB,ATL,1,50,50,71,44,14,54,58,25.4,50.8
Sammy Watkins,WR,LAR,1,51,51,75,0,10,4,10,1.4,2.7
Mike Evans,WR,TB,1,50,50,85,0,16,10,16,13.9,27.8
Brandin Cooks,WR,NE,1,56,56,95,0,13,7,13,12.0,21.4
Davante Adams,WR,GB,1,27,27,39,0,26,19,26,11.7,43.3
Jarvis Landry,WR,MIA,1,69,69,93,0,19,14,19,9.9,14.3
Paul Richardson Jr.,WR,SEA,1,45,45,82,0,16,4,16,1.8,4.0
Eric Ebron,TE,DET,1,27,27,43,0,26,19,26,9.3,34.4
Trey Burton,TE,PHI,1,11,11,16,0,18,18,18,7.5,68.2
James White,RB,NE,1,20,20,34,0,15,10,15,0.8,4.0
Cody Latimer,WR,DEN,1,44,44,56,0,9,7,9,14.0,31.8
Jimmy Garoppolo,QB,SF,1,70,70,100,0,1,63,63,18.6,26.6
Jerick McKinnon,RB,MIN,1,33,33,51,27,24,48,52,13.8,41.8
Richard Rodgers,TE,GB,1,37,37,54,0,11,11,11,13.7,37.0
Ryan Grant,WR,WAS,1,44,44,86,0,7,5,7,2.0,4.5
Albert Wilson,WR,KC,1,62,62,94,0,3,2,3,1.5,2.4
Taylor Gabriel,WR,ATL,1,32,32,46,3,6,9,9,1.9,5.9
Willie Snead IV,WR,NO,1,37,37,55,0,8,3,8,2.3,6.2
Bennie Fowler III,WR,DEN,1,39,39,49,0,0,0,0,0.0,0.0
Dontrelle Inman,WR,CHI,1,48,48,70,0,4,2,4,0.5,1.0
Keith Smith,RB,DAL,1,10,10,15,0,10,10,10,1.2,12.0
Adam Thielen,WR,MIN,1,54,54,83,0,9,6,9,3.0,5.6
Cameron Brate,TE,TB,1,27,27,46,0,19,15,19,4.9,18.1
Roosevelt Nix,RB,PIT,1,6,6,9,0,0,0,0,0.0,0.0
Josh Hill,TE,NO,1,44,44,66,0,5,2,5,2.2,5.0
Darren Fells,TE,DET,1,24,24,38,0,0,0,0,0.0,0.0
Seth Roberts,WR,OAK,1,63,63,95,0,8,5,8,5.2,8.3
Marcus Mariota,QB,TEN,1,63,63,100,3,0,56,56,18.0,28.6
