player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Rob Gronkowski,5.0,8.0,94.0,18.8,52.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,27.4,TE,1,2015,NE,PIT,True,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Scott Chandler,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.1,TE,1,2015,NE,PIT,True,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Vernon Davis,5.0,7.0,62.0,12.4,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.2,TE,2,2015,SF,PIT,False,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Blake Bell,1.0,3.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,TE,2,2015,SF,PIT,False,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Garrett Celek,2.0,2.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TE,2,2015,SF,PIT,False,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Lance Kendricks,2.0,5.0,12.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,TE,3,2015,LAR,PIT,True,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Jared Cook,1.0,3.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,TE,3,2015,LAR,PIT,True,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Maxx Williams,2.0,4.0,17.0,8.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,TE,4,2015,BAL,PIT,False,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Nick Boyle,3.0,4.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,TE,4,2015,BAL,PIT,False,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Antonio Gates,9.0,11.0,92.0,10.2,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,21.2,TE,5,2015,LAC,PIT,True,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Ladarius Green,5.0,5.0,50.0,10.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,TE,5,2015,LAC,PIT,True,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
Troy Niklas,1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,TE,6,2015,ARI,PIT,False,402.0,625.0,64.3,4350.0,7.5,271.9,80.0,29.0,17.0,48.0,311.0,90.9,382.0,1459.0,3.8,91.2,44.0,6.0,12.0,4.0,402.0,4661.0,11.6,291.3,80.0,29.0,6.0,2.0,327.0,71.0,231.0,25.0,90.0,225.0,40.0,7.0,24.0,29.2,121.0,1149.0
