Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Alex Smith,QB,KC,1,75,75,100,1,0,68,68,17.7,23.6
Ben Roethlisberger,QB,PIT,1,55,55,92,2,0,51,51,33.9,61.6
Brian Hoyer,QB,CHI,1,69,69,100,4,0,57,57,19.8,28.7
Danny Amendola,WR,NE,1,13,13,23,0,15,0,15,0.0,0.0
DeSean Jackson,WR,WAS,1,48,48,77,0,4,2,4,0.5,1.0
Drew Brees,QB,NO,1,73,73,100,5,0,55,55,11.9,16.3
Drew Stanton,QB,ARI,1,13,13,17,0,0,85,85,-2.5,-19.2
Eli Manning,QB,NYG,1,66,66,100,0,0,68,68,8.4,12.7
Frank Gore,RB,IND,1,34,34,43,47,18,62,65,15.5,45.6
Greg Olsen,TE,CAR,1,67,67,94,0,19,9,19,15.6,23.3
Jason Witten,TE,DAL,1,76,76,100,0,12,9,12,4.7,6.2
Joe Flacco,QB,BAL,1,89,89,100,1,0,60,60,22.0,24.7
Julian Edelman,WR,NE,1,50,50,89,2,8,4,10,1.7,3.4
Larry Fitzgerald,WR,ARI,1,72,72,94,1,10,8,11,6.3,8.8
LeSean McCoy,RB,BUF,1,54,54,69,35,11,46,46,16.8,31.1
Marcedes Lewis,TE,JAC,1,21,21,29,0,10,5,10,1.2,5.7
Matt Ryan,QB,ATL,1,67,67,100,6,0,61,61,35.5,53.0
Matthew Stafford,QB,DET,1,63,63,100,3,0,60,60,8.2,13.0
Michael Crabtree,WR,OAK,1,46,46,77,0,26,15,26,26.8,58.3
Philip Rivers,QB,SD,1,70,70,100,1,0,63,63,18.8,26.9
Ryan Fitzpatrick,QB,NYJ,1,71,71,100,3,0,61,61,8.9,12.5
Ted Ginn Jr.,WR,CAR,1,48,48,68,0,10,4,10,1.4,2.9
Vernon Davis,TE,WAS,1,34,34,55,0,3,3,3,0.8,2.4
Golden Tate,WR,DET,1,36,36,57,0,11,3,11,2.1,5.8
Andre Roberts,WR,DET,1,27,27,43,0,4,4,4,0.8,3.0
Emmanuel Sanders,WR,DEN,1,62,62,86,0,21,13,21,14.8,23.9
Jimmy Graham,TE,SEA,1,40,40,67,0,20,15,20,11.3,28.3
