Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,69,69,100,9,0,71,71,26.2,38.0
Ben Roethlisberger,QB,PIT,1,69,69,100,4,0,70,70,18.9,27.4
Darren Sproles,RB,PHI,1,60,60,80,22,15,27,37,7.1,11.8
Drew Brees,QB,NO,1,86,86,100,2,0,48,48,24.7,28.7
Eli Manning,QB,NYG,1,64,64,100,3,0,59,59,21.9,34.2
Frank Gore,RB,IND,1,47,47,69,40,4,45,45,19.1,40.6
Greg Olsen,TE,CAR,1,62,62,97,0,11,8,11,11.2,18.1
Jason Witten,TE,DAL,1,69,69,95,0,14,12,14,19.4,28.1
Joe Flacco,QB,BAL,1,67,67,96,4,0,49,49,14.8,22.1
LeSean McCoy,RB,BUF,1,64,64,74,33,8,39,41,12.0,18.8
Marcedes Lewis,TE,JAC,1,37,37,48,0,11,5,11,2.3,6.2
Matt Ryan,QB,ATL,1,71,71,97,3,0,51,51,27.8,39.2
Matt Schaub,QB,ATL,1,2,2,3,100,0,100,100,-0.2,-10.0
Matthew Stafford,QB,DET,1,66,66,100,0,0,55,55,14.8,22.4
Michael Crabtree,WR,OAK,1,48,48,56,0,13,4,13,2.7,5.6
Philip Rivers,QB,SD,1,80,80,100,4,0,45,45,18.7,23.4
Ryan Fitzpatrick,QB,NYJ,1,54,54,92,6,0,56,56,10.3,19.1
Ted Ginn Jr.,WR,CAR,1,43,43,67,0,16,12,16,4.0,9.3
Dez Bryant,WR,DAL,1,51,51,70,0,8,2,8,1.9,3.7
Golden Tate,WR,DET,1,53,53,80,2,23,23,25,14.0,26.4
Andre Roberts,WR,DET,1,20,20,30,0,5,5,5,2.7,13.5
Emmanuel Sanders,WR,DEN,1,50,50,93,0,22,10,22,4.7,9.4
Jimmy Graham,TE,SEA,1,41,41,87,0,20,20,20,22.3,54.4
Antonio Brown,WR,PIT,1,69,69,100,0,16,10,16,14.5,21.0
