Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,56,56,95,4,0,71,71,37.2,66.4
Alex Smith,QB,KC,1,75,75,99,5,0,53,53,22.4,29.9
Ben Roethlisberger,QB,PIT,1,58,58,100,2,0,59,59,19.1,32.9
Chase Daniel,QB,PHI,1,6,6,11,0,0,17,17,0.6,10.0
Darren Sproles,RB,PHI,1,27,27,48,26,7,33,33,12.3,45.6
DeSean Jackson,WR,WAS,1,30,30,45,0,23,17,23,11.4,38.0
Drew Brees,QB,NO,1,71,71,100,6,0,54,54,16.1,22.7
Eli Manning,QB,NYG,1,89,89,100,0,0,71,71,12.2,13.7
Frank Gore,RB,IND,1,26,26,46,50,8,54,58,6.5,25.0
Greg Olsen,TE,CAR,1,40,40,58,0,30,15,30,5.9,14.8
Jared Cook,TE,GB,1,35,35,59,0,14,9,14,3.7,10.6
Jason Witten,TE,DAL,1,56,56,98,0,7,4,7,9.3,16.6
Joe Flacco,QB,BAL,1,75,75,100,0,0,59,59,14.5,19.3
Julian Edelman,WR,NE,1,36,36,49,0,22,14,22,8.9,24.7
Larry Fitzgerald,WR,ARI,1,56,56,93,0,7,9,9,3.1,5.5
LeSean McCoy,RB,BUF,1,70,70,76,34,9,41,43,20.5,29.3
Matt Moore,QB,MIA,1,69,69,100,1,0,45,45,15.2,22.0
Matt Ryan,QB,ATL,1,63,63,100,3,0,56,56,20.0,31.7
Matthew Stafford,QB,DET,1,71,71,100,1,0,66,66,12.5,17.6
Michael Crabtree,WR,OAK,1,39,39,51,0,26,18,26,9.0,23.1
Philip Rivers,QB,SD,1,68,68,100,1,0,69,69,18.9,27.8
Ryan Fitzpatrick,QB,NYJ,1,44,44,79,2,0,50,50,1.7,3.9
Ted Ginn Jr.,WR,CAR,1,56,56,81,0,16,5,16,2.9,5.2
Tom Brady,QB,NE,1,59,59,80,0,0,46,46,20.6,34.9
Vernon Davis,TE,WAS,1,64,64,96,0,3,2,3,1.3,2.0
Dez Bryant,WR,DAL,1,42,42,74,0,12,12,14,23.4,55.7
Golden Tate,WR,DET,1,63,63,89,0,10,10,10,5.8,9.2
Andre Roberts,WR,DET,1,8,8,11,0,13,13,13,1.4,17.5
Emmanuel Sanders,WR,DEN,1,47,47,78,0,6,2,6,2.6,5.5
Jimmy Graham,TE,SEA,1,68,68,82,0,4,3,4,10.3,15.1
Joe Webb III,QB,CAR,1,10,10,14,0,20,0,20,0.0,0.0
Antonio Brown,WR,PIT,1,54,54,93,0,20,19,20,15.6,28.9
Logan Paulsen,TE,CHI,1,9,9,13,0,0,0,0,0.0,0.0
Julio Jones,WR,ATL,1,39,39,62,0,18,10,18,6.0,15.4
Cam Newton,QB,CAR,1,69,69,100,12,0,74,74,11.5,16.7
Mark Ingram II,RB,NO,1,48,48,68,38,6,42,44,23.3,48.5
Kyle Rudolph,TE,MIN,1,75,75,96,0,12,8,12,5.3,7.1
Andy Dalton,QB,CIN,1,63,63,100,0,0,65,65,12.7,20.2
Lance Kendricks,TE,LAR,1,52,52,88,0,8,6,8,3.6,6.9
Luke Stocker,TE,TB,1,25,25,41,0,4,0,4,0.0,0.0
Anthony Sherman,RB,KC,1,10,10,13,0,0,0,0,0.0,0.0
Dion Lewis,RB,NE,1,27,27,36,59,4,63,63,5.7,21.1
Dwayne Harris,WR,NYG,1,2,2,2,0,0,0,0,0.0,0.0
Tyrod Taylor,QB,BUF,1,92,92,100,13,0,55,55,31.2,33.9
Robert Griffin III,QB,CLE,1,61,61,86,10,0,51,51,10.8,17.7
Kirk Cousins,QB,WAS,1,67,67,100,7,0,51,51,29.8,44.5
Russell Wilson,QB,SEA,1,83,83,100,12,0,66,66,33.6,40.5
Alshon Jeffery,WR,CHI,1,66,66,96,0,15,8,15,9.2,13.9
Mohamed Sanu Sr.,WR,ATL,1,45,45,71,0,9,7,9,5.6,12.4
T.Y. Hilton,WR,IND,1,50,50,89,0,18,8,18,12.5,25.0
Travis Benjamin,WR,SD,1,50,50,74,0,8,6,8,7.5,15.0
Marvin Jones Jr.,WR,DET,1,56,56,79,0,13,2,13,1.6,2.9
Rhett Ellison,TE,MIN,1,21,21,27,0,5,0,5,0.0,0.0
Derek Carrier,TE,WAS,1,11,11,16,0,0,0,0,0.0,0.0
Cole Beasley,WR,DAL,1,27,27,47,0,19,15,19,2.5,9.3
Chris Hogan,WR,NE,1,64,64,86,0,8,2,8,2.2,3.4
Garrett Celek,TE,SF,1,59,59,79,0,12,7,12,3.9,6.6
Jermaine Kearse,WR,SEA,1,66,66,80,0,14,6,14,9.7,14.7
Josh Bellamy,WR,CHI,1,31,31,45,0,6,3,6,1.1,3.5
Travis Kelce,TE,KC,1,70,70,92,0,17,16,17,22.0,31.4
Marquise Goodwin,WR,BUF,1,33,33,36,0,15,3,15,1.6,4.8
Russell Shepard,WR,TB,1,52,52,85,0,10,6,10,6.1,11.7
DeAndre Hopkins,WR,HOU,1,64,64,100,0,9,5,9,4.3,6.7
Robert Woods,WR,BUF,1,79,79,86,0,8,4,8,4.3,5.4
Kenny Stills,WR,MIA,1,59,59,86,0,14,5,14,9.5,16.1
Cordarrelle Patterson,RB,MIN,1,45,45,58,0,9,4,9,1.3,2.9
Tavon Austin,WR,LAR,1,48,48,81,6,15,10,21,10.0,20.8
Le'Veon Bell,RB,PIT,1,57,57,98,35,7,40,42,25.7,45.1
Chris Thompson,RB,WAS,1,22,22,33,14,5,18,18,15.7,71.4
Rex Burkhead,RB,CIN,1,49,49,78,24,8,33,33,6.7,13.7
Matt Barkley,QB,CHI,1,69,69,100,0,0,58,58,10.9,15.8
Zach Ertz,TE,PHI,1,48,48,86,0,4,4,4,3.3,6.9
Levine Toilolo,TE,ATL,1,48,48,76,0,2,2,2,1.0,2.1
Kyle Juszczyk,RB,BAL,1,31,31,41,6,10,13,16,8.5,27.4
Luke Willson,TE,SEA,1,27,27,33,0,0,0,0,0.0,0.0
Latavius Murray,RB,OAK,1,31,31,41,48,6,55,55,5.1,16.5
Ryan Griffin,TE,HOU,1,19,19,30,0,11,0,11,0.0,0.0
Demetrius Harris,TE,KC,1,50,50,66,0,18,12,18,9.7,19.4
James Develin,RB,NE,1,40,40,54,0,3,3,3,0.0,0.0
Jack Doyle,TE,IND,1,36,36,64,0,19,14,19,4.6,12.8
Patrick DiMarco,RB,ATL,1,25,25,40,0,4,4,4,0.6,2.4
Blake Bortles,QB,JAC,1,72,72,100,4,1,58,58,25.7,35.7
Derek Carr,QB,OAK,1,63,63,83,2,0,51,51,21.9,34.8
Carlos Hyde,RB,SF,1,31,31,41,42,10,52,52,10.2,32.9
Devonta Freeman,RB,ATL,1,34,34,54,38,24,62,62,8.8,25.9
Sammy Watkins,WR,BUF,1,83,83,90,0,12,8,12,21.4,25.8
Mike Evans,WR,TB,1,55,55,90,0,15,13,15,15.7,28.5
Brandin Cooks,WR,NO,1,48,48,68,0,19,10,19,9.8,20.4
Davante Adams,WR,GB,1,55,55,93,0,13,7,13,10.4,18.9
Jordan Matthews,WR,PHI,1,39,39,70,0,15,5,15,1.2,3.1
Donte Moncrief,WR,IND,1,36,36,64,0,8,6,8,9.0,25.0
Allen Robinson II,WR,JAC,1,62,62,86,0,19,15,19,14.7,23.7
Odell Beckham Jr.,WR,NYG,1,88,88,99,0,23,13,23,15.0,17.0
Jarvis Landry,WR,MIA,1,66,66,96,2,9,6,11,2.9,4.4
Paul Richardson Jr.,WR,SEA,1,49,49,59,0,10,8,10,10.2,20.8
Eric Ebron,TE,DET,1,61,61,86,0,20,13,20,9.3,15.2
Trey Burton,TE,PHI,1,16,16,29,0,6,6,6,0.3,1.9
James White,RB,NE,1,19,19,26,5,21,21,26,10.6,55.8
Cody Latimer,WR,DEN,1,29,29,48,0,7,0,7,0.0,0.0
Jimmy Garoppolo,QB,NE,1,15,15,20,20,0,33,33,0.0,0.0
